attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Custodian Bank Id,Khóa đại diện cho ngân hàng lưu ký giám sát.,Surrogate Key,false,true,draft,,PK surrogate. Entity dùng chung với FMS.BANKMONI — ETL merge theo business key.,,
Custodian Bank Code,Mã định danh ngân hàng LKGS. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.BANKMONI.Id,BK chính trong scope FIMS. ETL cần resolve sang surrogate của entity dùng chung. Pair với Source System Code để tạo composite BK.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.BANKMONI,
Country of Registration Id,FK đến quốc gia đăng ký của ngân hàng LKGS.,Surrogate Key,true,false,draft,FIMS.BANKMONI.NaId,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL.,,
Country of Registration Code,Mã quốc gia đăng ký.,Text,true,false,draft,FIMS.BANKMONI.NaId,Lookup pair: Geographic Area.Geographic Area Code. Pair with Country of Registration Id.,,
Custodian Bank Name,Tên ngân hàng lưu ký giám sát.,Text,false,false,draft,FIMS.BANKMONI.Name,,,
Custodian Bank Short Name,Tên viết tắt.,Text,true,false,draft,FIMS.BANKMONI.ShortName,,,
Custodian Bank English Name,Tên tiếng Anh.,Text,true,false,draft,FIMS.BANKMONI.EName,,,
Charter Capital Amount,Vốn điều lệ (VNĐ). Thông tin bổ sung của FIMS không có trong FMS.BANKMONI.,Currency Amount,true,false,draft,FIMS.BANKMONI.Capital,,,
Life Cycle Status Code,Trạng thái hoạt động. ID lấy từ bảng STATUS.,Classification Value,true,false,draft,FIMS.BANKMONI.StatusId,Scheme: LIFE_CYCLE_STATUS.,,
Director Name,Tên Tổng giám đốc (denormalized).,Text,true,false,draft,FIMS.BANKMONI.Director,Denormalized snapshot — không dùng để join.,,
Depository Certificate Number,Chứng nhận lưu ký — thông tin bổ sung của FIMS không có trong FMS.BANKMONI.,Text,true,false,draft,FIMS.BANKMONI.DepCert,,,
Description,Ghi chú.,Text,true,false,draft,FIMS.BANKMONI.Description,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.BANKMONI.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.BANKMONI.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.BANKMONI.DateModified,,,
