attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Depository Center Id,Khóa đại diện cho Trung tâm lưu ký chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate.,,
Depository Center Code,Mã định danh Trung tâm lưu ký. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.DEPOSITORYCENTER.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.DEPOSITORYCENTER,
Country of Registration Id,FK đến quốc gia đăng ký của Trung tâm lưu ký.,Surrogate Key,true,false,draft,FIMS.DEPOSITORYCENTER.NaId,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL.,,
Country of Registration Code,Mã quốc gia đăng ký.,Text,true,false,draft,FIMS.DEPOSITORYCENTER.NaId,Lookup pair: Geographic Area.Geographic Area Code. Pair with Country of Registration Id.,,
Full Name,Tên Trung tâm lưu ký.,Text,false,false,draft,FIMS.DEPOSITORYCENTER.Name,,,
English Name,Tên tiếng Anh.,Text,true,false,draft,FIMS.DEPOSITORYCENTER.EName,,,
Abbreviation,Tên viết tắt.,Text,true,false,draft,FIMS.DEPOSITORYCENTER.ShortName,,,
Life Cycle Status Code,Trạng thái hoạt động. ID lấy từ bảng STATUS.,Classification Value,true,false,draft,FIMS.DEPOSITORYCENTER.StatusId,Scheme: LIFE_CYCLE_STATUS.,,
Description,Ghi chú.,Text,true,false,draft,FIMS.DEPOSITORYCENTER.Description,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.DEPOSITORYCENTER.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.DEPOSITORYCENTER.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.DEPOSITORYCENTER.DateModified,,,
