attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Investment Fund Id,Khóa đại diện cho quỹ đầu tư chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate.,,
Investment Fund Code,Mã định danh quỹ đầu tư. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.FUNDS.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.FUNDS,
Investment Fund Name,Tên đầy đủ quỹ đầu tư.,Text,false,false,draft,FMS.FUNDS.FundName,,,
Investment Fund Short Name,Tên viết tắt quỹ đầu tư.,Text,true,false,draft,FMS.FUNDS.FundShortName,,,
Investment Fund English Name,Tên tiếng Anh quỹ đầu tư.,Text,true,false,draft,FMS.FUNDS.FundEnName,,,
Fund Management Company Id,FK đến công ty QLQ quản lý quỹ.,Surrogate Key,false,false,draft,FMS.FUNDS.SecId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ quản lý quỹ.,Text,false,false,draft,FMS.FUNDS.SecId,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Fund Capital Amount,Vốn điều lệ quỹ đầu tư (VNĐ).,Currency Amount,true,false,draft,FMS.FUNDS.FundCapital,,,
Fund Type Code,Loại hình quỹ đầu tư.,Classification Value,true,false,draft,FMS.FUNDS.FundType,Scheme: FMS_FUND_TYPE.,,
Practice Status Code,Trạng thái hoạt động quỹ.,Classification Value,true,false,draft,FMS.FUNDS.Status,Scheme: FMS_OPERATION_STATUS.,,
License Decision Date,Ngày cấp phép thành lập quỹ.,Date,true,false,draft,FMS.FUNDS.DecisionDate,Denormalized — map vào IP Alt Identification.,,
Active Date,Ngày bắt đầu hoạt động.,Date,true,false,draft,FMS.FUNDS.ActiveDate,,,
Stop Date,Ngày ngừng hoạt động.,Date,true,false,draft,FMS.FUNDS.StopDate,,,
Distribution Agent Ids,Danh sách đại lý phân phối quỹ (SK + mã nghiệp vụ).,Array<Struct>,true,false,draft,FMS.AGENFUNDS.AgnId,Pure junction AGENFUNDS → denormalize thành ARRAY. Struct: {agent_id: Surrogate Key; agent_code: Text}. HLD decision: FMS_HLD_Tier3.md.,,
Custodian Bank Ids,Danh sách ngân hàng lưu ký giám sát (SK + mã nghiệp vụ).,Array<Struct>,true,false,draft,FMS.FNDSBMN.BmnId,Pure junction FNDSBMN → denormalize thành ARRAY. Struct: {bank_id: Surrogate Key; bank_code: Text}. HLD decision: FMS_HLD_Tier3.md.,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FMS.FUNDS.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.FUNDS.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.FUNDS.DateModified,,,
