attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Public Company Capital Mobilization Id,Khóa đại diện cho bản ghi tăng vốn trước khi thành công ty đại chúng.,Surrogate Key,false,true,draft,,PK surrogate.,,
Public Company Capital Mobilization Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.capital_mobilization.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.capital_mobilization,
Public Company Id,FK đến công ty đại chúng.,Surrogate Key,false,false,draft,IDS.capital_mobilization.company_profile_id,FK target: Public Company.Public Company Id.,,
Public Company Code,Mã công ty đại chúng.,Text,false,false,draft,IDS.capital_mobilization.company_profile_id,Lookup pair: Public Company.Public Company Code. Pair with Public Company Id.,,
Report Year,Năm điều chỉnh vốn góp.,Small Counter,true,false,draft,IDS.capital_mobilization.report_year,,,
Paid In Capital End Of Year Amount,Vốn điều lệ thực góp tính đến thời điểm cuối năm.,Currency Amount,true,false,draft,IDS.capital_mobilization.paid_in_capital_eoy,,,
Capital Increase Count,Số đợt tăng vốn trong năm.,Small Counter,true,false,draft,IDS.capital_mobilization.capital_increase_count,,,
Capital Increase Method,Hình thức tăng vốn.,Text,true,false,draft,IDS.capital_mobilization.capital_increase_method,Text tự do từ nguồn — không có scheme tài liệu hóa.,,
Audit Firm Name,Tên công ty kiểm toán xác nhận (tiếng Việt).,Text,true,false,draft,IDS.capital_mobilization.audit_firm_name_vi,Text denormalized — nguồn chỉ lưu tên không có mã; không có FK trực tiếp đến Audit Firm entity.,,
Audit Firm English Name,Tên công ty kiểm toán xác nhận (tiếng Anh).,Text,true,false,draft,IDS.capital_mobilization.audit_firm_name_en,Text denormalized — nguồn chỉ lưu tên không có mã.,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.capital_mobilization.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.capital_mobilization.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.capital_mobilization.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.capital_mobilization.last_updated_date,,,
