attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Public Company Treasury Stock Activity Id,Khóa đại diện cho hoạt động cổ phiếu quỹ theo năm.,Surrogate Key,false,true,draft,,PK surrogate.,,
Public Company Treasury Stock Activity Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.company_treasury_stocks.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.company_treasury_stocks,
Public Company Id,FK đến công ty đại chúng.,Surrogate Key,false,false,draft,IDS.company_treasury_stocks.company_profile_id,FK target: Public Company.Public Company Id.,,
Public Company Code,Mã công ty đại chúng.,Text,false,false,draft,IDS.company_treasury_stocks.company_profile_id,Lookup pair: Public Company.Public Company Code. Pair with Public Company Id.,,
Transaction Year,Năm giao dịch cổ phiếu quỹ.,Small Counter,true,false,draft,IDS.company_treasury_stocks.transaction_year,,,
Treasury Buy Quantity,Số lượng cổ phiếu quỹ mua trong năm.,Small Counter,true,false,draft,IDS.company_treasury_stocks.treasury_buy_qty,,,
Treasury Buy Round Count,Số đợt mua cổ phiếu quỹ trong năm.,Small Counter,true,false,draft,IDS.company_treasury_stocks.treasury_buy_rc,,,
Treasury Sell Quantity,Số lượng cổ phiếu quỹ bán trong năm.,Small Counter,true,false,draft,IDS.company_treasury_stocks.treasury_sell_qty,,,
Treasury Sell Round Count,Số đợt bán cổ phiếu quỹ trong năm.,Small Counter,true,false,draft,IDS.company_treasury_stocks.treasury_sell_rc,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.company_treasury_stocks.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.company_treasury_stocks.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.company_treasury_stocks.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.company_treasury_stocks.last_updated_date,,,
