attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Financial Report Catalog Id,Khóa đại diện cho biểu mẫu BCTC.,Surrogate Key,false,true,draft,,PK surrogate.,,
Financial Report Catalog Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.report_catalog.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.report_catalog,
Financial Report Catalog Business Code,Mã báo cáo (mã nghiệp vụ).,Text,true,false,draft,IDS.report_catalog.report_cd,Mã nghiệp vụ — khác BK kỹ thuật.,,
Financial Report Catalog Name,Tên báo cáo (tiếng Việt).,Text,true,false,draft,IDS.report_catalog.report_name_vi,,,
Financial Report Catalog English Name,Tên báo cáo (tiếng Anh).,Text,true,false,draft,IDS.report_catalog.report_name_en,,,
Report Direction Type Code,"Loại báo cáo: i=báo cáo đầu vào, o=báo cáo đầu ra.",Classification Value,true,false,draft,IDS.report_catalog.rc_type_cd,Scheme: IDS_REPORT_CATALOG_TYPE.,IDS_REPORT_CATALOG_TYPE,
Report Year,Năm của báo cáo.,Small Counter,true,false,draft,IDS.report_catalog.report_year,,,
Report Scope Code,"Loại hình báo cáo (hợp nhất, mẹ).",Classification Value,true,false,draft,IDS.report_catalog.report_scope_cd,Scheme: IDS_REPORT_SCOPE.,IDS_REPORT_SCOPE,
Enterprise Type Code,"Loại hình doanh nghiệp (dn-doanh nghiệp, bh-bảo hiểm, td-tín dụng, ck-chứng khoán).",Classification Value,true,false,draft,IDS.report_catalog.enterprise_type_cd,Scheme: IDS_ENTERPRISE_TYPE.,IDS_ENTERPRISE_TYPE,
Consolidated Flag,Là báo cáo hợp nhất (1=có / 0=không).,Boolean,true,false,draft,IDS.report_catalog.consolidated_flg,,,
Active Flag,Trạng thái sử dụng (1=đang sử dụng / 0=không sử dụng).,Boolean,true,false,draft,IDS.report_catalog.active_flg,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.report_catalog.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.report_catalog.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.report_catalog.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.report_catalog.last_updated_date,,,
