attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Financial Report Row Template Id,Khóa đại diện cho hàng biểu mẫu BCTC.,Surrogate Key,false,true,draft,,PK surrogate.,,
Financial Report Row Template Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.rrow.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.rrow,
Financial Report Catalog Id,FK đến biểu mẫu BCTC.,Surrogate Key,false,false,draft,IDS.rrow.report_catalog_id,FK target: Financial Report Catalog.Financial Report Catalog Id.,,
Financial Report Catalog Code,Mã biểu mẫu BCTC.,Text,false,false,draft,IDS.rrow.report_catalog_id,Lookup pair: Financial Report Catalog.Financial Report Catalog Code. Pair with Financial Report Catalog Id.,,
Row Code,Mã hàng (auto-generated theo quy tắc r+sequence).,Text,true,false,draft,IDS.rrow.row_cd,,,
Row Name,Tên hàng (tiếng Việt).,Text,true,false,draft,IDS.rrow.row_name_vi,,,
Row English Name,Tên hàng (tiếng Anh).,Text,true,false,draft,IDS.rrow.row_name_en,,,
Row Type Code,"Kiểu giá trị của hàng: v=value, f=formula, d=description.",Classification Value,true,false,draft,IDS.rrow.row_type_cd,Scheme: IDS_REPORT_ROW_TYPE.,IDS_REPORT_ROW_TYPE,
Row Formula,Công thức của hàng.,Text,true,false,draft,IDS.rrow.row_formula,,,
Row Description Column Code,Mô tả nội dung của hàng (hiện đang lưu mã cột).,Text,true,false,draft,IDS.rrow.col_cd,Denormalized text — nguồn lưu mã cột làm mô tả.,,
Row Index,Thứ tự hàng.,Small Counter,true,false,draft,IDS.rrow.row_index,,,
Report Year,Năm tạo báo cáo (denormalized từ report_catalog).,Small Counter,true,false,draft,IDS.rrow.report_year,Trường lưu dư thừa — đã có Financial Report Catalog Id.,,
Report Direction Type Code,Loại báo cáo (denormalized từ report_catalog).,Classification Value,true,false,draft,IDS.rrow.rc_type_cd,Scheme: IDS_REPORT_CATALOG_TYPE. Trường lưu dư thừa — đã có Financial Report Catalog Id.,IDS_REPORT_CATALOG_TYPE,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.rrow.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.rrow.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.rrow.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.rrow.last_updated_date,,,
