attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Index Constituent Snapshot Id,Khóa đại diện cho bản ghi thành phần rổ chỉ số.,Surrogate Key,false,true,draft,,PK surrogate.,,
Index Constituent Snapshot Code,Định danh duy nhất bản tin (GUID). BK.,Text,false,false,draft,MDDS.CSIDXInfor.ID,BK chính. PK nguồn string (GUID) — khớp tự nhiên với Text.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=MDDS.CSIDXInfor,
Market Index Snapshot Id,FK đến bản tin thông tin chỉ số tương ứng.,Surrogate Key,false,false,draft,MDDS.CSIDXInfor.IndexCode,FK target: Market Index Snapshot.Market Index Snapshot Id. Join qua (index_code / trading_date).,,
Index Code,Mã chỉ số (VN30 / HNX30 / VNFINSELECT...). BK.,Text,false,false,draft,MDDS.CSIDXInfor.IndexCode,Lookup pair: Market Index Snapshot.Index Code. Pair with Market Index Snapshot Id. BK nghiệp vụ. Nguồn string — khớp tự nhiên với Text.,,
Security Trading Snapshot Id,FK đến bản tin thông tin giao dịch chứng khoán thành viên.,Surrogate Key,false,false,draft,MDDS.CSIDXInfor.Symbol,FK target: Security Trading Snapshot.Security Trading Snapshot Id. Join qua (symbol / trading_date).,,
Symbol,Mã chứng khoán thành viên trong rổ chỉ số. BK.,Text,false,false,draft,MDDS.CSIDXInfor.Symbol,Lookup pair: Security Trading Snapshot.Symbol. Pair with Security Trading Snapshot Id. BK nghiệp vụ. Nguồn string — khớp tự nhiên với Text.,,
Snapshot Time,"Thời điểm snapshot trong ngày. BK. Nguồn ghi là TradingDate nhưng tài liệu gốc mô tả ""định dạng HHmmss"" — ngữ nghĩa là timestamp nội ngày, không phải ngày giao dịch. Cần xác nhận lại với đội nguồn.",Text,false,false,draft,MDDS.CSIDXInfor.TradingDate,"BK. Nguồn string — lưu dạng Text theo quyết định T2-02. Data type nguồn không rõ là date hay HHmmss string — cần profile trước khi ETL. BK = (index_code / symbol / snapshot_time).",,
Floor Code,Mã sàn giao dịch của mã chứng khoán.,Classification Value,true,false,draft,MDDS.CSIDXInfor.FloorCode,Scheme: MDDS_FLOOR_CODE. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_FLOOR_CODE,
Index Id,ID số của sàn giao dịch.,Text,true,false,draft,MDDS.CSIDXInfor.IndexId,Nguồn int — ETL cần convert sang string. Mã số nội bộ sàn — denormalized text.,,
Weighted,Tỷ trọng (weight) của mã trong rổ chỉ số (dạng thập phân — ví dụ 0.0513 = 5.13%).,Percentage,true,false,draft,MDDS.CSIDXInfor.Weighted,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Add Date,Ngày mã được thêm vào rổ chỉ số.,Date,true,false,draft,MDDS.CSIDXInfor.AddDate,Nguồn string — ETL cần parse sang Date. Cần validate format ngày hợp lệ.,,
Stock Contribution,Giá trị chỉ số tại thời điểm hiện tại (dùng để tính index contribution).,Currency Amount,true,false,draft,MDDS.CSIDXInfor.StockNo,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Total Match Volume,Tổng khối lượng khớp lệnh của mã này trong ngày (lô chẵn).,Small Counter,true,false,draft,MDDS.CSIDXInfor.TotalQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
