attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Market Snapshot Id,Khóa đại diện cho bản tin tổng quan thị trường.,Surrogate Key,false,true,draft,,PK surrogate.,,
Market Snapshot Code,Định danh duy nhất bản tin (GUID). BK.,Text,false,false,draft,MDDS.MarketInfor.id,BK chính. PK nguồn string (GUID) — khớp tự nhiên với Text.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=MDDS.MarketInfor,
Market Id,ID sàn/chỉ số: 10=HOSE / 02=HNX / 04=UPCOM / 06=Corp Bond / VN30 / HNX30... BK.,Classification Value,false,false,draft,MDDS.MarketInfor.marketId,Scheme: MDDS_MARKET_ID. BK phân biệt bản tin theo sàn/chỉ số. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_MARKET_ID,
Market Code,Mã chỉ số tương ứng với marketId.,Text,true,false,draft,MDDS.MarketInfor.marketCode,Nguồn string — khớp tự nhiên với Text.,,
Trading Date,Ngày giao dịch.,Date,false,false,draft,MDDS.MarketInfor.tradingdate,Nguồn field không có kiểu dữ liệu trong Columns.csv — cần profile. Domain chọn Date theo ngữ nghĩa. ETL cần parse sang Date.,,
Sequence Message,Số thứ tự tăng dần trong ngày — đảm bảo thứ tự xử lý bản tin.,Small Counter,false,false,draft,MDDS.MarketInfor.sequenceMsg,Nguồn int — khớp tự nhiên với Small Counter.,,
Index Time,Thời gian cập nhật chỉ số.,Text,true,false,draft,MDDS.MarketInfor.indexTime,Nguồn string (HHmmss) — khớp tự nhiên với Text.,,
Market Status Code,Trạng thái phiên giao dịch (ATO / Continuous / ATC / Closed...).,Classification Value,true,false,draft,MDDS.MarketInfor.marketStatus,Scheme: MDDS_MARKET_STATUS. Nguồn string — khớp tự nhiên với Classification Value.,MDDS_MARKET_STATUS,
Market Index Value,Điểm chỉ số thị trường hiện tại.,Currency Amount,true,false,draft,MDDS.MarketInfor.marketIndex,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Index Change Value,Thay đổi điểm chỉ số so với đầu ngày (tham chiếu).,Currency Amount,true,false,draft,MDDS.MarketInfor.indexChange,Nguồn string — ETL cần parse sang decimal. Có thể mang giá trị âm.,,
Index Change Percentage,Phần trăm thay đổi điểm chỉ số so với đầu ngày.,Percentage,true,false,draft,MDDS.MarketInfor.indexPercentChange,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Index Color,Màu hiển thị chỉ số (tăng/giảm/đứng).,Text,true,false,draft,MDDS.MarketInfor.indexColor,Nguồn string — khớp tự nhiên với Text. Indicator hiển thị UI.,,
Prior Market Index Value,Chỉ số tham chiếu — giá trị đóng cửa phiên giao dịch gần nhất.,Currency Amount,true,false,draft,MDDS.MarketInfor.PRV_PRIOR_MARKET_INDEX,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Average Market Index Value,Chỉ số trung bình của thị trường trong phiên.,Currency Amount,true,false,draft,MDDS.MarketInfor.AVR_MARKET_INDEX,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
