attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner License Application Employment Experience Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Government Registration"" (Arrangement). Kinh nghiệm làm việc trong hồ sơ đăng ký CCHN.",,
Securities Practitioner License Application Employment Experience Code,Mã định danh kinh nghiệm làm việc. BK,Text,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.APPLICATION_EXPERIENCES,NHNCK.APPLICATION_EXPERIENCES
License Application Id,FK đến hồ sơ đăng ký CCHN,Surrogate Key,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.APPLICATION_ID,FK target: Securities Practitioner License Application.License Application Id.,,
License Application Code,Mã hồ sơ đăng ký CCHN,Text,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.APPLICATION_ID,Lookup pair: Securities Practitioner License Application.License Application Code. Pair with License Application Id.,,
Document Type Code,Mã loại tài liệu yêu cầu (Classification Value từ Documents),Classification Value,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.DOCUMENT_ID,Scheme: DOCUMENT_TYPE. FK đến bảng Documents — chỉ mang Code vì là reference data set.,DOCUMENT_TYPE=,
Securities Organization Reference Id,FK đến tổ chức kinh doanh chứng khoán trong hệ thống (nullable — nếu nơi làm việc là CTCK/QLQ đã đăng ký),Surrogate Key,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.ORGANIZATION_ID,FK target: Securities Organization Reference.Securities Organization Reference Id.,,
Securities Organization Reference Code,Mã tổ chức kinh doanh chứng khoán (dư thừa),Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.ORGANIZATION_ID,Lookup pair: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Reference Id.,,
Organization Name,Tên tổ chức nơi làm việc (snapshot text — giữ kể cả khi ORGANIZATION_ID có giá trị),Text,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.ORGANIZATION_NAME,Denormalized — giữ lại vì tên tổ chức có thể thay đổi theo thời gian hoặc tổ chức chưa có trong hệ thống.,,
Department Name,Tên phòng ban nơi làm việc,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.DEPARTMENT_NAME,,,
Position,Chức vụ tại tổ chức,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.POSITION,,,
Employment Start Date,Ngày bắt đầu làm việc tại tổ chức,Date,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.START_DATE,,,
Employment End Date,Ngày kết thúc làm việc tại tổ chức (null nếu đang làm việc),Date,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.END_DATE,,,
Work Duration Months,Thời gian làm việc tại tổ chức (số tháng),Small Counter,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.WORK_DURATION,,,
Total Experience Duration Months,Tổng thời gian kinh nghiệm tích lũy (số tháng),Small Counter,false,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.TOTAL_DURATION,,,
Insurance Number,Số bảo hiểm xã hội,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.INSURANCE_NUMBER,,,
Labor Contract Info,Thông tin hợp đồng lao động,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.LABOR_CONTRACT,,,
Director Confirmation,Thông tin xác nhận của giám đốc tổ chức,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.DIRECTOR_CONFIRMATION,,,
Note,Ghi chú bổ sung,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_EXPERIENCES.NOTE,,,
