attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner License Application Re-Exam Request Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Documentation"" (Resource Item). Yêu cầu thi lại CCHN.",,
Securities Practitioner License Application Re-Exam Request Code,Mã định danh. BK,Text,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.APPLICATION_RE_EXAMS,NHNCK.APPLICATION_RE_EXAMS
License Application Id,FK đến hồ sơ gốc đã thi trượt,Surrogate Key,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.APPLICATION_ID,FK target: Securities Practitioner License Application.License Application Id.,,
License Application Code,Mã hồ sơ gốc,Text,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.APPLICATION_ID,Lookup pair: Securities Practitioner License Application.License Application Code. Pair with License Application Id.,,
Examination Assessment Result Id,FK đến kết quả thi trượt,Surrogate Key,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.EXAM_DETAIL_ID,FK target: Securities Practitioner Qualification Examination Assessment Result.Examination Assessment Result Id.,,
Examination Assessment Result Code,Mã kết quả thi trượt,Text,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.EXAM_DETAIL_ID,Lookup pair: Securities Practitioner Qualification Examination Assessment Result.Examination Assessment Result Code. Pair with Examination Assessment Result Id.,,
Re-Exam License Application Id,FK đến hồ sơ thi lại mới (nullable — chưa nộp),Surrogate Key,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.RE_APPLICATION_ID,FK target: Securities Practitioner License Application.License Application Id.,,
Re-Exam License Application Code,Mã hồ sơ thi lại mới,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.RE_APPLICATION_ID,Lookup pair: Securities Practitioner License Application.License Application Code. Pair with Re-Exam License Application Id.,,
Record Status Code,Trạng thái bản ghi (1=Hoạt động),Classification Value,false,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.RECORD_STATUS,Scheme: APPLICATION_STATUS.,,
Created By Officer Id,FK đến Officer tạo bản ghi,Surrogate Key,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.CREATED_BY,FK target: Regulatory Authority Officer.Officer Id. Pending — nguồn USERS chưa map.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.CREATED_BY,Lookup pair: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id. Pending.,,
Updated By Officer Id,FK đến Officer cập nhật bản ghi,Surrogate Key,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.UPDATED_BY,FK target: Regulatory Authority Officer.Officer Id. Pending — nguồn USERS chưa map.,,
Updated By Officer Code,Mã người cập nhật,Text,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.UPDATED_BY,Lookup pair: Regulatory Authority Officer.Officer Code. Pair with Updated By Officer Id. Pending.,,
Created Timestamp,Thời điểm tạo,Timestamp,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.CREATED_AT,Pending — kiểu DATE nguồn map sang Timestamp Atomic.,,
Updated Timestamp,Thời điểm cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.APPLICATION_RE_EXAMS.UPDATED_AT,Pending — kiểu DATE nguồn map sang Timestamp Atomic.,,
