attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Regulatory Authority Organization Unit Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Organization"" (Involved Party). Phòng ban thuộc đơn vị UBCKNN.",,
Regulatory Authority Organization Unit Code,Mã phòng ban. BK,Text,false,false,draft,NHNCK.DEPARTMENTS.DEPARTMENT_CODE,BK chính.,,
Source System Code,Mã hệ thống nguồn. BK,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.DEPARTMENTS,NHNCK.DEPARTMENTS
Organization Unit Type Code,Phân loại — Phòng ban (Department),Classification Value,false,false,draft,,Scheme: ORGANIZATION_UNIT_TYPE. ETL-derived.,ORGANIZATION_UNIT_TYPE=DEPARTMENT,DEPARTMENT
Regulatory Authority Organization Unit Name,Tên phòng ban,Text,true,false,draft,NHNCK.DEPARTMENTS.DEPARTMENT_NAME,,,
Hierarchy Level Code,Cấp độ trong cây phân cấp — null cho phòng ban,Classification Value,true,false,draft,,ETL-derived: null. DEPARTMENTS không có trường LEVEL_.,,
Parent Regulatory Authority Organization Unit Id,FK đến đơn vị cha (UNITS),Surrogate Key,true,false,draft,NHNCK.DEPARTMENTS.UNIT_ID,FK target: Regulatory Authority Organization Unit.Regulatory Authority Organization Unit Id. Parent là Unit không phải Department.,,
Parent Regulatory Authority Organization Unit Code,Mã đơn vị cha (UNITS),Text,true,false,draft,NHNCK.DEPARTMENTS.UNIT_ID,Lookup pair: Regulatory Authority Organization Unit.Regulatory Authority Organization Unit Code. Pair with Parent Regulatory Authority Organization Unit Id.,,
Description,Mô tả chi tiết phòng ban,Text,true,false,draft,NHNCK.DEPARTMENTS.DESCRIPTION,,,
Sort Order,Thứ tự sắp xếp phòng ban trong đơn vị,Small Counter,true,false,draft,NHNCK.DEPARTMENTS.SORT_ORDER,,,
Record Status Code,Trạng thái hoạt động của phòng ban,Classification Value,false,false,draft,NHNCK.DEPARTMENTS.RECORD_STATUS,Scheme: ORGANIZATION_UNIT_STATUS. 1=Hoạt động → ACTIVE; 0=Không → INACTIVE.,,
