attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner Organization Employment Report Id,Khóa đại diện cho báo cáo danh sách NHNCK tại tổ chức (surrogate key).,Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Employer Registration"" (Documentation).",,
Securities Practitioner Organization Employment Report Code,Mã định danh kỹ thuật (BK). Map từ PK bảng nguồn.,Text,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.ID,BK chính. PK nguồn (NUMBER — ETL cần convert sang string).,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.,SOURCE_SYSTEM=NHNCK.ORGANIZATION_REPORTS,NHNCK.ORGANIZATION_REPORTS
Securities Organization Reference Id,FK đến tổ chức kinh doanh chứng khoán.,Surrogate Key,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.ORGANIZATION_ID,FK target: Securities Organization Reference.Securities Organization Reference Id.,,
Securities Organization Reference Code,Mã tổ chức (denormalized).,Text,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.ORGANIZATION_ID,Lookup pair: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Reference Id.,,
Securities Practitioner Id,FK đến người hành nghề chứng khoán.,Surrogate Key,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.PROFESSIONAL_ID,FK target: Securities Practitioner.Securities Practitioner Id.,,
Securities Practitioner Code,Mã người hành nghề (denormalized).,Text,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.PROFESSIONAL_ID,Lookup pair: Securities Practitioner.Securities Practitioner Code. Pair with Securities Practitioner Id.,,
License Certificate Document Id,FK đến hồ sơ chứng chỉ hành nghề (nullable).,Surrogate Key,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.CERTIFICATE_RECORD_ID,FK target: License Certificate Document.License Certificate Document Id.,,
License Certificate Document Code,Mã hồ sơ chứng chỉ hành nghề (denormalized).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.CERTIFICATE_RECORD_ID,Lookup pair: License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.,,
Certificate Type Code,Loại chứng chỉ hành nghề tại thời điểm báo cáo.,Classification Value,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.CERTIFICATE_ID,Scheme: CERTIFICATE_TYPE. Map từ FK CERTIFICATE_ID — lưu mã loại chứng chỉ không tạo FK entity.,,
Parent Report Id,FK self-ref — báo cáo gốc được điều chỉnh (nullable).,Surrogate Key,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.PARENT_REPORT_ID,FK target: Securities Practitioner Organization Employment Report.Securities Practitioner Organization Employment Report Id. Self-referencing.,,
Parent Report Code,Mã báo cáo gốc (denormalized).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.PARENT_REPORT_ID,Lookup pair: Securities Practitioner Organization Employment Report.Securities Practitioner Organization Employment Report Code. Pair with Parent Report Id.,,
Practitioner Name At Report,Họ và tên người hành nghề tại thời điểm lập báo cáo (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.FULL_NAME,Denormalized snapshot từ PROFESSIONALS.FULL_NAME tại thời điểm báo cáo.,,
Practitioner Birth Date At Report,Ngày sinh người hành nghề tại thời điểm lập báo cáo (snapshot).,Date,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.BIRTH_DATE,Denormalized snapshot.,,
Practitioner Identity Number At Report,Số định danh cá nhân tại thời điểm lập báo cáo (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.IDENTITY_NUMBER,Denormalized snapshot.,,
Practitioner Position At Report,Chức vụ của người hành nghề tại tổ chức (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.POSITION,Denormalized snapshot.,,
Practitioner Department At Report,Phòng ban của người hành nghề tại tổ chức (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.DEPARTMENT,Denormalized snapshot.,,
Practitioner Workplace At Report,Nơi làm việc của người hành nghề tại thời điểm báo cáo (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.WORKPLACE,Denormalized snapshot.,,
Certificate Number At Report,Số chứng chỉ hành nghề tại thời điểm lập báo cáo (snapshot).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.CERTIFICATE_NUMBER,Denormalized snapshot.,,
Certificate Issue Date At Report,Ngày cấp chứng chỉ hành nghề tại thời điểm lập báo cáo (snapshot).,Date,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.ISSUE_DATE,Denormalized snapshot.,,
Hire Date,Ngày tuyển dụng vào tổ chức.,Date,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.HIRE_DATE,,,
Termination Date,Ngày chấm dứt hợp đồng lao động (NULL = đang làm việc).,Date,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.TERMINATION_DATE,NULL = đang làm việc tại tổ chức.,,
Report Date,Ngày lập báo cáo.,Date,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.REPORT_DATE,Business event date.,,
Disciplines,Kỷ luật của người hành nghề tại tổ chức.,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.DISCIPLINES,Lưu dạng văn bản tự do (NCLOB nguồn).,,
Description,Mô tả bổ sung cho báo cáo.,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.DESCRIPTION,,,
Notes,Ghi chú nội bộ.,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.NOTES,Lưu dạng văn bản tự do (NCLOB nguồn).,,
Business Department Name,Tên phòng nghiệp vụ UBCKNN phụ trách (denormalized text).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.BUSINESS_DEPARTMENT,Lưu tên text — không FK đến Departments vì là text tự do phản ánh cơ cấu tổ chức tại thời điểm báo cáo.,,
Report File Path,Đường dẫn file báo cáo đính kèm.,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.FILE_PATH,,,
Termination File Path,Đường dẫn file chấm dứt hợp đồng đính kèm.,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.FILE_PATH_TERMINATION,,,
External Sync Id,Mã đồng bộ từ hệ thống ngoài (FMS/SCMS).,Text,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.SYNC_ID,Metadata đồng bộ liên hệ thống.,,
Record Type Code,Phân loại loại bản ghi báo cáo.,Classification Value,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.RECORD_TYPE,Scheme: REPORT_TYPE. Nguồn lưu dạng NUMBER — ETL convert sang string.,,
Organization Status Code At Report,Trạng thái tổ chức tại thời điểm lập báo cáo.,Classification Value,true,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.STATUS_ORGANIZATION,Scheme: WORK_STATUS_ORGANIZATION. Nguồn lưu dạng NUMBER — ETL convert sang string.,,
Record Status Code,Trạng thái bản ghi báo cáo (1=Hoạt động).,Classification Value,false,false,draft,NHNCK.qlnhn.ORGANIZATION_REPORTS.RECORD_STATUS,Scheme: VIOLATION_STATUS. Nguồn lưu dạng NUMBER — ETL convert sang string.,,
Sync Created Timestamp,Thời điểm tạo bản ghi tại hệ thống đồng bộ nguồn.,Timestamp,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.SYNC_CREATED_AT,,,
Sync Updated Timestamp,Thời điểm cập nhật bản ghi tại hệ thống đồng bộ nguồn.,Timestamp,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.SYNC_UPDATED_AT,,,
Created Timestamp,Thời điểm tạo bản ghi trong NHNCK.,Timestamp,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.CREATED_AT,,,
Created By Officer Id,FK đến nhân viên UBCKNN tạo bản ghi.,Surrogate Key,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.CREATED_BY,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã nhân viên tạo bản ghi (denormalized).,Text,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.CREATED_BY,Lookup pair: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Updated Timestamp,Thời điểm cập nhật bản ghi gần nhất.,Timestamp,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.UPDATED_AT,,,
Updated By Officer Id,FK đến nhân viên UBCKNN cập nhật bản ghi.,Surrogate Key,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.UPDATED_BY,FK target: Regulatory Authority Officer.Officer Id.,,
Updated By Officer Code,Mã nhân viên cập nhật bản ghi (denormalized).,Text,true,false,pending,NHNCK.qlnhn.ORGANIZATION_REPORTS.UPDATED_BY,Lookup pair: Regulatory Authority Officer.Officer Code. Pair with Updated By Officer Id.,,
