attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner Professional Training History Id,Khóa đại diện cho bản ghi lịch sử đào tạo / bồi dưỡng chuyên môn của người hành nghề chứng khoán (surrogate key).,Surrogate Key,false,true,draft,,PK surrogate. BCV: "Individual Education / Training History" (Involved Party).,,
Securities Practitioner Professional Training History Code,Mã định danh kỹ thuật. BK của entity. Map từ PK bảng nguồn.,Text,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.ID,BK chính. PK nguồn (NUMBER — ETL cần convert sang string).,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.,SOURCE_SYSTEM=NHNCK.PROFESSIONAL_TRAININGS,NHNCK.PROFESSIONAL_TRAININGS
Securities Practitioner Id,Surrogate key FK đến người hành nghề chứng khoán.,Surrogate Key,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.PROFESSIONAL_ID,FK target: Securities Practitioner.Securities Practitioner Id.,,
Securities Practitioner Code,Mã kỹ thuật của người hành nghề (dư thừa).,Text,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.PROFESSIONAL_ID,Lookup pair: Securities Practitioner.Securities Practitioner Code. Pair with Securities Practitioner Id.,,
Training Start Date,Ngày bắt đầu khóa đào tạo / bồi dưỡng chuyên môn.,Text,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.START_DATE,Nguồn lưu dạng NVARCHAR2(10) — ETL cần parse sang Date; giữ Text domain để tránh lỗi chuyển đổi khi dữ liệu không chuẩn.,,
Training End Date,Ngày kết thúc khóa đào tạo / bồi dưỡng chuyên môn.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.END_DATE,Nguồn lưu dạng NVARCHAR2(10) — ETL cần parse sang Date; nullable khi khóa học chưa kết thúc.,,
Training Place,Nơi tổ chức đào tạo / bồi dưỡng.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.TRAINING_PLACE,,,
Specialization Description,Chuyên ngành được đào tạo (text tự do từ nguồn).,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.SPECIALIZATION,Lưu nguyên giá trị text — không chuẩn hóa thành Classification Value vì dữ liệu tự do.,,
Awards,Thông tin khen thưởng nhận được trong quá trình đào tạo.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.AWARDS,,,
Disciplines,Thông tin kỷ luật trong quá trình đào tạo.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_TRAININGS.DISCIPLINES,,,
