attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner Employment Status Id,Khóa đại diện cho bản ghi lịch sử công tác / trạng thái việc làm của người hành nghề chứng khoán (surrogate key).,Surrogate Key,false,true,draft,,PK surrogate. BCV: ""Individual Employment Status"" (Involved Party).,,
Securities Practitioner Employment Status Code,Mã định danh kỹ thuật. BK của entity. Map từ PK bảng nguồn.,Text,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.ID,BK chính. PK nguồn (NUMBER — ETL cần convert sang string).,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.,SOURCE_SYSTEM=NHNCK.PROFESSIONAL_WORK_HISTORIES,NHNCK.PROFESSIONAL_WORK_HISTORIES
Securities Practitioner Id,Surrogate key FK đến người hành nghề chứng khoán.,Surrogate Key,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.PROFESSIONAL_ID,FK target: Securities Practitioner.Securities Practitioner Id.,,
Securities Practitioner Code,Mã kỹ thuật của người hành nghề (dư thừa).,Text,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.PROFESSIONAL_ID,Lookup pair: Securities Practitioner.Securities Practitioner Code. Pair with Securities Practitioner Id.,,
Securities Organization Reference Id,Surrogate key FK đến tổ chức kinh doanh chứng khoán nơi người hành nghề làm việc.,Surrogate Key,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.ORGANIZATION_ID,FK target: Securities Organization Reference.Securities Organization Reference Id.,,
Securities Organization Reference Code,Mã kỹ thuật của tổ chức (dư thừa).,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.ORGANIZATION_ID,Lookup pair: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Reference Id.,,
Department Name,Tên đơn vị / phòng ban trong tổ chức tại thời điểm làm việc (snapshot text).,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.UNIT_NAME,Denormalized snapshot — lưu nguyên giá trị text tại thời điểm ghi nhận.,,
Workplace Name,Tên tổ chức / nơi làm việc dạng text (có thể khác ORGANIZATION_NAME khi tổ chức đổi tên hoặc chưa có trong ORGANIZATIONS).,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.WORKPLACE,Denormalized — giữ lại vì có thể không trùng với Securities Organization Reference Name.,,
Employment Start Date,Ngày bắt đầu làm việc tại tổ chức.,Date,false,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.START_DATE,,,
Employment End Date,Ngày kết thúc làm việc. Null = đang làm việc.,Date,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.END_DATE,Null = đang làm việc hiện tại.,,
Position Code,Mã chức vụ của người hành nghề tại tổ chức.,Classification Value,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.POSITION_ID,"Scheme: POSITION. Nguồn lưu FK NUMBER đến bảng POSITIONS — ETL cần lookup và convert sang string code.",POSITION,
Position Name,Tên chức vụ snapshot tại thời điểm ghi nhận.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.POSITION_NAME,Snapshot text — lưu nguyên giá trị không chuẩn hóa.,,
Awards,Thông tin khen thưởng trong thời gian làm việc tại tổ chức.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.AWARDS,,,
Disciplines,Thông tin kỷ luật trong thời gian làm việc tại tổ chức.,Text,true,false,draft,NHNCK.qlnhn.PROFESSIONAL_WORK_HISTORIES.DISCIPLINES,,,
