attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Trade Id,Khóa đại diện cho giao dịch khớp lệnh chứng khoán.,Surrogate Key,false,true,draft,,"PK surrogate. Entity ""Securities Trade"" gộp Trade_HOSE + Trade_HNX phân biệt qua Market Id Code.",,
Securities Trade Code,ID của giao dịch khớp — unique key trong ngày. BK chính.,Text,false,false,draft,OrderTrade.Trade_HNX.Trade number,"BK chính. Unique trong (Trade Date + Symbol). Nguồn Number(11) — ETL convert sang string.",,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=OrderTrade.Trade_HNX,
Trade Date,Ngày giao dịch (yyyymmdd).,Date,false,false,draft,OrderTrade.Trade_HNX.Trade date,Nguồn Character(8) — ETL parse sang date.,,
Trade Time,Thời điểm giao dịch xảy ra (hh24misss — 9 ký tự kể cả phần trăm giây).,Text,false,false,draft,OrderTrade.Trade_HNX.Trade time,"HNX có độ phân giải cao hơn HOSE (9 vs 6 ký tự). Lưu Text vì không có ngày kèm theo.",,
Market Id Code,Mã thị trường HNX: STX/UPX/BDX/DVX/HCX.,Classification Value,false,false,draft,OrderTrade.Trade_HNX.Market ID,Scheme: ORDERTRADE_MARKET_ID.,ORDERTRADE_MARKET_ID,
Symbol Code,Mã chứng khoán.,Text,false,false,draft,OrderTrade.Trade_HNX.Issue Code,FK suy luận đến Instrument ngoài scope — lưu Text denormalized.,,
Board Type Code,Loại bảng giao dịch.,Classification Value,false,false,draft,OrderTrade.Trade_HNX.Board ID,Scheme: ORDERTRADE_BOARD_TYPE.,ORDERTRADE_BOARD_TYPE,
Session Code,Phiên giao dịch lúc khớp.,Classification Value,false,false,draft,OrderTrade.Trade_HNX.Session ID,Scheme: ORDERTRADE_SESSION.,ORDERTRADE_SESSION,
Exec Price,Giá khớp thực tế của giao dịch.,Currency Amount,false,false,draft,OrderTrade.Trade_HNX.Trade price,Nguồn Number(15) — confirmed execution price.,,
Exec Volume,Khối lượng giao dịch khớp.,Small Counter,false,false,draft,OrderTrade.Trade_HNX.Trade quantity,Nguồn Number(10).,,
Exec Price Spread First,Giá khớp của Leg 1 trong Spread trade (phái sinh/repo 2 vế).,Currency Amount,true,false,draft,OrderTrade.Trade_HNX.Execution Price of Spread First,"Chỉ có trên HNX — nullable trên entity gộp. NULL nếu không phải Spread trade.",,
Exec Price Spread Second,Giá khớp của Leg 2 trong Spread trade.,Currency Amount,true,false,draft,OrderTrade.Trade_HNX.Execution Price of Spread Second,"Chỉ có trên HNX — nullable trên entity gộp. NULL nếu không phải Spread trade.",,
Buy Securities Order Id,FK đến lệnh mua trong Securities Order.,Surrogate Key,true,false,draft,OrderTrade.Trade_HNX.Buy Order Reception Number,"FK target: Securities Order.Securities Order Id. Nullable khi lệnh mua không resolve được (xem HLD T2-01). ETL lookup qua (Trade Date + Symbol + Buy Order Reception Number).",,
Buy Securities Order Code,Order Reception Number của lệnh mua tại KRX.,Text,true,false,draft,OrderTrade.Trade_HNX.Buy Order Reception Number,"Lookup pair: Securities Order.Securities Order Code. Pair with Buy Securities Order Id. Nguồn Number(11) — ETL convert sang string.",,
Buy Member Code,Mã CTCK bên mua.,Text,false,false,draft,OrderTrade.Trade_HNX.Buy member number,FK suy luận đến Member ngoài scope — denormalized snapshot.,,
Buy Account Number,Tài khoản nhà đầu tư bên mua.,Text,false,false,draft,OrderTrade.Trade_HNX.Buy account number,FK suy luận đến Account ngoài scope — denormalized snapshot.,,
Buy Client House Type Code,Phân loại lệnh mua: 10=Client / 30=House.,Classification Value,false,false,draft,OrderTrade.Trade_HNX.Buy client/house classification,Scheme: ORDERTRADE_CLIENT_HOUSE_TYPE.,ORDERTRADE_CLIENT_HOUSE_TYPE,
Buy Investor Type Code,Loại hình nhà đầu tư bên mua theo chuẩn KRX.,Classification Value,true,false,draft,OrderTrade.Trade_HNX.Buy investor classification code,Scheme: ORDERTRADE_INVESTOR_TYPE.,ORDERTRADE_INVESTOR_TYPE,
