attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Report Template Row Id,Khóa đại diện cho hàng biểu mẫu báo cáo.,Surrogate Key,false,true,draft,,PK surrogate.,,
Report Template Row Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.BM_BAO_CAO_HANG.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.BM_BAO_CAO_HANG,
Report Template Id,FK đến biểu mẫu báo cáo.,Surrogate Key,false,false,draft,SCMS.BM_BAO_CAO_HANG.BM_BAO_CAO_ID,FK target: Report Template.Report Template Id.,,
Report Template Code,Mã biểu mẫu báo cáo.,Text,false,false,draft,SCMS.BM_BAO_CAO_HANG.BM_BAO_CAO_ID,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,,
Report Template Sheet Id,FK đến sheet biểu mẫu báo cáo.,Surrogate Key,false,false,draft,SCMS.BM_BAO_CAO_HANG.BM_SHEET_ID,FK target: Report Template Sheet.Report Template Sheet Id.,,
Report Template Sheet Code,Mã sheet biểu mẫu.,Text,false,false,draft,SCMS.BM_BAO_CAO_HANG.BM_SHEET_ID,Lookup pair: Report Template Sheet.Report Template Sheet Code. Pair with Report Template Sheet Id.,,
Row Business Code,Mã hàng (mã nghiệp vụ).,Text,true,false,draft,SCMS.BM_BAO_CAO_HANG.MA_HANG,,,
Row Name,Tên hàng.,Text,true,false,draft,SCMS.BM_BAO_CAO_HANG.TEN_HANG,,,
Description,Mô tả hàng.,Text,true,false,draft,SCMS.BM_BAO_CAO_HANG.MO_TA,,,
Sort Order,Thứ tự hiển thị.,Small Counter,true,false,draft,SCMS.BM_BAO_CAO_HANG.SAP_XEP,,,
Is Repeatable Indicator,Cờ lặp: 1-Lặp; 0-Không lặp.,Indicator,true,false,draft,SCMS.BM_BAO_CAO_HANG.LAP,,,
Is Active Flag,Trạng thái sử dụng: 1-Sử dụng; 0-Không sử dụng.,Boolean,true,false,draft,SCMS.BM_BAO_CAO_HANG.SU_DUNG,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.BM_BAO_CAO_HANG.NGAY_CAP_NHAT,,,
