attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Application Eform Field Value Id,Khóa đại diện cho bộ giá trị Eform của một ContentItem.,Surrogate Key,false,true,draft,,PK surrogate. Grain = 1 ContentItem.,,
Securities Offering Application Code,Mã ContentItemId của hồ sơ Eform. BK.,Text,false,false,draft,TTHC.ContentItemIndex.ContentItemId,"BK chính. ETL join: *FieldIndex.ContentItemId = ContentItemIndex.ContentItemId. Filter: Published=1 AND Latest=1.",,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=TTHC.EformFieldValues,
Securities Offering Application Id,FK đến hồ sơ chào bán.,Surrogate Key,false,false,draft,TTHC.ContentItemIndex.ContentItemId,FK target: Securities Offering Application.Securities Offering Application Id.,,
Content Type Code,Loại Eform (ContentType) — phân biệt 11 loại hồ sơ chào bán.,Classification Value,false,false,draft,TTHC.ContentItemIndex.ContentType,Scheme: TTHC_CONTENT_TYPE.,TTHC_CONTENT_TYPE,
Text Fields,Tập hợp các field dạng văn bản (TextFieldIndex) của ContentItem. Mỗi phần tử = 1 field.,Array<Struct>,true,false,draft,TTHC.TextFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ TextFieldIndex. Struct: {content_part: Text; content_field: Text; text_value: Text; big_text_value: Text}. ETL: COALESCE(Text, null) → text_value; COALESCE(BigText, null) → big_text_value. Cả hai có thể null.",,"ETL derived"
Html Fields,Tập hợp các field dạng HTML (HtmlFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.HtmlFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ HtmlFieldIndex. Struct: {content_part: Text; content_field: Text; html_value: Text}.",,"ETL derived"
Multi Text Fields,Tập hợp các field dạng đa văn bản (MultiTextFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.MultiTextFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ MultiTextFieldIndex. Struct: {content_part: Text; content_field: Text; value: Text; big_value: Text}. Cả Value và BigValue giữ nguyên — không merge.",,"ETL derived"
Link Fields,Tập hợp các field dạng liên kết (LinkFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.LinkFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ LinkFieldIndex. Struct: {content_part: Text; content_field: Text; url: Text; big_url: Text; link_text: Text; big_link_text: Text}. Giữ đầy đủ 4 cột giá trị.",,"ETL derived"
Numeric Fields,Tập hợp các field dạng số (NumericFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.NumericFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ NumericFieldIndex. Struct: {content_part: Text; content_field: Text; numeric_value: Currency Amount}. Nguồn data type DECIMAL — giữ nguyên precision.",,"ETL derived"
Date Fields,Tập hợp các field dạng ngày (DateFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.DateFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ DateFieldIndex. Struct: {content_part: Text; content_field: Text; date_value: Date}. Nguồn DATETIME chỉ lưu ngày — cast về Date.",,"ETL derived"
Datetime Fields,Tập hợp các field dạng ngày giờ (DateTimeFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.DateTimeFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ DateTimeFieldIndex. Struct: {content_part: Text; content_field: Text; datetime_value: Timestamp}.",,"ETL derived"
Time Fields,Tập hợp các field dạng giờ (TimeFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.TimeFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ TimeFieldIndex. Struct: {content_part: Text; content_field: Text; time_value: Text}. Iceberg không có native TIME type — lưu dạng string HH:MM:SS.",,"ETL derived"
Boolean Fields,Tập hợp các field dạng đúng/sai (BooleanFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.BooleanFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ BooleanFieldIndex. Struct: {content_part: Text; content_field: Text; boolean_value: Boolean}.",,"ETL derived"
Content Picker Fields,Tập hợp các field dạng content picker (ContentPickerFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.ContentPickerFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ ContentPickerFieldIndex. Struct: {content_part: Text; content_field: Text; selected_content_item_id: Text}. Xem điểm xác nhận T2-05.",,"ETL derived"
User Picker Fields,Tập hợp các field dạng user picker (UserPickerFieldIndex) của ContentItem.,Array<Struct>,true,false,draft,TTHC.UserPickerFieldIndex.ContentField,"ETL aggregate: GROUP BY ContentItemId từ UserPickerFieldIndex. Struct: {content_part: Text; content_field: Text; selected_user_id: Text}. Denormalized — UserIndex ngoài scope. Xem điểm xác nhận T2-05.",,"ETL derived"
