attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Surveillance Case Document Attachment Id,Khóa đại diện cho văn bản đính kèm hồ sơ giám sát.,Surrogate Key,false,true,draft,,,,
Surveillance Case Document Attachment Code,Mã văn bản. Map từ PK ThanhTra.GS_HO_SO_VAN_BAN.ID.,Text,false,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.GS_HO_SO_VAN_BAN,
Surveillance Enforcement Case Id,FK đến Surveillance Enforcement Case.,Surrogate Key,false,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.HO_SO_ID,FK target: Surveillance Enforcement Case.Surveillance Enforcement Case Id.,,
Surveillance Enforcement Case Code,Mã hồ sơ giám sát.,Text,false,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.HO_SO_ID,Lookup pair: Surveillance Enforcement Case.Surveillance Enforcement Case Code. Pair with Surveillance Enforcement Case Id.,,
Document Number,Số hiệu văn bản.,Text,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.SO_HIEU,,,
Document Name,Tên tài liệu.,Text,false,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.TEN_TAI_LIEU,,,
Sequence Number,Số thứ tự.,Small Counter,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.SO_THU_TU,,,
Page Count,Số trang.,Small Counter,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.SO_TRANG,,,
Document Source,Nguồn gốc tài liệu.,Text,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.NGUON_GOC_TAI_LIEU,,,
Attachment File Name,Tên file đính kèm.,Text,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.FILE_NAME,,,
Attachment File URL,Đường dẫn file.,Text,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.FILE_PATH,,,
Attachment File Size,Kích thước file (bytes).,Small Counter,true,false,draft,ThanhTra.GS_HO_SO_VAN_BAN.FILE_SIZE,,,
