attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Inspection Case Id,Khóa đại diện cho hồ sơ thanh tra.,Surrogate Key,false,true,draft,,,,
Inspection Case Code,Mã hồ sơ. Map từ PK ThanhTra.TT_HO_SO.ID.,Text,false,false,draft,ThanhTra.TT_HO_SO.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.TT_HO_SO,
Inspection Decision Id,FK đến Inspection Decision.,Surrogate Key,false,false,draft,ThanhTra.TT_HO_SO.QUYET_DINH_ID,FK target: Inspection Decision.Inspection Decision Id.,,
Inspection Decision Code,Mã quyết định.,Text,false,false,draft,ThanhTra.TT_HO_SO.QUYET_DINH_ID,Lookup pair: Inspection Decision.Inspection Decision Code. Pair with Inspection Decision Id.,,
Inspection Type Code,Loại hình: THANH_TRA / KIEM_TRA.,Classification Value,false,false,draft,ThanhTra.TT_HO_SO.LOAI_HINH,Scheme: TT_PLAN_TYPE.,,
Business Sector Code,Mảng nghiệp vụ.,Classification Value,true,false,draft,ThanhTra.TT_HO_SO.MANG_NGHIEP_VU_ID,Scheme: TT_BUSINESS_SECTOR.,,
Case Number,Mã hồ sơ nghiệp vụ (duy nhất).,Text,false,false,draft,ThanhTra.TT_HO_SO.MA_HO_SO,,,
Case Name,Tên hồ sơ.,Text,true,false,draft,ThanhTra.TT_HO_SO.TEN_HO_SO,,,
Archive Number,Mã số lưu trữ.,Text,true,false,draft,ThanhTra.TT_HO_SO.MA_SO_LUU_TRU,,,
Received Date,Ngày nhận hồ sơ.,Date,true,false,draft,ThanhTra.TT_HO_SO.NGAY_NHAN_HO_SO,,,
Data Source Description,Nguồn cung cấp thông tin.,Text,true,false,draft,ThanhTra.TT_HO_SO.NGUON_CUNG_CAP,,,
Case Content,Nội dung hồ sơ.,Text,true,false,draft,ThanhTra.TT_HO_SO.NOI_DUNG,,,
Subject Type Code,Loại đối tượng: CA_NHAN / TO_CHUC (snapshot).,Classification Value,true,false,draft,ThanhTra.TT_HO_SO.LOAI_DOI_TUONG,Scheme: TT_PARTY_TYPE.,,
Subject Full Name,Họ tên cá nhân đối tượng (snapshot — grain là hồ sơ không phải IP).,Text,true,false,draft,ThanhTra.TT_HO_SO.HO_TEN,,,
Subject Date of Birth,Ngày sinh cá nhân đối tượng (snapshot).,Date,true,false,draft,ThanhTra.TT_HO_SO.NGAY_SINH,,,
Subject Gender Code,Giới tính cá nhân đối tượng (snapshot).,Classification Value,true,false,draft,ThanhTra.TT_HO_SO.GIOI_TINH,Scheme: INDIVIDUAL_GENDER.,,
Subject Nationality,Quốc tịch đối tượng (snapshot — text tự do).,Text,true,false,draft,ThanhTra.TT_HO_SO.QUOC_TICH,,,
Subject Account Number,Số tài khoản đối tượng (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.SO_TAI_KHOAN,,,
Subject Account Bank Name,Nơi mở tài khoản (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.NOI_MO_TAI_KHOAN,,,
Subject Id Number,Số CMND/CCCD đối tượng cá nhân (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.SO_CMND,,,
Subject Phone Number,Số điện thoại đối tượng (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.SO_DIEN_THOAI,,,
Subject Email,Email đối tượng (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.EMAIL,,,
Subject Address,Địa chỉ đối tượng (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.DIA_CHI,,,
Subject Organization Name,Tên tổ chức đối tượng (snapshot).,Text,true,false,draft,ThanhTra.TT_HO_SO.TEN_DOI_TUONG,,,
