attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Inspection Case Document Attachment Id,Khóa đại diện cho văn bản đính kèm hồ sơ thanh tra.,Surrogate Key,false,true,draft,,,,
Inspection Case Document Attachment Code,Mã văn bản. Map từ PK ThanhTra.TT_HO_SO_VAN_BAN.ID.,Text,false,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.TT_HO_SO_VAN_BAN,
Inspection Case Id,FK đến Inspection Case.,Surrogate Key,false,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.HO_SO_ID,FK target: Inspection Case.Inspection Case Id.,,
Inspection Case Code,Mã hồ sơ thanh tra.,Text,false,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.HO_SO_ID,Lookup pair: Inspection Case.Inspection Case Code. Pair with Inspection Case Id.,,
Document Type Code,Loại văn bản: KE_HOACH / QUYET_DINH / BIEN_BAN / KET_LUAN / CONG_VAN / GIAI_TRINH.,Classification Value,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.LOAI_VAN_BAN,Scheme: TT_CASE_TYPE.,,
Document Number,Số hiệu văn bản.,Text,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.SO_HIEU,,,
Document Name,Tên tài liệu.,Text,false,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.TEN_TAI_LIEU,,,
Page Sequence Number,Số thứ tự.,Small Counter,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.SO_THU_TU,,,
Page Count,Số trang.,Small Counter,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.SO_TRANG,,,
Document Source,Nguồn gốc tài liệu.,Text,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.NGUON_GOC_TAI_LIEU,,,
Attachment File Name,Tên file đính kèm.,Text,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.FILE_NAME,,,
Attachment File URL,Đường dẫn file.,Text,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.FILE_PATH,,,
Attachment File Size,Kích thước file (bytes).,Small Counter,true,false,draft,ThanhTra.TT_HO_SO_VAN_BAN.FILE_SIZE,,,
