attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Inspection Annual Plan Document Attachment Id,Khóa đại diện cho văn bản kèm kế hoạch thanh tra.,Surrogate Key,false,true,draft,,,,
Inspection Annual Plan Document Attachment Code,Mã văn bản. Map từ PK ThanhTra.TT_KE_HOACH_VAN_BAN.ID.,Text,false,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.TT_KE_HOACH_VAN_BAN,
Inspection Annual Plan Id,FK đến Inspection Annual Plan.,Surrogate Key,false,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.KE_HOACH_ID,FK target: Inspection Annual Plan.Inspection Annual Plan Id.,,
Inspection Annual Plan Code,Mã kế hoạch.,Text,false,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.KE_HOACH_ID,Lookup pair: Inspection Annual Plan.Inspection Annual Plan Code. Pair with Inspection Annual Plan Id.,,
Document Number,Số hiệu văn bản.,Text,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.SO_HIEU,,,
Document Name,Tên tài liệu.,Text,false,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.TEN_TAI_LIEU,,,
Page Sequence Number,Số thứ tự trang.,Small Counter,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.SO_THU_TU,,,
Page Count,Số trang tài liệu.,Small Counter,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.SO_TRANG,,,
Document Source,Nguồn gốc tài liệu.,Text,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.NGUON_GOC_TAI_LIEU,,,
Attachment File Name,Tên file đính kèm.,Text,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.FILE_NAME,,,
Attachment File URL,Đường dẫn file lưu trữ.,Text,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.FILE_PATH,,,
Attachment File Size,Kích thước file (bytes).,Small Counter,true,false,draft,ThanhTra.TT_KE_HOACH_VAN_BAN.FILE_SIZE,,,
