STT;Mã;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Cần phân tích?;Cần test?;DL lịch sử?;Trạng thái mapping;Mapping (nghiệp vụ);Bảng nguồn;Trường nguồn;Điều kiện dữ liệu;Câu lệnh SQL;Câu lệnh update SIT;Note;Hoàn thành DEV;Loại dữ liệu;Kết quả SIT
;;;Tên chiều/chỉ tiêu/thuộc tính;List công thức;Dashboard/báo cáo/Data Explorer;Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh;"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi";Phục vụ design;;;;;"Done: đã map xong
doing: đang xem xét
failed: đã xem nhưng chưa maping được
(null): chưa làm";;Bảng(s) trong CSDL IDS;Trường SELECT;WHERE / GROUP BY / HAVING;SQL tham khảo;;;;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;A. Lưu chuyển tiền từ hoạt động kinh doanh;null;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;;;;;"Tương tự mục 19, thay điều kiện:
WHERE UPPER(rc.enterprise_type_cd) = 'TD'
AND rc.report_cd LIKE 'BCLCTT_TT%'";Dòng tiêu đề, không có dữ liệu số;Done;Dữ liệu động;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;1. Thu nhập lãi và các khoản thu nhập tương tự nhận được;1;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_01_TNLAI_NHANDUOC;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '01'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_01_TNLAI_NHANDUOC
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '01'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;2. Chi phí lãi và các chi phí tương tự đã trả (*);2;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_02_CPLAI_DATTRA;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '02'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_02_CPLAI_DATTRA
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '02'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;3. Thu nhập từ hoạt động dịch vụ nhận được;3;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_03_TN_DICHVU;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '03'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_03_TN_DICHVU
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '03'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán);4;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_04_CHENHLECH_NGOAITE;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '04'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_04_CHENHLECH_NGOAITE
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '04'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;5. Thu nhập khác;5;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_05_TN_KHAC;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '05'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_05_TN_KHAC
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '05'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;6. Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn rủi ro;6;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_06_TIEN_NOPHI_XUL;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '06'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_06_TIEN_NOPHI_XUL
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '06'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ (*);7;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_07_TIENCHI_NHANVIEN;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '07'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_07_TIENCHI_NHANVIEN
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '07'";;Done;Dữ liệu động;;
29;;Dữ liệu tài chính tổ chức tín dụng chi tiết - Báo cáo lưu chuyển tiền tệ - trực tiếp;8. Tiền thuế thu nhập thực nộp trong kỳ (*);8;Data Explorer;Chỉ tiêu cơ sở;Dễ;kỳ quý hoặc năm hoặc bán niên, sàn, Ngành, CTDC, chỉ tiêu BC;IDS;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.rrow (rr),
IDS.rcol (rc2),
IDS.company_data (cd)";d.data_value AS CTTD_TT_08_TIENTHUE_NOP;"rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '08'";"SELECT
cd.id,
rr.row_desc AS ma_chi_tieu,
rr.row_name_vi AS ten_chi_tieu,
d.data_value AS CTTD_TT_08_TIENTHUE_NOP
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id = rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd
AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd
AND rc2.report_catalog_id = d.report_catalog_id
JOIN ids.company_data cd ON d.COMPANY_PROFILE_ID = cd.COMPANY_PROFILE_ID AND cd.report_year=d.report_year AND cd.report_quarter=d.report_quarter 
WHERE rc.enterprise_type_cd = 'td'
AND rc.report_cd LIKE 'BCLCTT_TT%'
AND rc2.col_desc = '1'
AND cd.report_year = :year
AND cd.report_quarter = :quarter
AND rr.row_desc = '08'";;Done;Dữ liệu động;;
