;;;;;;;;;;;;;;;Khai thác nguồn;;;Review design;;;;;;;;
TT;Mã;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Cần phân tích?;Cần test?;DL lịch sử?;Trạng thái mapping;Mapping (nghiệp vụ);Bảng nguồn;Trường nguồn;Điều kiện;Câu lệnh tham khảo;Note;Chỉ tiêu gốc;Kết quả Test;Model;DMT;Hoàn thành DEV;Loại dữ liệu;
;;;Tên chiều/chỉ tiêu/thuộc tính;;Dashboard/báo cáo/Data Explorer;Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh;"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi";;;;;;;;;;;;;;;;;;;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Sàn;Sàn giao dịch: HOSE, HNX, UPCOM;Dashboard;Chiều;TB;Sàn;MDDS, CSDLTT;X;X;;Done;;N/A;N/A;"-- Chỉ số: 
MARKETCODE IN ('HOSE', 'HNX', 'UPCOM') --> HOSE = VNIndex, HNX = HNX-Index, UPCOM = UPCoM-Index
-- GTGD: 
""Market ID"" IN ('STO','STX','UPX') --> STO = Cổ phiếu HOSE, STX = Cổ phiếu HNX, UPX = Cổ phiếu UPCoM";;Tham số lọc;;;;;;Dữ liệu tĩnh;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Chỉ số;Danh mục chỉ số thị trường của các sàn: VN-Index, HNX-Index, UPCOM-Index;Dashboard;Chiều;TB;Sàn, Chỉ số;MDDS;X;X;;Done;Thông tin thị trường;MDDS.JAD_MARKETINFOR;MARKETCODE;"-- Danh sách chỉ số:
MARKETCODE IN ('HOSE', 'HNX', 'UPCOM') --> HOSE = VNIndex, HNX = HNX-Index, UPCOM = UPCoM-Index";"WITH PERIOD_PARAM AS (
-- Tham số kỳ báo cáo: Ngày, Tháng, Quý, Năm
SELECT
-- Kỳ báo cáo
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_FROM, 'DD/MM/YYYY')
, 'M', TO_DATE('01/' || :PERIOD_FROM, 'DD/MM/YYYY')
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_FROM, 4, 4), 'DD/MM/YYYY'), (TO_NUMBER(SUBSTR(:PERIOD_FROM, 1, 2)) - 1) * 3)
, 'Y', TO_DATE('01/01/' || :PERIOD_FROM, 'DD/MM/YYYY')
) AS FROMDATE, -- Ngày đầu của ""Từ kỳ""
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_TO, 'DD/MM/YYYY')
, 'M', LAST_DAY(TO_DATE('01/' || :PERIOD_TO, 'DD/MM/YYYY'))
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_TO, 4, 4), 'DD/MM/YYYY'),TO_NUMBER(SUBSTR(:PERIOD_TO, 1, 2)) * 3) - 1
, 'Y', TO_DATE('31/12/' || :PERIOD_TO, 'DD/MM/YYYY')
) AS TODATE -- Ngày cuối của ""Đến kỳ""
FROM DUAL
)
, MARKETINFOR_PERIOD AS (
-- Dữ liệu chỉ số index
SELECT 
M.TRADINGDATE,
M.INDEXTIME,
M.MARKETCODE,
M.MARKETINDEX,
DECODE(:PERIOD_TYPE, 
'D', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'DD/MM/YYYY'), 
'M', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM/YYYY'), 
'Q', '0' || TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q/YYYY'), 
'Y', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_VALUE,
DECODE(:PERIOD_TYPE, 
'D', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY')), 
'M', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM'), 
'Q', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q'), 
'Y', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_FROMDATE
FROM JAD_MARKETINFOR M
CROSS JOIN PERIOD_PARAM P
WHERE M.MARKETCODE IN ('HOSE', 'HNX', 'UPCOM')
AND M.TRADINGDATE >= P.FROMDATE
AND M.TRADINGDATE <= P.TODATE
) 
-- Chỉ số index lấy dữ liệu mới nhất từng kỳ
SELECT 
PERIOD_VALUE, 
MARKETCODE,
DECODE(MARKETCODE, 'HOSE', 'VN-Index', 'HNX', 'HNX-Index', 'UPCOM', 'UPCoM-Index') INDEXNAME,
MARKETINDEX
FROM (
SELECT 
PERIOD_VALUE,
MARKETCODE,
MARKETINDEX,
ROW_NUMBER() OVER (PARTITION BY MARKETCODE, PERIOD_VALUE, PERIOD_FROMDATE ORDER BY TRADINGDATE DESC, INDEXTIME DESC) RN
FROM MARKETINFOR_PERIOD
)
WHERE RN = 1";;;;;;;Dữ liệu tĩnh;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Giá trị chỉ số;Giá trị chỉ số (Điểm) tại ngày cuối kỳ báo cáo.;Dashboard;Chỉ tiêu cơ sở;Dễ;Sàn, Chỉ số, Ngày;MDDS;X;X;;Done;Thông tin thị trường;MDDS.JAD_MARKETINFOR;MARKETINDEX;"-- Danh sách chỉ số:
MARKETCODE IN ('HOSE', 'HNX', 'UPCOM') --> HOSE = VNIndex, HNX = HNX-Index, UPCOM = UPCoM-Index
-- Lấy bản ghi cuối cùng trong kỳ";;;;;;;Dữ liệu tĩnh;;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;GT mua/bán ròng NĐTNN;"GT mua/bán ròng NĐTNN = Σ (GT NĐTNN mua − GT NĐTNN bán) trong kỳ báo cáo.
Phân loại giao dịch ở sổ lệnh như sau:
- Sell Foreign Investor Type Code <> 00 là NĐTNN bán
- Buy Foreign Investor Type Code <> 00 là NĐTNN bán";Dashboard;Chỉ tiêu phái sinh;TB;Sàn, Ngày/Tháng/Quý/Năm;MDDS, CSDLTT;X;X;;Done;Sổ lệnh (Trade Book);TRADE_HOSE, TRADE_HNX;"TRADE_HOSE.""Execution - Value""
TRADE_HNX.""Trade price""
TRADE_HNX.""Trade quantity""";"-- Cổ phiếu:
""Market ID"" IN ('STO','STX','UPX') --> STO = Cổ phiếu HOSE, STX = Cổ phiếu HNX, UPX = Cổ phiếu UPCoM
-- Giao dịch NĐTNN - HOSE:
TRADE_HOSE.""Buy - Foreigner Investor type"" <> '00' --Mua
TRADE_HOSE.""Sell - Foreigner Investor type"" <> '00' --Bán
-- Giao dịch NĐTNN - HNX/UPCOM:
TRADE_HNX.""Buy Foreign Investor Type Code"" <> '00' --Mua
TRADE_HNX.""Sell Foreign Investor Type Code"" <> '00' --Bán";"WITH params AS (
-- Tham số thời gian
SELECT
CASE :PERIOD_TYPE
WHEN 'D' THEN TO_DATE(:PERIOD_FROM, 'DD/MM/YYYY')
WHEN 'M' THEN TO_DATE('01/' || :PERIOD_FROM, 'DD/MM/YYYY')
WHEN 'Q' THEN ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_FROM, 4, 4), 'DD/MM/YYYY'), (TO_NUMBER(SUBSTR(:PERIOD_FROM, 1, 2)) - 1) * 3)
WHEN 'Y' THEN TO_DATE('01/01/' || :PERIOD_FROM, 'DD/MM/YYYY')
END AS FROMDATE, -- Ngày bắt đầu của Từ kỳ
CASE :PERIOD_TYPE
WHEN 'D' THEN TO_DATE(:PERIOD_TO, 'DD/MM/YYYY')
WHEN 'M' THEN LAST_DAY(TO_DATE('01/' || :PERIOD_TO, 'DD/MM/YYYY'))
WHEN 'Q' THEN ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_TO, 4, 4), 'DD/MM/YYYY'), TO_NUMBER(SUBSTR(:PERIOD_TO, 1, 2)) * 3) - 1
WHEN 'Y' THEN TO_DATE('31/12/' || :PERIOD_TO, 'DD/MM/YYYY')
END AS TODATE -- Ngày kết thúc của Đến kỳ
FROM dual
)
, data_trade AS (
-- Tông giao dịch theo ngày
SELECT 
""Market ID"" AS market_id,
""Trade Date"" AS trade_date,
SUM(CASE
WHEN ""Buy - Foreigner Investor type"" <> '00' THEN ""Execution - Value""
ELSE 0 
END)
- SUM(CASE
WHEN ""Sell - Foreigner Investor type"" <> '00' THEN ""Execution - Value""
ELSE 0
END) AS gt_nn_rong
FROM CSDLTT_TRADE_HOSE h
CROSS JOIN params p
WHERE h.""Market ID"" = 'STO' -- Cổ phiếu HOSE
AND h.""Trade Date"" >= p.fromdate
AND h.""Trade Date"" < p.todate + 1
GROUP BY h.""Market ID"", h.""Trade Date""
UNION ALL
SELECT 
""Market ID"" AS market_id,
TO_DATE(""Trade date"",'YYYYMMDD') AS trade_date,
SUM(CASE 
WHEN ""Buy Foreign Investor Type Code"" <> '00' THEN ""Trade price"" * ""Trade quantity""
ELSE 0
END)
- SUM(CASE 
WHEN ""Sell Foreign Investor Type Code"" <> '00' THEN ""Trade price"" * ""Trade quantity""
ELSE 0
END) AS gt_nn_rong
FROM CSDLTT_TRADE_HNX h
CROSS JOIN params p
WHERE h.""Market ID"" IN ('STX','UPX') -- STX = Cổ phiếu HNX, UPX = Cổ phiếu UPCoM
AND TO_DATE(h.""Trade date"",'YYYYMMDD') >= p.fromdate
AND TO_DATE(h.""Trade date"",'YYYYMMDD') < p.todate + 1
GROUP BY h.""Market ID"", TO_DATE(""Trade date"",'YYYYMMDD')
)
, data_period AS (
-- Tổng giao dịch theo kỳ báo cáo
SELECT
market_id,
DECODE(:PERIOD_TYPE, 'D', TO_CHAR(trade_date, 'DD/MM/YYYY'), 'M', TO_CHAR(trade_date, 'MM/YYYY'), 'Q', '0' || TO_CHAR(trade_date, 'Q/YYYY'), 'Y', TO_CHAR(trade_date, 'YYYY')) period_value,
DECODE(:PERIOD_TYPE, 'D', TRUNC(trade_date), 'M', TRUNC(trade_date, 'MM'), 'Q', TRUNC(trade_date, 'Q'),'Y', TRUNC(trade_date, 'YYYY')) period_fromdate,
SUM(gt_nn_rong) gt_nn_rong
FROM data_trade
GROUP BY 
market_id,
DECODE(:PERIOD_TYPE, 'D', TO_CHAR(trade_date, 'DD/MM/YYYY'), 'M', TO_CHAR(trade_date, 'MM/YYYY'), 'Q', '0' || TO_CHAR(trade_date, 'Q/YYYY'), 'Y', TO_CHAR(trade_date, 'YYYY')),
DECODE(:PERIOD_TYPE, 'D', TRUNC(trade_date), 'M', TRUNC(trade_date, 'MM'), 'Q', TRUNC(trade_date, 'Q'),'Y', TRUNC(trade_date, 'YYYY'))
)
-- Dữ liệu lên báo cáo
SELECT 
market_id,
period_value,
period_fromdate,
gt_nn_rong
FROM data_period
WHERE :MARKET_ID = market_id
UNION ALL
SELECT 
'Toàn thị trường' AS marketid,
period_value,
period_fromdate,
SUM(gt_nn_rong) AS gt_nn_rong
FROM data_period
WHERE :MARKET_ID = 'Toàn thị trường'
GROUP BY period_value, period_fromdate
ORDER BY market_id, period_fromdate
;";;;;;;;Dữ liệu tĩnh;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Giá trị chỉ số VN-Index;Giá trị chỉ số VN-Index tại ngày cuối kỳ báo cáo;Dashboard;Chỉ tiêu cơ sở;Trùng;Sàn, Chỉ số, Ngày;MDDS;;X;;Done;Thông tin thị trường;MDDS.JAD_MARKETINFOR;MARKETINDEX;"-- Danh sách chỉ số:
MARKETCODE = 'HOSE'
-- Lấy bản ghi cuối cùng trong kỳ";"WITH PERIOD_PARAM AS (
-- Tham số kỳ báo cáo: Ngày, Tháng, Quý, Năm
SELECT
-- Kỳ báo cáo
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_FROM, 'DD/MM/YYYY')
, 'M', TO_DATE('01/' || :PERIOD_FROM, 'DD/MM/YYYY')
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_FROM, 4, 4), 'DD/MM/YYYY'), (TO_NUMBER(SUBSTR(:PERIOD_FROM, 1, 2)) - 1) * 3)
, 'Y', TO_DATE('01/01/' || :PERIOD_FROM, 'DD/MM/YYYY')
) AS FROMDATE, -- Ngày đầu của ""Từ kỳ""
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_TO, 'DD/MM/YYYY')
, 'M', LAST_DAY(TO_DATE('01/' || :PERIOD_TO, 'DD/MM/YYYY'))
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_TO, 4, 4), 'DD/MM/YYYY'),TO_NUMBER(SUBSTR(:PERIOD_TO, 1, 2)) * 3) - 1
, 'Y', TO_DATE('31/12/' || :PERIOD_TO, 'DD/MM/YYYY')
) AS TODATE -- Ngày cuối của ""Đến kỳ""
FROM DUAL
)
, MARKETINFOR_PERIOD AS (
-- Dữ liệu chỉ số index
SELECT 
M.TRADINGDATE,
M.INDEXTIME,
M.MARKETCODE,
M.MARKETINDEX,
DECODE(:PERIOD_TYPE, 
'D', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'DD/MM/YYYY'), 
'M', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM/YYYY'), 
'Q', '0' || TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q/YYYY'), 
'Y', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_VALUE,
DECODE(:PERIOD_TYPE, 
'D', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY')), 
'M', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM'), 
'Q', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q'), 
'Y', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_FROMDATE
FROM JAD_MARKETINFOR M
CROSS JOIN PERIOD_PARAM P
WHERE M.MARKETCODE = 'HOSE'
AND M.TRADINGDATE >= P.FROMDATE
AND M.TRADINGDATE <= P.TODATE
) 
-- Chỉ số index lấy dữ liệu mới nhất từng kỳ
SELECT 
PERIOD_VALUE, 
MARKETCODE,
DECODE(MARKETCODE, 'HOSE', 'VN-Index', 'HNX', 'HNX-Index', 'UPCOM', 'UPCoM-Index') INDEXNAME,
MARKETINDEX
FROM (
SELECT 
PERIOD_VALUE,
MARKETCODE,
MARKETINDEX,
ROW_NUMBER() OVER (PARTITION BY MARKETCODE, PERIOD_VALUE, PERIOD_FROMDATE ORDER BY TRADINGDATE DESC, INDEXTIME DESC) RN
FROM MARKETINFOR_PERIOD
)
WHERE RN = 1";;Giá trị chỉ số;;;;;Dữ liệu tĩnh;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Giá trị chỉ số HNX-Index;Giá trị chỉ số HNX-Index tại ngày cuối kỳ báo cáo;Dashboard;Chỉ tiêu cơ sở;Trùng;Sàn, Chỉ số, Ngày;MDDS;;X;;Done;Thông tin thị trường;MDDS.JAD_MARKETINFOR;MARKETINDEX;"-- Danh sách chỉ số:
MARKETCODE = 'HNX'
-- Lấy bản ghi cuối cùng trong kỳ";"WITH PERIOD_PARAM AS (
-- Tham số kỳ báo cáo: Ngày, Tháng, Quý, Năm
SELECT
-- Kỳ báo cáo
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_FROM, 'DD/MM/YYYY')
, 'M', TO_DATE('01/' || :PERIOD_FROM, 'DD/MM/YYYY')
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_FROM, 4, 4), 'DD/MM/YYYY'), (TO_NUMBER(SUBSTR(:PERIOD_FROM, 1, 2)) - 1) * 3)
, 'Y', TO_DATE('01/01/' || :PERIOD_FROM, 'DD/MM/YYYY')
) AS FROMDATE, -- Ngày đầu của ""Từ kỳ""
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_TO, 'DD/MM/YYYY')
, 'M', LAST_DAY(TO_DATE('01/' || :PERIOD_TO, 'DD/MM/YYYY'))
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_TO, 4, 4), 'DD/MM/YYYY'),TO_NUMBER(SUBSTR(:PERIOD_TO, 1, 2)) * 3) - 1
, 'Y', TO_DATE('31/12/' || :PERIOD_TO, 'DD/MM/YYYY')
) AS TODATE -- Ngày cuối của ""Đến kỳ""
FROM DUAL
)
, MARKETINFOR_PERIOD AS (
-- Dữ liệu chỉ số index
SELECT 
M.TRADINGDATE,
M.INDEXTIME,
M.MARKETCODE,
M.MARKETINDEX,
DECODE(:PERIOD_TYPE, 
'D', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'DD/MM/YYYY'), 
'M', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM/YYYY'), 
'Q', '0' || TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q/YYYY'), 
'Y', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_VALUE,
DECODE(:PERIOD_TYPE, 
'D', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY')), 
'M', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM'), 
'Q', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q'), 
'Y', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_FROMDATE
FROM JAD_MARKETINFOR M
CROSS JOIN PERIOD_PARAM P
WHERE M.MARKETCODE = 'HNX'
AND M.TRADINGDATE >= P.FROMDATE
AND M.TRADINGDATE <= P.TODATE
) 
-- Chỉ số index lấy dữ liệu mới nhất từng kỳ
SELECT 
PERIOD_VALUE, 
MARKETCODE,
DECODE(MARKETCODE, 'HOSE', 'VN-Index', 'HNX', 'HNX-Index', 'UPCOM', 'UPCoM-Index') INDEXNAME,
MARKETINDEX
FROM (
SELECT 
PERIOD_VALUE,
MARKETCODE,
MARKETINDEX,
ROW_NUMBER() OVER (PARTITION BY MARKETCODE, PERIOD_VALUE, PERIOD_FROMDATE ORDER BY TRADINGDATE DESC, INDEXTIME DESC) RN
FROM MARKETINFOR_PERIOD
)
WHERE RN = 1";;Giá trị chỉ số;;;;;Dữ liệu tĩnh;
1;;Dashboard Thống kê thị trường >> Cổ phiếu >> Biều đồ Giá trị mua/bán ròng NĐTNN và chỉ số Index;Giá trị chỉ số UPCOM-Index;Giá trị chỉ số UPCOM-Index tại ngày cuối kỳ báo cáo;Dashboard;Chỉ tiêu cơ sở;Trùng;Sàn, Chỉ số, Ngày;MDDS;;X;;Done;Thông tin thị trường;MDDS.JAD_MARKETINFOR;MARKETINDEX;"-- Danh sách chỉ số:
MARKETCODE = 'UPCOM'
-- Lấy bản ghi cuối cùng trong kỳ";"WITH PERIOD_PARAM AS (
-- Tham số kỳ báo cáo: Ngày, Tháng, Quý, Năm
SELECT
-- Kỳ báo cáo
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_FROM, 'DD/MM/YYYY')
, 'M', TO_DATE('01/' || :PERIOD_FROM, 'DD/MM/YYYY')
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_FROM, 4, 4), 'DD/MM/YYYY'), (TO_NUMBER(SUBSTR(:PERIOD_FROM, 1, 2)) - 1) * 3)
, 'Y', TO_DATE('01/01/' || :PERIOD_FROM, 'DD/MM/YYYY')
) AS FROMDATE, -- Ngày đầu của ""Từ kỳ""
DECODE(:PERIOD_TYPE
, 'D', TO_DATE(:PERIOD_TO, 'DD/MM/YYYY')
, 'M', LAST_DAY(TO_DATE('01/' || :PERIOD_TO, 'DD/MM/YYYY'))
, 'Q', ADD_MONTHS(TO_DATE('01/01/' || SUBSTR(:PERIOD_TO, 4, 4), 'DD/MM/YYYY'),TO_NUMBER(SUBSTR(:PERIOD_TO, 1, 2)) * 3) - 1
, 'Y', TO_DATE('31/12/' || :PERIOD_TO, 'DD/MM/YYYY')
) AS TODATE -- Ngày cuối của ""Đến kỳ""
FROM DUAL
)
, MARKETINFOR_PERIOD AS (
-- Dữ liệu chỉ số index
SELECT 
M.TRADINGDATE,
M.INDEXTIME,
M.MARKETCODE,
M.MARKETINDEX,
DECODE(:PERIOD_TYPE, 
'D', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'DD/MM/YYYY'), 
'M', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM/YYYY'), 
'Q', '0' || TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q/YYYY'), 
'Y', TO_CHAR(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_VALUE,
DECODE(:PERIOD_TYPE, 
'D', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY')), 
'M', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'MM'), 
'Q', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'Q'), 
'Y', TRUNC(TO_DATE(M.TRADINGDATE, 'DD/MM/YYYY'), 'YYYY')
) PERIOD_FROMDATE
FROM JAD_MARKETINFOR M
CROSS JOIN PERIOD_PARAM P
WHERE M.MARKETCODE = 'UPCOM'
AND M.TRADINGDATE >= P.FROMDATE
AND M.TRADINGDATE <= P.TODATE
) 
-- Chỉ số index lấy dữ liệu mới nhất từng kỳ
SELECT 
PERIOD_VALUE, 
MARKETCODE,
DECODE(MARKETCODE, 'HOSE', 'VN-Index', 'HNX', 'HNX-Index', 'UPCOM', 'UPCoM-Index') INDEXNAME,
MARKETINDEX
FROM (
SELECT 
PERIOD_VALUE,
MARKETCODE,
MARKETINDEX,
ROW_NUMBER() OVER (PARTITION BY MARKETCODE, PERIOD_VALUE, PERIOD_FROMDATE ORDER BY TRADINGDATE DESC, INDEXTIME DESC) RN
FROM MARKETINFOR_PERIOD
)
WHERE RN = 1";;Giá trị chỉ số;;;;;Dữ liệu tĩnh;
