STT;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Thông tin cần phân tích;Thông tin cần Test;Cần dữ liệu lịch sử;Trạng thái phân tích;Test script verify mapping;Mapping;Note;Test script tại nguồn;Test script tại đích;Kết quả Test;Model;DMT
;;Tên chiều/chỉ tiêu/thuộc tính;;Dashboard/báo cáo/DataExplorer;Chiều/Chỉ tiêu cơ sở/Chỉ tiêu phái sinh;"Dễ: lấy 1: 1 từ nguồn
TB: có tính toán tổng hợp
Khó: Có logic phức tạp và lấy nhiều mốc thời gian
Trùng: Trong phạm vi ban của mình làm đã có tính thông tin này rồi";;;;;;;;"Từ nguồn lên
Dev mapping model <> Mapping cho DMT";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Chiều Trạng thái công ty;"Gồm các trạng thái:
đã bị thu hồi
đang hoạt động bình thường
thuộc diện cảnh báo
thuộc diện kiểm soát
thuộc diện kiểm soát đặc biệt
đình chỉ hoạt động
... (trạng thái khác các trạng thái trên)";Dashboard;Chiều;Dễ;;SCMS;X;X;;;;select mã doanh nghiệp,.... from A join B ...where...;;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Chiều thời gian theo ngày;Chiều thời gian theo ngày;Dashboard;Chiều;TB;;SCMS;;X;;;;;;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;So sánh cùng kỳ tổng số lượng CTCK đã được cấp phép;So sánh cùng kỳ năm trước tổng số lượng CTCK đã được cấp phép;Dashboard;Chỉ tiêu phái sinh;TB;ngày;SCMS;;X;X;;;"-- So sánh cùng kỳ năm trước tổng số lượng CTCK đã được cấp phép
WITH ngay_list AS (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
),
base AS (
    SELECT
        nd.ngay,
        COUNT(c.ID) AS tong_ctck
    FROM ngay_list nd
    LEFT JOIN SCMS.CTCK_THONG_TIN c
        ON  c.IS_BANG_TAM    = 1
        AND c.NGAY_CAP_GPKD IS NOT NULL
        AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
    GROUP BY nd.ngay
)
SELECT
    b1.ngay,
--  b1.tong_ctck AS tong_ctck_nam_nay,
--  b2.tong_ctck AS tong_ctck_nam_truoc,
    ROUND(
        CASE
            WHEN b2.tong_ctck = 0 OR b2.tong_ctck IS NULL THEN NULL
            ELSE b1.tong_ctck / b2.tong_ctck * 100
        END
    , 2) AS ty_le_phan_tram
FROM base b1
LEFT JOIN base b2
    ON b2.ngay = ADD_MONTHS(b1.ngay, -12)
ORDER BY b1.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Tổng số lượng CTCK đã được cấp phép;Tổng số lượng CTCK đã được cấp phép;Dashboard;Chỉ tiêu cơ sở;TB;ngày;SCMS;X;X;;;;"-- Tổng số lượng CTCK đã được cấp phép
SELECT
    nd.ngay,
    COUNT(c.ID) AS tong_ctck_duoc_cap_phep
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK đã bị thu hồi;Số lượng CTCK đã bị thu hồi;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK đã bị thu hồi
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_thu_hoi
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%thu hồi%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK đang hoạt động bình thường;Số lượng CTCK đang hoạt động bình thường;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK đang hoạt động bình thường
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_dang_hoat_dong_binh_thuong
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%hoạt động%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK thuộc diện cảnh báo;Số lượng CTCK thuộc diện cảnh báo;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK thuộc diện cảnh báo
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_bi_canh_bao
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%cảnh báo%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK thuộc diện kiểm soát;Số lượng CTCK thuộc diện kiểm soát;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK thuộc diện kiểm soát
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_bi_kiem_soat
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%kiểm soát%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK thuộc diện kiểm soát đặc biệt;Số lượng CTCK thuộc diện kiểm soát đặc biệt;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK thuộc diện kiểm soát đặc biệt
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_kiem_soat_dac_biet
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%kiểm soát đặc biệt%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
