source,brd_id,table,functional_group,scope_status,scope_reason,table_meaning,notes,ba_email,steward_email
ECAT,BRD-SRC-ECAT-ACTIVE_STATUS,ACTIVE_STATUS,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Bảng trạng thái hoạt động,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ACTIVITY_STATUS,ACTIVITY_STATUS,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Danh mục tình trạng hoạt động,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ADMINISTRATIVE_PROCEDURE,ADMINISTRATIVE_PROCEDURE,UID-09 Danh mục thủ tục hành chính,pending,,Danh mục Thủ tục hành chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ADMINISTRATIVE_PROCEDURE_COMPONENT,ADMINISTRATIVE_PROCEDURE_COMPONENT,UID-09 Danh mục thủ tục hành chính,pending,,Thành phần Thủ tục hành chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ADMINISTRATIVE_PROCEDURE_COMPONENT_MAPPING,ADMINISTRATIVE_PROCEDURE_COMPONENT_MAPPING,UID-09 Danh mục thủ tục hành chính,pending,,Bảng trung gian N-N: TTHC - Thành phần TTHC,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-AGENT_TYPE,AGENT_TYPE,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục loại đại lý,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-APPLIED_SUBJECT,APPLIED_SUBJECT,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Đối tượng áp dụng,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-APPROVED_AUDITORS,APPROVED_AUDITORS,UID-07 Danh mục hành nghề & trình độ,pending,,Bảng lưu thông tin kiểm toán viên,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-APPROVED_AUDIT_FIRM,APPROVED_AUDIT_FIRM,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục Tổ chức kiểm toán được chấp thuận,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BTC_SHARE_CONFIG,BTC_SHARE_CONFIG,UID-16 Đồng bộ dữ liệu liên thông,pending,,Cấu hình chia sẻ dữ liệu Bộ Tài chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BTC_SYNC_CONFIG,BTC_SYNC_CONFIG,UID-16 Đồng bộ dữ liệu liên thông,pending,,Cấu hình đồng bộ dữ liệu từ CSDL Bộ Tài chính,,username@fssc.com.vn,username@ubck.com.vn
