term_id,parent_term_id,term_name,definition,primary_grain,data_domain,source_tags,entity_tags,status,notes
NHNCK_001,,Conduct Violation Code,Mã định danh (tự động tăng). BK,theo từng vi phạm,Text,NHNCK,Securities Practitioner Conduct Violation,draft,BK chính.
NHNCK_002,,Practitioner Code,Mã định danh người hành nghề (tự động tăng). BK,theo từng người hành nghề,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Qualification Examination Assessment Result | Securities Practitioner License Application | Securities Practitioner License Certificate Document | Securities Practitioner Organization Employment Report | Securities Practitioner | Securities Practitioner Related Party | Securities Practitioner License Application Fee,draft,BK chính. PK nguồn.
NHNCK_003,,Full Name,Họ và tên,theo từng người hành nghề,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Identity Verification Record | Securities Practitioner Organization Employment Report | Securities Practitioner,draft,"BCV: ""Full Name"" (Involved Party)."
NHNCK_004,,Date Of Birth,Ngày sinh (snapshot),theo từng báo cáo tuyển dụng,Date,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Identity Verification Record | Securities Practitioner Organization Employment Report,draft,Denormalized snapshot.
NHNCK_005,,Identification Number,,,,NHNCK,,draft,Abstract parent — see child terms for specific meanings
NHNCK_006,NHNCK_005,Identification Number,Số chứng minh thư (snapshot),theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Organization Employment Report,draft,Số CMND/CCCD/CMT của người hành nghề (snapshot tại thời điểm ghi nhận)
NHNCK_007,NHNCK_005,Identification Number,Số quyết định thành lập,theo từng giấy tờ định danh,Text,NHNCK,Involved Party Alternative Identification,draft,Số quyết định thành lập hoặc giấy phép hoạt động của tổ chức
NHNCK_008,,License Decision Document Code,Mã định danh (tự động tăng). BK,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner License Certificate Document Activity Log | Securities Practitioner License Certificate Document Status History | Securities Practitioner Qualification Examination Assessment | Securities Practitioner License Certificate Group Document | Securities Practitioner License Decision Document,draft,BK chính. PK nguồn.
NHNCK_009,,Conduct Violation Type Code,"Loại vi phạm (1: Hành chính, 2: Pháp luật)",theo từng vi phạm,Classification Value,NHNCK,Securities Practitioner Conduct Violation,draft,Scheme: CONDUCT_VIOLATION_TYPE.
NHNCK_010,,Violation Note,Ghi chú vi phạm,theo từng vi phạm,Text,NHNCK,Securities Practitioner Conduct Violation,draft,
NHNCK_011,,Violation Status Code,"Trạng thái (1: Hoạt động, 0: Không hoạt động, -1: Đã xóa)",theo từng vi phạm,Classification Value,NHNCK,Securities Practitioner Conduct Violation,draft,Scheme: VIOLATION_STATUS.
NHNCK_012,,Created By Officer Code,Mã người tạo,theo từng tổ chức thành viên,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner License Application Verification Status | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Qualification Examination Assessment | Securities Practitioner Qualification Examination Assessment Result | Securities Practitioner Qualification Examination Assessment Fee | Securities Practitioner License Application | Securities Practitioner License Certificate Document | Securities Practitioner License Decision Document | Securities Practitioner Organization Employment Report | Securities Practitioner Professional Training Class | Securities Organization Reference | Securities Practitioner License Application Fee,draft,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.
NHNCK_013,,Updated By Officer Code,Mã người cập nhật,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner Conduct Violation | Securities Practitioner License Application Verification Status | Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Identity Verification Record | Securities Practitioner Qualification Examination Assessment Fee | Securities Practitioner License Application | Securities Practitioner Professional Training Class,draft,FK target: Regulatory Authority Officer.Officer Code. Pair with Updated By Officer Id.
