Table Desc;Table Name;Logical Field Name;Physical Field Name;Kiểu dữ liệu;Length;Is_nullable;Ý nghĩa
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;History ID;HISTORYID;character varying;255;NO;ID unique để lưu lịch sử
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;ID;ID;character varying;255;YES;ID jadapter sinh
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Market Index;MARKETINDEX;double precision;;NO;Giá trị index
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Index Time;INDEXTIME;character varying;255;YES;Thời gian ghi nhận
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Index Color;INDEXCOLOR;character varying;255;YES;Indicator index đang tăng/giảm
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Index Change;INDEXCHANGE;double precision;;NO;Giá trị index thay đổi so với index cuối ngày hôm trước
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Index Percent Change;INDEXPERCENTCHANGE;double precision;;NO;% index thay đổi so với index cuối ngày hôm trước
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Total Volume;TOTALVOLUME;double precision;;NO;Tổng khối lượng đã khớp
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Total Value;TOTALVALUE;double precision;;NO;Tổng giá trị đã khớp
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Market Status;MARKETSTATUS;character varying;255;YES;Trạng thái index
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Advances;ADVANCES;integer;;NO;Số lượng mã tăng
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Declines;DECLINES;integer;;NO;Số lượng mã giảm
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Nochange;NOCHANGE;integer;;NO;Số lượng mã CK không tăng/giảm
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Advances Volume;ADVANCESVOLUMN;bigint;;NO;Tổng khối lượng đã khớp của các mã tăng
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Declines Volume;DECLINESVOLUMN;bigint;;NO;Tổng khối lượng đã khớp của các mã giảm
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Nochange Volume;NOCHANGEVOLUMN;bigint;;NO;Giá trị đã khớp mã CK không tăng/giảm
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Market ID;MARKETID;character varying;255;YES;ID thị trường - FSS tự quy định
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Market Code;MARKETCODE;character varying;255;YES;Mã thị trường - FSS tự quy định
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Previous Prior Market Index;PRV_PRIOR_MARKET_INDEX;double precision;;NO;Index cuối cùng của phiên trước đó
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Put-through Total Quantity;PT_TOTAL_QTTY;bigint;;NO;Tổng khối lượng giao dịch thỏa thuận.
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Put-through Total Value;PT_TOTAL_VALUE;double precision;;NO;Tổng giá trị giao dịch thỏa thuận
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Put-through Total Trade;PT_TOTAL_TRADE;double precision;;NO;Tổng số giao dịch thỏa thuận
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Number of Ceilling;NUMBEROFCE;integer;;NO;Số lượng mã đang trần
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Number of Floor;NUMBEROFFL;integer;;NO;Số lượng mã đang sàn
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Odd Lot Total Value;ODDLOTTOTALVALUE;double precision;;NO;Giá trị khớp lô lẻ
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Odd Lot Total Volume;ODDLOTTOTALVOLUME;bigint;;NO;Khối lượng khớp lô lẻ
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Trading Date;TRADINGDATE;character varying;255;YES;Ngày giao dịch
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;TSC Product Group Id;TSCPRODGRPID;character varying;255;YES;Mã sản giao dịch (hose/hnx/upcom)
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Halt Reason Code;HALTRSNCODE;character varying;255;YES;Lý do thị trường bị halt
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Index Type Code;INDEXTYPECODE;character varying;255;YES;Loại index - 1 lại mã Sở quy đinh
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Open;OPEN;double precision;;NO;Index mở cửa
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;Low;LOW;double precision;;NO;Giá index thấp nhất tính đến thời điểm hiện tại
JAD_MARKETINFOR: Thông tin chỉ số index;JAD_MARKETINFOR;High;HIGH;double precision;;NO;Index cao nhất tính đến thời điểm hiện tại
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;History ID;HISTORYID;character varying;255;NO;id cho từng dòng
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Kid;KID;character varying;255;YES;ID của mã do jadapter tự sinh
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Symbol;SYMBOL;character varying;255;YES;Mã chứng khoán
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Stock ID;STOCKID;character varying;255;YES;ID của chứng khoán trong hệ thống Sở
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Full Name;FULLNAME;character varying;255;YES;Tên chứng khoán (Tiếng Việt)
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Trading Date;TRADINGDATE;character varying;255;YES;Ngày giao dịch format dd/mm/yyyy
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Floor Code;FLOORCODE;character varying;255;YES;"Mã sàn:
02-hnx,04-upcom,10-hose, 03 FDS (phái sinh), 06 corp-bond"
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Stock Type;STOCKTYPE;character varying;255;YES;"Loại chứng khoán
Đối với HNX:
{""BO"", ""1""}, {""ST"", ""2""}, {""MF"", ""3""}, {""FU"", ""4""}, {""OP"", ""5""}, {""EF"", ""6""}
--> 1 = Trái phiếu; 2 = Cổ phiếu; 3 = Chứng chỉ quỹ; 4 = Futures (Phái sinh - Hợp đồng tương lai); 5 = Options (Phái sinh - Hợp đồng quyền chọn); 6 = ETF
BO, ST… đối chiếu với trường  SECURITYTYPE msg SI, DI
Đối với HOSE:
  B- 1: Trái phiếu
  S- 2: Cổ phiếu
  U- 3: Chứng chỉ quỹ""
  D- 1: Trái phiếu chuyển đổi
  E- 3: Chứng chỉ quỹ
  W- 4: Chứng quyền
Trường này dùng để phân biết mã chứng khoán thuộc tab nào trên bảng giá."
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Ceiling;CEILING;double precision;;NO;Giá trần
