datamart_entity,table_type,reuse_status,status,description,source_table,FKs
Calendar Date Dimension,dim,new,approved,Lịch ngày — năm/quý/tháng/ngày lễ phục vụ slicer và phân tích theo thời gian. Conformed Dim. Grain: 1 ngày.,cdr_dt,
Securities Practitioner Dimension,dim,new,approved,"NHN — mã định danh, họ tên, ngày sinh, trình độ, quốc tịch, trạng thái hành nghề. SCD4A (current state). Grain: 1 NHN.",securities_practitioner,
Classification Dimension,dim,new,approved,"Danh mục phân loại — toàn bộ từ bảng cl_value Atomic. PK surrogate cl_dim_id. BK: (schema_code, cl_code). Conformed Dim. Grain: 1 giá trị phân loại per scheme.",cl_value,
SP License Certificate Type Dimension,dim,new,approved,"Loại CCHN (Môi giới, Phân tích, QLQ...) — Fundamental entity riêng (không phải Classification Value). SCD4A (current state). Grain: 1 loại CCHN.",sp_license_certificate_type,
Fact Practitioner License Certificate Snapshot,fact,new,approved,"Periodic Snapshot tháng — đếm CCHN theo trạng thái, loại hình, cấp mới, thu hồi. Grain: 1 CCHN × 1 lần cấp/cấp lại × 1 tháng snapshot (cuối tháng) — sửa 2026-07-30, 1 document_code có thể lặp lại qua nhiều dòng nếu được cấp lại nhiều lần trong kỳ, xem O_NHNCK_19. (Sửa 2026-08) Is Reissue Indicator/Certificate Issue Date nay lấy từ Certificate Document/Decision Document, không còn qua Application.",sp_license_certificate_document / sp_license_decision_document,Calendar Date Dimension.Issue Date Dimension Id | Calendar Date Dimension.Snapshot Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | SP License Certificate Type Dimension.Certificate Type Dimension Id | Classification Dimension.Certificate Status Classification Dimension Id
Fact Practitioner Daily Snapshot,fact,new,approved,"Periodic Snapshot ngày — đếm tổng NHN, cảnh báo vi phạm, trình độ, độ tuổi. Slicer năm = snapshot cuối năm hoặc ngày mới nhất trong năm. Grain: 1 NHN × 1 ngày snapshot.",securities_practitioner / sp_conduct_violation,Calendar Date Dimension.Snapshot Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id
Operational Practitioner 360 Profile,operational,new,approved,"Hồ sơ 360° NHN — latest state. Lookup 1 NHN: họ tên, tuổi, quốc tịch, nơi công tác, CCHN hiện tại, trạng thái. Grain: 1 NHN. (Sửa 2026-08) Nationality qua Geographic Area filter COUNTRY; Active Certificate qua Certificate Document (issue_dt mới nhất); Workplace về lại PROFESSIONALS — không còn qua Organization Employment Report.",securities_practitioner / geographic_area / sp_license_certificate_document,
Operational Practitioner Related Party Profile,operational,new,approved,"Mạng lưới người liên quan — toàn bộ người liên quan per NHN: họ tên, mối quan hệ, nghề nghiệp, nơi làm việc, CCCD, quốc tịch, địa chỉ. Grain: 1 người liên quan per NHN.",sp_related_party,
Operational Practitioner Listed Company Role,operational,new,approved,"Vai trò tại DN niêm yết/UPCOM — toàn bộ báo cáo tổ chức per NHN: tên DN, vị trí, mã CTCK, trạng thái. Grain: 1 lần báo cáo tổ chức per NHN.",sp_organization_employment_report / securities_organization_reference,
Operational Practitioner Certificate History,operational,new,approved,"Lịch sử cấp CCHN — toàn bộ CCHN per NHN: số CCHN, loại hình, ngày cấp, ngày thu hồi, số quyết định cấp/thu hồi, trạng thái. Grain: 1 CCHN per NHN.",sp_license_certificate_document / sp_license_decision_document,
Operational Practitioner Employment History,operational,new,approved,"Quá trình hành nghề — toàn bộ lần công tác per NHN: tên tổ chức, phân loại tổ chức, vị trí, phòng ban, từ tháng, đến tháng. Grain: 1 lần công tác per NHN.",sp_organization_employment_report / securities_organization_reference,
Operational Practitioner Violation History,operational,new,approved,"Lịch sử vi phạm & xử phạt — toàn bộ vi phạm per NHN: loại vi phạm, nội dung, số quyết định xử phạt, ngày quyết định. Grain: 1 vi phạm per NHN.",sp_conduct_violation / sp_license_decision_document,
Operational Practitioner Exam History,operational,new,approved,"Lịch sử thi sát hạch — toàn bộ lần thi per NHN: đợt thi, ngày thi, điểm luật, điểm chuyên môn, kết quả, số quyết định công bố. Grain: 1 lần thi per NHN.",sp_qualification_examination_assessment_result / sp_qualification_examination_assessment / sp_license_decision_document,
Operational Practitioner Training History,operational,new,approved,"(Sửa 2026-08) Lịch sử bồi dưỡng sau cấp CCHN — 1 lần bồi dưỡng per NHN: tên khóa học, số giờ đào tạo, đủ 8h, điểm thi/kết quả kiểm tra (JOIN phụ qua sp_code, fan-out). Driving đổi từ sp_professional_training_class_enrollment sang sp_post_certification_training_result — đóng O_NHNCK_9. Grain: 1 lần bồi dưỡng per NHN.",sp_post_certification_training_result / sp_post_certification_training_course / sp_professional_training_class_enrollment,
Operational Practitioner Data Explorer,operational,new,approved,"Bảng tra cứu flat CCHN toàn thị trường — 1 CCHN per NHN, toàn bộ trạng thái. Slicer Loại hình và Trạng thái filter tại query time. Dùng cho Tab DATA EXPLORER. Grain: 1 CCHN per NHN.",sp_license_certificate_document / securities_practitioner / sp_organization_employment_report,
