"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Calendar Date Dimension","dim","reuse","draft","Chiều thời gian dùng chung toàn hệ thống — SCD4A — grain 1 row/ngày","cdr_dt",""
"Industry Dimension","dim","reuse","draft","Chiều ngành nghề kinh doanh mã CK — SCD4A — reuse từ GSDC (2026-08-17) — grain 1 row/ngành","public_company",""
"Investor Group Dimension","dim","new","draft","Chiều nhóm nhà đầu tư (NĐTNN/Tự doanh/Tổ chức trong nước/Cá nhân trong nước) — SCD4A — grain 1 row/nhóm NĐT","securities_trade",""
"Corp Bond Industry Dimension","dim","new","draft","Chiều ngành nghề tổ chức phát hành trái phiếu doanh nghiệp — SCD4A — grain 1 row/ngành TCPH","public_company",""
"Securities Company Dimension","dim","reuse","draft","Chiều công ty chứng khoán — mã/tên/trạng thái hoạt động — SCD4A — grain 1 row/CTCK — reuse securities_company_dim từ module QLKD","securities_company",""
"Report Indicator Dimension","dim","reuse","draft","Chiều chỉ tiêu báo cáo định kỳ CTCK — cell_id/mã chỉ tiêu/nhóm chỉ tiêu/loại BCTC — SCD4A — grain 1 row/chỉ tiêu (cell_id) — reuse report_indicator_dim từ module QLKD","sc_report_input_value",""
"Securities Dimension","dim","reuse","draft","Chiều mã chứng khoán/HĐTL/mã TP (reuse từ module NDTNN) — SCD4A — grain 1 row/mã CK","security_trading_snapshot",""
"Fact Market Risk Snapshot","fact","new","draft","Chỉ số rủi ro hệ thống tổng hợp theo ngày — Risk Index, Volatility, Z-score, Sentiment, Margin Tension/Stress — grain 1 row/ngày","market_index_snapshot / securities_trade / security_trading_snapshot / cl_risk_indicator_value / sc_report_input_value / risk_weight_config","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Macro Indicator Snapshot","fact","new","draft","Chỉ tiêu vĩ mô — lãi suất LNH, tỷ giá USD/VND, CPI, GDP, DXY — grain 1 row/chỉ tiêu vĩ mô/kỳ công bố","cl_risk_indicator / cl_risk_indicator_value","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Sector Risk Snapshot","fact","new","draft","Chỉ số áp lực, thanh khoản và sức khỏe tài chính theo ngành — StressScore, D/E, GTGD ngành — grain 1 row/ngành/ngày","security_trading_snapshot / securities_trade / public_company","Calendar Date Dimension.Snapshot Date Dimension Id | Industry Dimension.Industry Dimension Id"
"Fact Order Size Snapshot","fact","new","draft","GTGD và phân loại quy mô lệnh per mã CK theo ngày — grain 1 row/mã CK/order_size_band/ngày","securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Investor Flow Snapshot","fact","new","draft","GTGD mua/bán/dòng tiền ròng theo nhóm nhà đầu tư — grain 1 row/nhóm NĐT/ngày","securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id | Investor Group Dimension.Investor Group Dimension Id"
"Fact Foreign Net Trade Snapshot","fact","new","draft","GTGD mua/bán/dòng tiền ròng NĐTNN per mã CK — grain 1 row/mã CK/ngày","securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Proprietary Net Trade Snapshot","fact","new","draft","GTGD mua/bán/dòng tiền ròng khối tự doanh per mã CK — grain 1 row/mã CK/ngày","securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Corporate Bond Sector Snapshot","fact","new","draft","GTGD trái phiếu và tỷ trọng dư nợ theo ngành TCPH — grain 1 row/ngành TCPH/kỳ báo cáo","security_trading_snapshot / securities_trade / public_company","Calendar Date Dimension.Snapshot Date Dimension Id | Corp Bond Industry Dimension.Corp Bond Industry Dimension Id"
"Fact Securities Company Financial Structure Snapshot","fact","reuse","draft","Periodic Snapshot cơ cấu tài chính định kỳ CTCK theo cấu trúc EAV (dư nợ margin, VCSH, nợ phải trả, tỷ lệ vốn khả dụng) — reuse 100% từ QLKD — grain 1 CTCK × 1 kỳ báo cáo × 1 chỉ tiêu","sc_report_input_value / sc_report_input_submission / sc_periodic_report / securities_company","Calendar Date Dimension.Snapshot Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id | Report Indicator Dimension.Report Indicator Dimension Id"
"Fact Corporate Bond Market Snapshot","fact","new","draft","Quy mô thị trường TPDN tổng hợp toàn thị trường theo ngày — grain 1 row/ngày","security_trading_snapshot / securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Corporate Bond Maturity Wall","fact","new","draft","Lịch biểu đáo hạn trái phiếu per mã TP — 2 luồng nguồn (niêm yết READY / riêng lẻ VSDC BM29 PENDING) — grain 1 row/mã TP/kỳ (quý)","security_trading_snapshot / pc_bond_evaluation","Calendar Date Dimension.Snapshot Date Dimension Id | Securities Dimension.Securities Dimension Id"
"Fact Futures Intraday Snapshot","fact","new","draft","Biến động giá/KLGD trong phiên của HĐTL chỉ số (VN30/VN100) — dùng chung entity equity — grain 1 row/mã HĐTL/mốc thời gian","security_trading_snapshot / securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Futures Investor Flow Snapshot","fact","new","draft","GTGD mua/bán/dòng tiền ròng NĐTNN + Tự doanh trên HĐTL chỉ số — grain 1 row/nhóm NĐT/mã HĐTL/ngày","securities_trade / security_trading_snapshot","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Market Statistics Snapshot","fact","new","draft","Bộ chỉ tiêu thống kê theo chỉ số (Data Explorer) — grain 1 row/chỉ số/ngày","market_index_snapshot / index_constituent_snapshot / security_trading_snapshot / securities_trade","Calendar Date Dimension.Snapshot Date Dimension Id"
"Operational Corporate Bond Issuer Credit Monitor","operational","new","draft","Danh sách TCPH TPDN kèm chỉ tiêu tín dụng (D/E, ROE) để giám sát rủi ro — grain 1 row/TCPH/kỳ báo cáo","corporate_bond_trading_snapshot / public_company / pc_bond_evaluation / pc_evaluation_detail",""
"Fact Cap Group Snapshot","fact","new","draft","GTGD và tỷ trọng thanh khoản theo nhóm vốn hóa (Small/Mid/Large-cap, ngưỡng USD) — grain 1 row/nhóm vốn hóa/ngày","security_trading_snapshot / securities_trade / listed_share_info / cl_risk_indicator_value / status_threshold_config","Calendar Date Dimension.Snapshot Date Dimension Id"
