"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Calendar Date Dimension","dim","reuse","draft","Lịch ngày — năm/quý/tháng/ngày lễ phục vụ slicer. Map từ Atomic Calendar Date (cdr_dt)","cdr_dt",""
"Fund Management Company Dimension","dim","","draft","CTQLQ — Mã/Tên/Tên viết tắt/Vốn ĐL/Trạng thái (SCD2) ← FMS.SECURITIES","fnd_mgt_co",""
"Investment Fund Dimension","dim","","draft","Quỹ đầu tư — Mã/Tên/Loại hình/Trạng thái/VĐL (SCD2) ← FMS.FUNDS. PENDING O_QLQ_10 cho Fund Type Code","ivsm_fnd",""
"Fact Fund Management Company Snapshot","fact","","draft","Thống kê thị trường — grain 1 snapshot toàn TT × 1 tháng. COUNT db + AUM BC (PENDING O_QLQ_1)","rpt_impr_val / fnd_mgt_co / ivsm_fnd / frgn_fnd_mgt_ou / fnd_dstr_agnt","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Discretionary Investment Contract Snapshot","fact","","draft","UTDM CTQLQ — grain 1 CTQLQ × 1 Report Template × 1 Report Date. Tất cả measures PENDING O_QLQ_1","mbr_prd_rpt / rpt_impr_val / rpt_prd","Calendar Date Dimension.Report Date Dimension Id | Fund Management Company Dimension.Fund Management Company Dimension Id"
"Fact Investment Fund NAV Snapshot","fact","","draft","NAV + phân bổ tài sản + cross-module MRMS — grain 1 quỹ × 1 BC. Measures PENDING O_QLQ_1","mbr_prd_rpt / rpt_impr_val / rpt_prd / rsk_ind_val","Calendar Date Dimension.Report Date Dimension Id | Investment Fund Dimension.Investment Fund Dimension Id | Fund Management Company Dimension.Fund Management Company Dimension Id"
"Fact Investment Fund Count Snapshot","fact","","draft","Đếm quỹ theo loại hình — grain 1 snapshot toàn TT × 1 năm. Sub-type counts PENDING O_QLQ_10","ivsm_fnd","Calendar Date Dimension.Snapshot Date Dimension Id"
"Fact Investment Fund CCQ Snapshot","fact","","draft","CCQ lưu hành per quỹ — grain 1 quỹ × 1 snapshot tháng ← FMS.TRANSFERMBF tích lũy. PENDING O_QLQ_7 cho quỹ đóng","ivsm_fnd_ivsr_cptl_tfr / ivsm_fnd","Calendar Date Dimension.Report Date Dimension Id | Investment Fund Dimension.Investment Fund Dimension Id"
"Fund Management Company Profile","operational","new","draft","Hồ sơ CTQLQ — latest state per CTQLQ. AUM/Vốn CSH/LN PENDING O_QLQ_1, O_QLQ_4","fnd_mgt_co / mbr_rtg / mbr_rtg_prd / rpt_impr_val",""
"Fund Management Company Fund List","operational","new","draft","Bảng con drill-down danh sách quỹ per CTQLQ. NAV PENDING O_QLQ_1","ivsm_fnd / rpt_impr_val / mbr_prd_rpt",""
"Fund Management Company Contract List","operational","new","draft","Bảng con drill-down danh sách HĐ UTDM per CTQLQ ← FMS.INVESACC + FMS.INVES","dscr_ivsm_ac / dscr_ivsm_ivsr",""
"Investment Fund Profile","operational","new","draft","Hồ sơ quỹ — latest state per quỹ. NAV/LN PENDING O_QLQ_1","ivsm_fnd / mbr_prd_rpt / rpt_impr_val / fnd_mgt_co",""
"Report Pass-through View","operational","new","draft","Pass-through báo cáo — grain 1 CTQLQ/Quỹ × 1 mẫu BC × 1 kỳ × 1 dòng chỉ tiêu. Row Name PENDING O_QLQ_1","rpt_impr_val / mbr_prd_rpt / fnd_mgt_co / ivsm_fnd / rpt_prd",""
"Fund Management Company Staff Trade Report","operational","new","draft","Báo cáo GD nhân viên CTQLQ — K_QLQ_68–72 READY. K_QLQ_73–77 sổ lệnh PENDING O_QLQ_11 (GSGD không có Silver)","fnd_mgt_co_key_psn / invlv_pty_alt_identn / ivsr_tdg_ac",""
