kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_GSDC_7,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Mã CK doanh nghiệp,Base,GSDC,Public Company Dimension,Equity Ticker Symbol,SLICER,public_company_dim.equity_ticker_symbol,
K_GSDC_8,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Tên doanh nghiệp,Base,GSDC,Public Company Dimension,Public Company Name,SLICER,public_company_dim.public_company_nm,
K_GSDC_1,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Tuân thủ,Base,GSDC,Fact Public Company Risk Score Snapshot,Compliance Score,MEASURE,fct_public_company_risk_score_snpst.compliance_score,
K_GSDC_2,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Phát hành,Base,GSDC,Fact Public Company Risk Score Snapshot,Issuance Score,MEASURE,fct_public_company_risk_score_snpst.issuance_score,
K_GSDC_3,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Tài chính,Base,GSDC,Fact Public Company Risk Score Snapshot,Financial Score,MEASURE,fct_public_company_risk_score_snpst.financial_score,
K_GSDC_4,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Phi tài chính & M-Score,Base,GSDC,Fact Public Company Risk Score Snapshot,Non Financial M Score,MEASURE,fct_public_company_risk_score_snpst.non_financial_m_score,
K_GSDC_5,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Xếp hạng tín nhiệm DN,Base,GSDC,Fact Public Company Risk Score Snapshot,Credit Rating Score,MEASURE,fct_public_company_risk_score_snpst.credit_rating_score,
K_GSDC_6,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 1 - Tổng hợp chấm điểm phân loại CTDC,Điểm,Base,GSDC,Fact Public Company Risk Score Snapshot,Total Score Percentage,MEASURE,fct_public_company_risk_score_snpst.total_score_percentage,
K_GSDC_7,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Mã CK doanh nghiệp,Base,GSDC,Public Company Dimension,Equity Ticker Symbol,SLICER,public_company_dim.equity_ticker_symbol,Reuse từ Nhóm 1
K_GSDC_8,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Tên doanh nghiệp,Base,GSDC,Public Company Dimension,Public Company Name,SLICER,public_company_dim.public_company_nm,Reuse từ Nhóm 1
K_GSDC_9,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Công bố BCTC,Base,GSDC,Fact Public Company Compliance Score Snapshot,Công bố BCTC,MEASURE,fct_public_company_compliance_score_snpst.disclosure_bctc_score,
K_GSDC_10,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Công bố BCTN,Base,GSDC,Fact Public Company Compliance Score Snapshot,Công bố BCTN,MEASURE,fct_public_company_compliance_score_snpst.disclosure_bctn_score,
K_GSDC_11,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Công bố báo cáo tình hình quản trị,Base,GSDC,Fact Public Company Compliance Score Snapshot,Công bố báo cáo tình hình quản trị,MEASURE,fct_public_company_compliance_score_snpst.disclosure_governance_report_score,
K_GSDC_12,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Công bố thông tin Thay đổi TGĐ/CTHĐQT,Base,GSDC,Fact Public Company Compliance Score Snapshot,Công bố thông tin Thay đổi TGĐ/CTHĐQT,MEASURE,fct_public_company_compliance_score_snpst.disclosure_ceo_change_score,
K_GSDC_13,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Vi phạm từ UBCKNN,Base,GSDC,Fact Public Company Compliance Score Snapshot,Vi phạm từ UBCKNN,MEASURE,fct_public_company_compliance_score_snpst.violation_ubck_score,
K_GSDC_14,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Vi phạm từ các đơn vị khác,Base,GSDC,Fact Public Company Compliance Score Snapshot,Vi phạm từ các đơn vị khác,MEASURE,fct_public_company_compliance_score_snpst.violation_other_score,
K_GSDC_15,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Điều lệ Công ty và Các Quy chế hoạt động,Base,GSDC,Fact Public Company Compliance Score Snapshot,Điều lệ Công ty và Các Quy chế hoạt động,MEASURE,fct_public_company_compliance_score_snpst.charter_regulation_score,
K_GSDC_16,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Số lượng ĐHĐCĐ thường niên trong 6 tháng đầu năm,Base,GSDC,Fact Public Company Compliance Score Snapshot,Số lượng ĐHĐCĐ thường niên trong 6 tháng đầu năm,MEASURE,fct_public_company_compliance_score_snpst.annual_meeting_count_score,
K_GSDC_17,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Số lượng thành viên HĐQT độc lập,Base,GSDC,Fact Public Company Compliance Score Snapshot,Số lượng thành viên HĐQT độc lập,MEASURE,fct_public_company_compliance_score_snpst.independent_board_member_count_score,
K_GSDC_18,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Số lượng thành viên HĐQT không điều hành,Base,GSDC,Fact Public Company Compliance Score Snapshot,Số lượng thành viên HĐQT không điều hành,MEASURE,fct_public_company_compliance_score_snpst.non_executive_board_member_count_score,
K_GSDC_19,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Tư cách thành viên HĐQT/BKS/Kế toán trưởng,Base,GSDC,Fact Public Company Compliance Score Snapshot,Tư cách thành viên HĐQT/BKS/Kế toán trưởng,MEASURE,fct_public_company_compliance_score_snpst.board_member_qualification_score,
K_GSDC_20,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Số lượng thành viên BKS hoặc Ủy ban kiểm toán,Base,GSDC,Fact Public Company Compliance Score Snapshot,Số lượng thành viên BKS hoặc Ủy ban kiểm toán,MEASURE,fct_public_company_compliance_score_snpst.supervisory_board_count_score,
K_GSDC_21,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Báo cáo tiến độ sử dụng vốn,Base,GSDC,Fact Public Company Compliance Score Snapshot,Báo cáo tiến độ sử dụng vốn,MEASURE,fct_public_company_compliance_score_snpst.capital_use_progress_report_score,
K_GSDC_22,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Thay đổi phương án sử dụng vốn,Base,GSDC,Fact Public Company Compliance Score Snapshot,Thay đổi phương án sử dụng vốn,MEASURE,fct_public_company_compliance_score_snpst.capital_use_plan_change_score,
K_GSDC_23,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 2 - Top CTDC theo chỉ tiêu tuân thủ,Tổng điểm Tuân thủ,Base,GSDC,Fact Public Company Compliance Score Snapshot,Total Compliance Score,MEASURE,fct_public_company_compliance_score_snpst.total_compliance_score,
K_GSDC_7,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Mã doanh nghiệp,Base,GSDC,Public Company Dimension,Equity Ticker Symbol,SLICER,public_company_dim.equity_ticker_symbol,Reuse từ Nhóm 1
K_GSDC_8,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Tên doanh nghiệp,Base,GSDC,Public Company Dimension,Public Company Name,SLICER,public_company_dim.public_company_nm,Reuse từ Nhóm 1
K_GSDC_24,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Phát hành tăng vốn nhanh,Base,GSDC,Fact Public Company Issuance Score Snapshot,Phát hành tăng vốn nhanh,MEASURE,fct_public_company_issuance_score_snpst.rapid_capital_increase_score,
K_GSDC_25,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Số lần chào bán cổ phiếu riêng lẻ,Base,GSDC,Fact Public Company Issuance Score Snapshot,Số lần chào bán cổ phiếu riêng lẻ,MEASURE,fct_public_company_issuance_score_snpst.private_placement_count_score,
K_GSDC_26,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Số lần chào bán ra công chúng,Base,GSDC,Fact Public Company Issuance Score Snapshot,Số lần chào bán ra công chúng,MEASURE,fct_public_company_issuance_score_snpst.public_offering_count_score,
K_GSDC_27,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Số lần phát hành ESOP,Base,GSDC,Fact Public Company Issuance Score Snapshot,Số lần phát hành ESOP,MEASURE,fct_public_company_issuance_score_snpst.esop_issuance_count_score,
K_GSDC_28,Phân loại & Xếp hạng Rủi ro CTDC,Nhóm 3 - Top CTDC theo chỉ tiêu phát hành,Tỷ lệ phát hành trái phiếu không có TSBĐ,Base,GSDC,Fact Public Company Issuance Score Snapshot,Tỷ lệ phát hành trái phiếu không có TSBĐ,MEASURE,fct_public_company_issuance_score_snpst.unsecured_bond_ratio_score,
