kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_GSTT_1,Phân tích,Nhóm 1 - Bảng số liệu,Mã CK,Base,GSTT,Security Trading Snapshot Dimension,Symbol,SLICER,security_trading_snpst_dim.symbol,
K_GSTT_1,Phân tích,Nhóm 1 - Bảng số liệu,Mã CK,Base,GSTT,Security Trading Snapshot Dimension,Stock Type Code,FILTER,"security_trading_snpst_dim.stock_tp_code NOT IN ('B','1','BO','D')",Loại trái phiếu khỏi danh sách
K_GSTT_2,Phân tích,Nhóm 1 - Bảng số liệu,Ngành,Base,GSTT,Public Company Dimension,Business Line Level 1 Code,SLICER,public_company_dim.business_line_level_1_code,
K_GSTT_2,Phân tích,Nhóm 1 - Bảng số liệu,Ngành,Base,GSTT,Public Company Dimension,Classification Business Line Name,SLICER,public_company_dim.classification_business_line_nm,
K_GSTT_3,Phân tích,Nhóm 1 - Bảng số liệu,Sàn,Base,GSTT,Security Trading Snapshot Dimension,Floor Code,SLICER,security_trading_snpst_dim.floor_code,Scheme MDDS_FLOOR_CODE: 10-HOSE 02-HNX 04-UPCOM 03-FDS
K_GSTT_4,Phân tích,Nhóm 1 - Bảng số liệu,Chỉ số,Base,GSTT,Index Constituent Dimension,Index Code,SLICER,index_constituent_dim.index_code,FK optional - WHERE index_constituent_dim.index_code = :selected_index
K_GSTT_5,Phân tích,Nhóm 1 - Bảng số liệu,Loại phái sinh,Base,GSTT,Security Trading Snapshot Dimension,Stock Type Code,SLICER,security_trading_snpst_dim.stock_tp_code,Chỉ có giá trị khi Floor Code = '03'
K_GSTT_5,Phân tích,Nhóm 1 - Bảng số liệu,Loại phái sinh,Base,GSTT,Security Trading Snapshot Dimension,Underlying Symbol,SLICER,security_trading_snpst_dim.underlying_symbol,
K_GSTT_6,Phân tích,Nhóm 1 - Bảng số liệu,Phương thức khớp lệnh (thỏa thuận),Base,GSTT,Fact Stock Portfolio Snapshot,,SLICER,"securities_trade.board_type_code IN ('T1','T2','T3','T4','T6')",Slicer phân biệt Khớp lệnh / Thỏa thuận - tại tầng ETL của Fact
K_GSTT_7,Phân tích,Nhóm 1 - Bảng số liệu,Ngày,Base,GSTT,Calendar Date Dimension,Calendar Date,SLICER,cdr_dt_dim.cdr_dt,
K_GSTT_7,Phân tích,Nhóm 1 - Bảng số liệu,Ngày,Base,GSTT,Fact Stock Portfolio Snapshot,Calendar Date Dimension Id,JOIN_KEY,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_stock_portfolio_snpst.cdr_dt_dim_id,
K_GSTT_8,Phân tích,Nhóm 1 - Bảng số liệu,Ngày đáo hạn phái sinh,Base,GSTT,Security Trading Snapshot Dimension,Maturity Date,SLICER,security_trading_snpst_dim.maturity_dt,Chỉ có giá trị khi Floor Code = '03'
