kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_NDTNN_1,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị mua của NĐTNN,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Foreign Buy Value,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_buy_val),
K_NDTNN_1,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị mua của NĐTNN,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt = :pdate,
K_NDTNN_2,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị bán của NĐTNN,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Foreign Sell Value,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_sell_val),
K_NDTNN_2,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị bán của NĐTNN,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt = :pdate,
K_NDTNN_3,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị giao dịch toàn thị trường,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Total Market Value,MEASURE,SUM(fct_securities_foreign_trading_snpst.total_market_val),
K_NDTNN_3,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tổng giá trị giao dịch toàn thị trường,Base,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt = :pdate,
K_NDTNN_4,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tỷ lệ tham gia,Phái sinh,NDTNN,,,DERIVED,(SUM(fct_securities_foreign_trading_snpst.foreign_buy_val) + SUM(fct_securities_foreign_trading_snpst.foreign_sell_val)) * 100 / (SUM(fct_securities_foreign_trading_snpst.total_market_val) * 2),GROUP BY Trade Date Dimension Id WHERE cdr_dt = :pdate — SUM xuyên suốt mọi mã CK trong ngày
K_NDTNN_5,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tăng trưởng NĐT mới,Phái sinh,NDTNN,,,,,Pending - chưa thiết kế nguồn
K_NDTNN_6,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tăng trưởng NĐT Cá nhân mới,Phái sinh,NDTNN,,,,,Pending - chưa thiết kế nguồn
K_NDTNN_7,GIAO DỊCH,Nhóm 1 — KPI Cards tổng quan,Tăng trưởng NĐT Tổ chức mới,Phái sinh,NDTNN,,,,,Pending - chưa thiết kế nguồn
K_NDTNN_8,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Ngành,Base,NDTNN,Public Company Dimension,Classification Business Line Name,GROUP_BY,public_company_dim.classification_business_line_nm,
K_NDTNN_9,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Mã CK,Base,NDTNN,Securities Dimension,Symbol,GROUP_BY,securities_dim.symbol,
K_NDTNN_10,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Giá trị mua/bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_buy_val - fct_securities_foreign_trading_snpst.foreign_sell_val),
K_NDTNN_10,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Giá trị mua/bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,GROUP_BY,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id → cdr_dt_dim.month,Bar chart trục X = Tháng
K_NDTNN_11,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Lũy kế mua/bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_buy_val) - SUM(fct_securities_foreign_trading_snpst.foreign_sell_val),
K_NDTNN_11,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Lũy kế mua/bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt BETWEEN :pdate AND :pdate1,
K_NDTNN_12,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_sell_val),
K_NDTNN_12,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt = :pdate,
K_NDTNN_12,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành bán ròng,Phái sinh,NDTNN,Public Company Dimension,Classification Business Line Name,GROUP_BY,JOIN public_company_dim ON public_company_dim.public_company_dim_id = fct_securities_foreign_trading_snpst.public_company_dim_id → public_company_dim.classification_business_line_nm ORDER BY SUM DESC FETCH FIRST 5 ROWS ONLY,
K_NDTNN_13,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành mua ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_buy_val),
K_NDTNN_13,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành mua ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,Trade Date Dimension Id,FILTER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_foreign_trading_snpst.trade_dt_dim_id WHERE cdr_dt_dim.cdr_dt = :pdate,
K_NDTNN_13,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 ngành mua ròng,Phái sinh,NDTNN,Public Company Dimension,Classification Business Line Name,GROUP_BY,JOIN public_company_dim ON public_company_dim.public_company_dim_id = fct_securities_foreign_trading_snpst.public_company_dim_id → public_company_dim.classification_business_line_nm ORDER BY SUM DESC FETCH FIRST 5 ROWS ONLY,
K_NDTNN_14,GIAO DỊCH,Nhóm 2 — Tổng giá trị mua/bán ròng của NĐTNN,Top 5 mã bán ròng,Phái sinh,NDTNN,Fact Securities Foreign Trading Snapshot,,MEASURE,SUM(fct_securities_foreign_trading_snpst.foreign_sell_val) - SUM(fct_securities_foreign_trading_snpst.foreign_buy_val),
