﻿﻿kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_PTTT_1,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Ngày thống kê (Chiều thời gian),Base,PTTT,Fact Market Risk Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_market_risk_snpst.snpst_dt_dim_id,
K_PTTT_2,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Volatility — Biến động giá VN-Index 30 phiên,Base,PTTT,Fact Market Risk Snapshot,Volatility 30 Days,MEASURE,fct_market_risk_snpst.volatility_30_days,
K_PTTT_3,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Biến động giá,Base,PTTT,Fact Market Risk Snapshot,Z Score Volatility,MEASURE,fct_market_risk_snpst.z_score_volatility,
K_PTTT_4,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Thanh khoản (ILLIQ),Base,PTTT,Fact Market Risk Snapshot,Z Score Liquidity,MEASURE,fct_market_risk_snpst.z_score_liquidity,
K_PTTT_5,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Dư nợ Margin,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_6,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Lãi suất liên ngân hàng,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_7,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Dòng tiền ròng NĐTNN,Base,PTTT,Fact Market Risk Snapshot,Z Score Foreign Net Flow,MEASURE,fct_market_risk_snpst.z_score_foreign_net_flow,
K_PTTT_8,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Tổng vốn hóa thị trường MCAPt,Base,PTTT,Fact Market Risk Snapshot,Total Market Cap,MEASURE,fct_market_risk_snpst.total_market_cap,
K_PTTT_9,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Tỷ lệ Dư nợ Margin / Tổng vốn hóa Mt,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_10,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Biến động chỉ số VN-Index,Base,PTTT,Fact Market Risk Snapshot,Beta Volatility,MEASURE,fct_market_risk_snpst.beta_volatility,
K_PTTT_11,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Thanh khoản,Base,PTTT,Fact Market Risk Snapshot,Beta Liquidity,MEASURE,fct_market_risk_snpst.beta_liquidity,
K_PTTT_12,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Dư nợ Margin,Base,PTTT,Fact Market Risk Snapshot,Beta Margin Balance,MEASURE,fct_market_risk_snpst.beta_margin_balance,
K_PTTT_13,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Lãi suất liên ngân hàng,Base,PTTT,Fact Market Risk Snapshot,Beta Interbank Rate,MEASURE,fct_market_risk_snpst.beta_interbank_rate,
K_PTTT_14,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Dòng tiền ròng NĐTNN,Base,PTTT,Fact Market Risk Snapshot,Beta Foreign Net Flow,MEASURE,fct_market_risk_snpst.beta_foreign_net_flow,
K_PTTT_15,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hệ số hồi quy β — Huy động vốn cổ phần,Base,PTTT,Fact Market Risk Snapshot,Beta Equity Capital Raising,MEASURE,fct_market_risk_snpst.beta_equity_capital_raising,
K_PTTT_16,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Hằng số hồi quy β0 (Intercept),Base,PTTT,Fact Market Risk Snapshot,Beta Intercept,MEASURE,fct_market_risk_snpst.beta_intercept,
K_PTTT_17,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Sai số hồi quy ε (Epsilon),Base,PTTT,Fact Market Risk Snapshot,Epsilon Error Term,MEASURE,fct_market_risk_snpst.epsilon_error_term,
K_PTTT_18,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Risk Index (Chỉ số rủi ro hệ thống tổng hợp),Phái sinh,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_19,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Huy động vốn cổ phần,Base,PTTT,Fact Market Risk Snapshot,Z Score Equity Capital Raising,MEASURE,fct_market_risk_snpst.z_score_equity_capital_raising,
K_PTTT_20,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Huy động vốn cổ phần thị trường tại ngày t,Base,PTTT,Fact Market Risk Snapshot,Equity Capital Raising Amount,MEASURE,fct_market_risk_snpst.equity_capital_raising_amt,
K_PTTT_21,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Z-score Dư nợ Margin — giá trị chuẩn hóa ngày t,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_22,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Độ lệch chuẩn chuỗi tỷ lệ Dư nợ Margin/MCAP,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_23,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Tỷ lệ Dư nợ Margin / Tổng vốn hóa tại ngày t,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_24,Dashboard Giám sát rủi ro,Nhóm 1 - Chỉ số rủi ro hệ thống,Tỷ lệ Dư nợ Margin / Tổng vốn hóa trung bình,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_1,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Ngày thống kê (Chiều thời gian),Base,PTTT,Fact Market Risk Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_market_risk_snpst.snpst_dt_dim_id,
K_PTTT_25,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Biến động chỉ số VN-Index,Base,PTTT,Fact Market Risk Snapshot,Index Log Return,MEASURE,fct_market_risk_snpst.index_log_return,
K_PTTT_26,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Thanh khoản ILLIQ,Base,PTTT,Fact Market Risk Snapshot,Illiquidity Ratio,MEASURE,fct_market_risk_snpst.illiquidity_ratio,
K_PTTT_9,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Dư nợ Margin,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_27,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Lãi suất liên ngân hàng,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_28,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Dòng tiền ròng NĐTNN,Base,PTTT,Fact Market Risk Snapshot,Foreign Net Flow,MEASURE,fct_market_risk_snpst.foreign_net_flow,
K_PTTT_29,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Giá trị hiện tại — Huy động vốn cổ phần,Base,PTTT,Fact Market Risk Snapshot,Equity Capital Raising Amount,MEASURE,fct_market_risk_snpst.equity_capital_raising_amt,
K_PTTT_3,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Biến động VN-Index (Z-score),Base,PTTT,Fact Market Risk Snapshot,Z Score Volatility,MEASURE,fct_market_risk_snpst.z_score_volatility,
K_PTTT_4,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Thanh khoản ILLIQ (Z-score),Base,PTTT,Fact Market Risk Snapshot,Z Score Liquidity,MEASURE,fct_market_risk_snpst.z_score_liquidity,
K_PTTT_5,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Dư nợ Margin (Z-score),Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_6,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Lãi suất liên ngân hàng (Z-score),Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_7,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Dòng tiền ròng NĐTNN (Z-score),Base,PTTT,Fact Market Risk Snapshot,Z Score Foreign Net Flow,MEASURE,fct_market_risk_snpst.z_score_foreign_net_flow,
K_PTTT_19,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Mức độ tác động — Huy động vốn cổ phần (Z-score),Base,PTTT,Fact Market Risk Snapshot,Z Score Equity Capital Raising,MEASURE,fct_market_risk_snpst.z_score_equity_capital_raising,
K_PTTT_10,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Biến động chỉ số VN-Index,Base,PTTT,Fact Market Risk Snapshot,Beta Volatility,MEASURE,fct_market_risk_snpst.beta_volatility,
K_PTTT_11,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Thanh khoản,Base,PTTT,Fact Market Risk Snapshot,Beta Liquidity,MEASURE,fct_market_risk_snpst.beta_liquidity,
K_PTTT_12,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Dư nợ Margin,Base,PTTT,Fact Market Risk Snapshot,Beta Margin Balance,MEASURE,fct_market_risk_snpst.beta_margin_balance,
K_PTTT_13,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Lãi suất liên ngân hàng,Base,PTTT,Fact Market Risk Snapshot,Beta Interbank Rate,MEASURE,fct_market_risk_snpst.beta_interbank_rate,
K_PTTT_14,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Dòng tiền ròng NĐTNN,Base,PTTT,Fact Market Risk Snapshot,Beta Foreign Net Flow,MEASURE,fct_market_risk_snpst.beta_foreign_net_flow,
K_PTTT_15,Dashboard Giám sát rủi ro,Nhóm 2 - Phân tích đóng góp rủi ro,Tỷ trọng (Weight) — Huy động vốn cổ phần,Base,PTTT,Fact Market Risk Snapshot,Beta Equity Capital Raising,MEASURE,fct_market_risk_snpst.beta_equity_capital_raising,
K_PTTT_30,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Ngày thống kê (Chiều thời gian vĩ mô),Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_31,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Lãi suất liên ngân hàng qua đêm (ON) tại ngày t,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_32,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Lãi suất liên ngân hàng qua đêm ngày trước,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_33,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,% thay đổi lãi suất liên ngân hàng,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_34,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Tỷ giá USD/VND tại ngày,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_35,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Tỷ giá USD/VND ngày trước,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_36,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,% thay đổi tỷ giá USD/VND,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_37,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Chỉ số CPI (YoY) tại kỳ t,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_38,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,CPI cùng kỳ năm trước,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_39,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,% thay đổi CPI YoY,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_40,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,GDP kỳ hiện tại,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_41,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,GDP kỳ trước,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_42,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 3 - Chỉ số vĩ mô – tiền tệ,Tăng trưởng GDP,Base,PTTT,,,,,Pending - chưa thiết kế nguồn
K_PTTT_43,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Ngày thống kê (Chiều thời gian),Base,PTTT,Fact Market Risk Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_market_risk_snpst.snpst_dt_dim_id,
K_PTTT_44,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Điểm chứng khoán (như VN-Index),Base,PTTT,Fact Market Risk Snapshot,VNIndex Value,MEASURE,fct_market_risk_snpst.vnindex_val,
K_PTTT_45,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Khối lượng khớp lệnh ngày t của mã CK,Base,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, chỉ dùng trong etl_logic tính Sentiment Index (K_PTTT_56), grain khác Fact (per-ngày)"
K_PTTT_46,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Khối lượng khớp lệnh trung bình 20 phiên (MAvol20),Phái sinh,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, xem K_PTTT_45"
K_PTTT_47,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Tỷ lệ dòng tiền (Flow Ratio),Phái sinh,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, xem K_PTTT_45"
K_PTTT_48,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Dấu dòng tiền (Sign PriceChange),Phái sinh,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, xem K_PTTT_45"
K_PTTT_49,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Điểm thanh khoản (S_liquidity),Phái sinh,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, xem K_PTTT_45"
K_PTTT_50,Dashboard Sức khỏe thị trường và vĩ mô,Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống,Giá cao nhất trong phiên,Base,PTTT,,,,,"Không lưu cột riêng trên mart — measure trung gian per-mã-CK, xem K_PTTT_45"
