kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_QLKD_1,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Chiều Trạng thái công ty,Base,QLKD,Securities Company Dimension,Company Status Code,SLICER,securities_company_dim.company_status_code,
K_QLKD_2,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Chiều thời gian theo ngày,Base,QLKD,Fact Securities Company Status Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_company_status_snpst.snpst_dt_dim_id,
K_QLKD_3,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,So sánh cùng kỳ năm trước tổng số lượng CTCK,Phái sinh,QLKD,,,DERIVED,"( COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id | snpst yr=:Y) - COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id | snpst yr=:Y-1) ) / NULLIF( COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id | snpst yr=:Y-1) , 0) * 100",YoY % tăng trưởng — presentation layer resolve 2 năm
K_QLKD_4,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Tổng số lượng CTCK đã được cấp phép,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_5,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đang hoạt động bình thường,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_5,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đang hoạt động bình thường,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'ACTIVE',
K_QLKD_6,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đã bị thu hồi,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_6,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đã bị thu hồi,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'REVOKED',
K_QLKD_7,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện cảnh báo,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_7,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện cảnh báo,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'WARNING',
K_QLKD_8,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện kiểm soát,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_8,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện kiểm soát,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'CONTROLLED',
K_QLKD_9,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện kiểm soát đặc biệt,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_9,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK thuộc diện kiểm soát đặc biệt,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'SPECIAL_CONTROLLED',
K_QLKD_10,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đình chỉ hoạt động,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_10,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK đình chỉ hoạt động,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code = 'SUSPENDED',
K_QLKD_11,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK trạng thái khác,Base,QLKD,Fact Securities Company Status Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_status_snpst.securities_company_dim_id),
K_QLKD_11,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số lượng CTCK trạng thái khác,Base,QLKD,Securities Company Dimension,Company Status Code,FILTER,securities_company_dim.company_status_code NOT IN ('ACTIVE'|'REVOKED'|'WARNING'|'CONTROLLED'|'SPECIAL_CONTROLLED'|'SUSPENDED'),
K_QLKD_12,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số tài khoản có phát sinh giao dịch,Base,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_13,TỔNG QUAN,Nhóm 1 — Chỉ tiêu thống kê chung,Số dư tiền gửi giao dịch,Base,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_14,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Chiều thời gian theo ngày,Chiều,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_15,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Chiều nghiệp vụ kinh doanh chứng khoán,Chiều,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_16,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Số CTCK theo nghiệp vụ môi giới,Cơ sở,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_17,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Số CTCK theo nghiệp vụ bảo lãnh,Cơ sở,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_18,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Số CTCK theo nghiệp vụ tư vấn,Cơ sở,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_19,TỔNG QUAN,Nhóm 2 — Biểu đồ Nghiệp vụ,Số CTCK theo nghiệp vụ tự doanh,Cơ sở,QLKD,,,,,Pending - chưa thiết kế nguồn
K_QLKD_20,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Chiều thời gian theo ngày,Base,QLKD,Fact Securities Company Service Registration,Registration Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_company_service_registration.registration_dt_dim_id,
K_QLKD_21,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Chiều dịch vụ kinh doanh chứng khoán,Base,QLKD,Service Type Dimension,Classification Service Name,SLICER,service_tp_dim.cl_service_nm,
K_QLKD_22,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ giao dịch ký quỹ,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_22,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ giao dịch ký quỹ,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%giao dịch ký quỹ%',
K_QLKD_23,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ ứng trước tiền bán,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_23,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ ứng trước tiền bán,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%ứng trước tiền bán%',Hiện = 0 do CAT_SERVICE thiếu danh mục — xem O_QLKD_21
K_QLKD_24,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ lưu ký,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_24,TỔNG QUAN,Nhóm 3 — Biểu đồ Dịch vụ,Số CTCK theo dịch vụ lưu ký,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%lưu ký%',Hiện = 0 do CAT_SERVICE thiếu danh mục — xem O_QLKD_21
K_QLKD_25,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Chiều thời gian theo ngày,Base,QLKD,Fact Securities Company Service Registration,Registration Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_company_service_registration.registration_dt_dim_id,
K_QLKD_26,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Chiều dịch vụ phái sinh,Base,QLKD,Service Type Dimension,Classification Service Name,SLICER,service_tp_dim.cl_service_nm LIKE '%phái sinh%',
K_QLKD_27,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ môi giới,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_27,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ môi giới,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%phái sinh%' AND service_tp_dim.cl_service_nm LIKE '%môi giới%',
K_QLKD_28,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ tư vấn,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_28,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ tư vấn,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%phái sinh%' AND service_tp_dim.cl_service_nm LIKE '%tư vấn%',
K_QLKD_29,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ tự doanh,Base,QLKD,Fact Securities Company Service Registration,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_service_registration.securities_company_dim_id),
K_QLKD_29,TỔNG QUAN,Nhóm 4 — Biểu đồ Dịch vụ phái sinh,Số CTCK phái sinh dịch vụ tự doanh,Base,QLKD,Service Type Dimension,Classification Service Name,FILTER,service_tp_dim.cl_service_nm LIKE '%phái sinh%' AND service_tp_dim.cl_service_nm LIKE '%tự doanh%',
K_QLKD_30,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Chiều thời gian theo ngày,Base,QLKD,Fact Securities Company License Condition Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_company_license_condition_snpst.snpst_dt_dim_id,
K_QLKD_31,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Các loại duy trì điều kiện cấp phép,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,SLICER,fct_securities_company_license_condition_snpst.severity_level,
K_QLKD_32,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK duy trì tốt — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_license_condition_snpst.securities_company_dim_id),
K_QLKD_32,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK duy trì tốt — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,FILTER,fct_securities_company_license_condition_snpst.severity_level = '1',
K_QLKD_32,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK duy trì tốt — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Indicator Code,FILTER,fct_securities_company_license_condition_snpst.indicator_code = 'DUY_TRI_DKCP_GPKD',
K_QLKD_33,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK gần giới hạn duy trì — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_license_condition_snpst.securities_company_dim_id),
K_QLKD_33,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK gần giới hạn duy trì — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,FILTER,fct_securities_company_license_condition_snpst.severity_level = '2',
K_QLKD_33,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK gần giới hạn duy trì — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Indicator Code,FILTER,fct_securities_company_license_condition_snpst.indicator_code = 'DUY_TRI_DKCP_GPKD',
K_QLKD_34,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK không duy trì điều kiện — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_license_condition_snpst.securities_company_dim_id),
K_QLKD_34,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK không duy trì điều kiện — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,FILTER,fct_securities_company_license_condition_snpst.severity_level = '3',
K_QLKD_34,TỔNG QUAN,Nhóm 5 — Duy trì điều kiện cấp phép GPHL,Số CTCK không duy trì điều kiện — Giấy phép hoạt động,Base,QLKD,Fact Securities Company License Condition Snapshot,Indicator Code,FILTER,fct_securities_company_license_condition_snpst.indicator_code = 'DUY_TRI_DKCP_GPKD',
K_QLKD_30,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Chiều thời gian theo ngày (reuse từ Nhóm 5),Base,QLKD,Fact Securities Company License Condition Snapshot,Snapshot Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_company_license_condition_snpst.snpst_dt_dim_id,Reuse từ Nhóm 5
K_QLKD_31,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Các loại duy trì điều kiện cấp phép (reuse từ Nhóm 5),Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,SLICER,fct_securities_company_license_condition_snpst.severity_level,Reuse từ Nhóm 5
K_QLKD_35,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK duy trì tốt — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_license_condition_snpst.securities_company_dim_id),
K_QLKD_35,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK duy trì tốt — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,FILTER,fct_securities_company_license_condition_snpst.severity_level = '1',
K_QLKD_35,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK duy trì tốt — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Indicator Code,FILTER,fct_securities_company_license_condition_snpst.indicator_code = 'DUY_TRI_DKCP_CTCK_PHAI_SINH',
K_QLKD_36,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK gần giới hạn duy trì — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Securities Company Dimension Id,MEASURE,COUNT(DISTINCT fct_securities_company_license_condition_snpst.securities_company_dim_id),
K_QLKD_36,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK gần giới hạn duy trì — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Severity Level,FILTER,fct_securities_company_license_condition_snpst.severity_level = '2',
K_QLKD_36,TỔNG QUAN,Nhóm 6 — Duy trì điều kiện cấp phép Phái sinh KDCKPS,Số CTCK gần giới hạn duy trì — Phái sinh KDCKPS,Base,QLKD,Fact Securities Company License Condition Snapshot,Indicator Code,FILTER,fct_securities_company_license_condition_snpst.indicator_code = 'DUY_TRI_DKCP_CTCK_PHAI_SINH',
