kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_TKNB_1,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Sàn,Chiều,TKNB,Stock Trading Report (HNX01),Item Value,SLICER,hnx01_stock_trading_rpt.item_value WHERE hnx01_stock_trading_rpt.item_code = 'floor_hnx',"Chiều slicer Sàn HNX, item_value lưu market_id_code='02'"
K_TKNB_1,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Sàn,Chiều,TKNB,Stock Trading Report (HNX01),Source System Code,FILTER,src_stm_code = 'ORDERTRADE_TRADE_BOOK_HNX',Forward-compat: lọc đúng nguồn khi bảng có nhiều src_stm_code
K_TKNB_2,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Chỉ số,Chiều,TKNB,Stock Trading Report (HNX01),Item Value,SLICER,hnx01_stock_trading_rpt.item_value WHERE hnx01_stock_trading_rpt.item_code = 'market_index_type',Chiều slicer chọn chỉ số VN-Index/HNX-Index/UPCOM-Index
K_TKNB_3,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Giá trị chỉ số,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,"MAX(market_index_snapshot.market_index_val) WHERE market_index_snapshot.market_id IN ('10','02','04')",
K_TKNB_3,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Giá trị chỉ số,Base,TKNB,,,FILTER,market_index_snapshot.trading_dt = :to_date,
K_TKNB_4,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Chỉ số HNX-INDEX (cuối ngày),Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,MAX(market_index_snapshot.market_index_val) WHERE market_index_snapshot.market_id = '02' AND market_index_snapshot.trading_dt = :to_date,"Sub-component của K_TKNB_3, filter market_id_code='02'"
K_TKNB_5,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Chỉ số HNX30,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,MAX(market_index_snapshot.market_index_val) WHERE market_index_snapshot.market_id = '30' AND market_index_snapshot.trading_dt = :to_date,"Sub-component của K_TKNB_3, filter market_id_code='30'"
K_TKNB_6,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Chỉ số UPCoM Index,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,MAX(market_index_snapshot.market_index_val) WHERE market_index_snapshot.market_id = '04' AND market_index_snapshot.trading_dt = :to_date,"Sub-component của K_TKNB_3, filter market_id_code='04'"
K_TKNB_7,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,Loại CK,Chiều,TKNB,Stock Trading Report (HNX01),Item Value,SLICER,hnx01_stock_trading_rpt.item_value WHERE hnx01_stock_trading_rpt.item_code = 'security_type',"Chiều slicer Loại CK, join security_trading_snapshot.stock_tp_code/fund_tp_code filter floor_code IN ('02','04')"
K_TKNB_8,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I. Giá trị chứng khoán giao dịch toàn thị trường,Phái sinh,TKNB,,,DERIVED,"SUM(securities_trade.execution_price * securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX','HCX') OR JOIN security_trading_snapshot ON stock_tp_code='3'",Header derived-sum = SUM(K_TKNB_9..13) — 5 loại CK
K_TKNB_9,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I.1 Giá trị GTGD — Cổ phiếu Niêm Yết,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,"SUM(securities_trade.execution_price * securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX')",
K_TKNB_10,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I.2 Giá trị GTGD — Cổ phiếu UpCom,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(securities_trade.execution_price * securities_trade.execution_vol) WHERE securities_trade.market_id_code = 'UPX',
K_TKNB_11,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I.3 Giá trị GTGD — Trái phiếu doanh nghiệp,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(securities_trade.execution_price * securities_trade.execution_vol) WHERE securities_trade.market_id_code = 'HCX',
K_TKNB_12,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I.4 Giá trị GTGD — Chứng chỉ quỹ,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(t.execution_price * t.execution_vol) FROM securities_trade t JOIN security_trading_snapshot s ON s.symbol=t.security_symbol_code AND s.trading_dt=t.trade_dt WHERE s.stock_tp_code='3' AND s.fund_tp_code='M',Join Security Trading Snapshot
K_TKNB_13,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,I.5 Giá trị GTGD — Chứng chỉ quỹ (ETF),Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(t.execution_price * t.execution_vol) FROM securities_trade t JOIN security_trading_snapshot s ON s.symbol=t.security_symbol_code AND s.trading_dt=t.trade_dt WHERE s.stock_tp_code='3' AND s.fund_tp_code='E',Join Security Trading Snapshot
K_TKNB_14,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II. Khối lượng chứng khoán giao dịch toàn thị trường,Phái sinh,TKNB,,,DERIVED,"SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX','HCX') OR (securities_trade JOIN security_trading_snapshot ON symbol=security_symbol_code AND trading_dt=trade_dt WHERE stock_tp_code='3' AND fund_tp_code IN ('M','E'))",Header derived-sum = SUM(K_TKNB_15..19)
K_TKNB_15,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II.1 KLGD — Cổ phiếu Niêm Yết,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,"SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX')",
K_TKNB_16,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II.2 KLGD — Cổ phiếu UpCom,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code = 'UPX',
K_TKNB_17,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II.3 KLGD — Trái phiếu doanh nghiệp,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code = 'HCX',
K_TKNB_18,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II.4 KLGD — Chứng chỉ quỹ,Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(t.execution_vol) FROM securities_trade t JOIN security_trading_snapshot s ON s.symbol=t.security_symbol_code AND s.trading_dt=t.trade_dt WHERE s.stock_tp_code='3' AND s.fund_tp_code='M',
K_TKNB_19,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,II.5 KLGD — Chứng chỉ quỹ (ETF),Base,TKNB,Stock Trading Report (HNX01),Item Value,MEASURE,SUM(t.execution_vol) FROM securities_trade t JOIN security_trading_snapshot s ON s.symbol=t.security_symbol_code AND s.trading_dt=t.trade_dt WHERE s.stock_tp_code='3' AND s.fund_tp_code='E',
K_TKNB_20,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,III. Tổng giá trị vốn hóa thị trường cổ phiếu,Phái sinh,TKNB,,,,,Pending - chưa thiết kế nguồn
K_TKNB_21,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,III.1 Vốn hóa Niêm yết (theo phân ngành - Ngành cấp 1),Base,TKNB,,,,,Pending - chưa thiết kế nguồn
K_TKNB_22,HNX01,Nhóm 1 - Báo cáo về giao dịch trên thị trường cổ phiếu,III.2 Vốn hóa UPCoM,Base,TKNB,,,,,Pending - chưa thiết kế nguồn
