datamart_entity,datamart_table,datamart_attribute,datamart_column,nullable,data_domain,data_type,key,description,etl_logic,etl_logic_type,source_entity,atomic_table,source_attribute,atomic_column
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Fact Public Company Financial Score Snapshot Id,fct_public_company_financial_score_snpst_id,false,Surrogate Key,string,PK,Khóa đại diện (surrogate key). Driving Table: Public Company Evaluation (public_company_evaluation).,,,, ,,
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Public Company Dimension Id,public_company_dim_id,false,Surrogate Dimension Key,string,FK -> Public Company Dimension,FK tới Public Company Dimension — resolve qua Public Company Evaluation.Public Company Id.,public_company_evaluation.pc_id,direct,Public Company Evaluation,public_company_evaluation,Public Company Id,pc_id
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Calendar Date Dimension Id,cdr_dt_dim_id,false,Surrogate Dimension Key,string,FK -> Calendar Date Dimension,FK tới Calendar Date Dimension — resolve qua Public Company Evaluation.Evaluation Date.,public_company_evaluation.evaluation_dt,lookup_date,Public Company Evaluation,public_company_evaluation,Evaluation Date,evaluation_dt
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Kiểm toán — Ý kiến kiểm toán,audit_opinion_score,true,Small Counter,int,,"K_GSDC_32 (Kiểm toán — Ý kiến kiểm toán) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_YKKT'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_YKKT' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,ROA,roa_score,true,Small Counter,int,,"K_GSDC_33 (ROA) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_ROA'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_ROA' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Dòng tiền từ hoạt động kinh doanh,operating_cash_flow_score,true,Small Counter,int,,"K_GSDC_34 (Dòng tiền từ hoạt động kinh doanh) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_DTTHDKD'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_DTTHDKD' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Khả năng thanh toán hiện thời,current_ratio_score,true,Small Counter,int,,"K_GSDC_35 (Khả năng thanh toán hiện thời) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_KNTTHT'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_KNTTHT' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,EBIT / Lãi vay,ebit_interest_coverage_score,true,Small Counter,int,,"K_GSDC_36 (EBIT / Lãi vay) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_EBIT'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_EBIT' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,Nợ / VCSH,debt_to_equity_score,true,Small Counter,int,,"K_GSDC_37 (Nợ / VCSH) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_NO_VON_CSH'.",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_NO_VON_CSH' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
Fact Public Company Financial Score Snapshot,fct_public_company_financial_score_snpst,VCSH,equity_score,true,Small Counter,int,,"K_GSDC_38 (VCSH) — evaluation_score trực tiếp, filter Criterion Code = 'TAI_CHINH_VON_CSH'. Xác nhận BA vẫn còn dòng này (rà soát LLD 2026-07-15, xem O_GSDC_1).",pc_evaluation_detail.evaluation_score INNER JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_id = pc_evaluation_detail.pc_evaluation_criterion_id AND pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_VON_CSH' AND pc_evaluation_criterion.src_stm_code = 'IDS.EVALUATION_CRITERIA' WHERE pc_evaluation_detail.src_stm_code = 'IDS.EVALUATION_DETAILS',join_atomic,Public Company Evaluation Detail / Public Company Evaluation Criterion,pc_evaluation_detail / pc_evaluation_criterion,Evaluation Score,evaluation_score
