"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Practitioner 360 Profile","opr_prac_360_profile","Practitioner Code","prac_code","false","Text","string","PK","PK — Driving: scr_prac (NHNCK.PROFESSIONALS + NHNCK.PROFESSIONAL_HISTORIES). Grain: 1 NHN latest state","scr_prac.scr_prac_code","direct","Securities Practitioner","scr_prac","Securities Practitioner Code","scr_prac_code"
"Practitioner 360 Profile","opr_prac_360_profile","Full Name","full_nm","true","Text","string","","Họ tên đầy đủ NHN","scr_prac.full_nm","direct","Securities Practitioner","scr_prac","Full Name","full_nm"
"Practitioner 360 Profile","opr_prac_360_profile","Birth Date","brth_dt","true","Date","date","","Ngày sinh NHN — NULL nếu chỉ có năm sinh","scr_prac.brth_dt","direct","Securities Practitioner","scr_prac","Birth Date","brth_dt"
"Practitioner 360 Profile","opr_prac_360_profile","Age","age","true","Small Counter","int","","Tuổi NHN tại thời điểm populate — ETL-derived: YEAR({etl_population_dt}) − COALESCE(YEAR(scr_prac.brth_dt), scr_prac.brth_yr)","YEAR({etl_population_dt}) - COALESCE(YEAR(scr_prac.brth_dt), scr_prac.brth_yr)","computed","Securities Practitioner","scr_prac","Birth Date / Birth Year","brth_dt / brth_yr"
"Practitioner 360 Profile","opr_prac_360_profile","Nationality Code","nat_code","true","Text","string","","Mã quốc tịch NHN","scr_prac.nat_code","direct","Securities Practitioner","scr_prac","Nationality Code","nat_code"
"Practitioner 360 Profile","opr_prac_360_profile","Nationality Name","nat_nm","true","Text","string","","Tên quốc tịch — ETL-derived: denormalize từ Classification (scheme: NATIONALITY) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'NATIONALITY' AND cv.cl_code = scr_prac.nat_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner 360 Profile","opr_prac_360_profile","Identification Number","identn_nbr","true","Text","string","","Số CCCD/Hộ chiếu NHN — lấy bản ghi identn_tp_code IN ('CCCD','PASSPORT')","LEFT JOIN ip_alt_identn ON ip_alt_identn.ip_id = scr_prac.scr_prac_id AND ip_alt_identn.identn_tp_code IN ('CCCD','PASSPORT') → ip_alt_identn.identn_nbr","join_atomic","Involved Party Alternative Identification","ip_alt_identn","Identification Number","identn_nbr"
"Practitioner 360 Profile","opr_prac_360_profile","Workplace","workplace_nm","true","Text","string","","Nơi công tác hiện tại — text tự do từ PROFESSIONALS.WORKPLACE","scr_prac.workplace_nm","direct","Securities Practitioner","scr_prac","Workplace Name","workplace_nm"
"Practitioner 360 Profile","opr_prac_360_profile","Practice Status Code","practice_st_code","true","Classification Value","string","","Trạng thái hành nghề — Classification Value (scheme: PRACTICE_STATUS): 0=Chưa HN, 1=Đang HN, 2=Thu hồi cấp lại, 3=Thu hồi không cấp lại, 4=Có thời hạn","scr_prac.practice_st_code","direct","Securities Practitioner","scr_prac","Practice Status Code","practice_st_code"
"Practitioner 360 Profile","opr_prac_360_profile","Practice Status Name","practice_st_nm","true","Text","string","","Tên trạng thái hành nghề — ETL-derived: denormalize từ Classification (scheme: PRACTICE_STATUS) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'PRACTICE_STATUS' AND cv.cl_code = scr_prac.practice_st_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner 360 Profile","opr_prac_360_profile","Active Certificate Type Code","actv_ctf_tp_code","true","Text","string","","Loại CCHN hiện tại (scheme: CERTIFICATE_TYPE) — CCHN rcrd_st_code = '1'","LEFT JOIN scr_prac_license_ctf_doc ON scr_prac_license_ctf_doc.scr_prac_code = scr_prac.scr_prac_code AND scr_prac_license_ctf_doc.rcrd_st_code = '1' → scr_prac_license_ctf_doc.ctf_tp_code","join_atomic","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Certificate Type Code","ctf_tp_code"
"Practitioner 360 Profile","opr_prac_360_profile","Active Certificate Type Name","actv_ctf_tp_nm","true","Text","string","","Tên loại CCHN hiện tại — ETL-derived: denormalize từ Classification (scheme: CERTIFICATE_TYPE) tại thời điểm populate","LEFT JOIN scr_prac_license_ctf_doc ON scr_prac_license_ctf_doc.scr_prac_code = scr_prac.scr_prac_code AND scr_prac_license_ctf_doc.rcrd_st_code = '1' → INNER JOIN cv ON cv.scm_code = 'CERTIFICATE_TYPE' AND cv.cl_code = scr_prac_license_ctf_doc.ctf_tp_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner 360 Profile","opr_prac_360_profile","Active Certificate Number","actv_ctf_nbr","true","Text","string","","Số CCHN hiện tại — CCHN rcrd_st_code = '1'","LEFT JOIN scr_prac_license_ctf_doc ON scr_prac_license_ctf_doc.scr_prac_code = scr_prac.scr_prac_code AND scr_prac_license_ctf_doc.rcrd_st_code = '1' → scr_prac_license_ctf_doc.ctf_nbr","join_atomic","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Certificate Number","ctf_nbr"
"Practitioner 360 Profile","opr_prac_360_profile","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — ETL-derived","scr_prac.src_stm_code WHERE scr_prac.src_stm_code = 'NHNCK_PROFESSIONALS'","direct","Securities Practitioner","scr_prac","Source System Code","src_stm_code"
