"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Practitioner Data Explorer","opr_prac_data_explr","Practitioner Code","prac_code","false","Text","string","PK","PK (1/2) — Driving: scr_prac_license_ctf_doc (NHNCK.CERTIFICATE_RECORDS). Grain: 1 CCHN per NHN","scr_prac_license_ctf_doc.scr_prac_code","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Securities Practitioner Code","scr_prac_code"
"Practitioner Data Explorer","opr_prac_data_explr","License Certificate Document Code","license_ctf_doc_code","false","Text","string","PK","PK (2/2) — BK bản ghi CCHN","scr_prac_license_ctf_doc.scr_prac_license_ctf_doc_code","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Securities Practitioner License Certificate Document Code","scr_prac_license_ctf_doc_code"
"Practitioner Data Explorer","opr_prac_data_explr","Full Name","full_nm","true","Text","string","","Họ tên người hành nghề — ETL-derived: join scr_prac theo scr_prac_code","INNER JOIN scr_prac ON scr_prac.scr_prac_id = scr_prac_license_ctf_doc.scr_prac_id → scr_prac.full_nm","join_atomic","Securities Practitioner","scr_prac","Full Name","full_nm"
"Practitioner Data Explorer","opr_prac_data_explr","Certificate Number","ctf_nbr","true","Text","string","","Số CCHN","scr_prac_license_ctf_doc.ctf_nbr","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Certificate Number","ctf_nbr"
"Practitioner Data Explorer","opr_prac_data_explr","Certificate Type Code","ctf_tp_code","true","Classification Value","string","","Loại hình hành nghề (scheme: CERTIFICATE_TYPE) — slicer Loại hình filter trên cột này","scr_prac_license_ctf_doc.ctf_tp_code","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Certificate Type Code","ctf_tp_code"
"Practitioner Data Explorer","opr_prac_data_explr","Certificate Type Name","ctf_tp_nm","true","Text","string","","Tên loại hình hành nghề — ETL-derived: denormalize từ Classification (scheme: CERTIFICATE_TYPE) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'CERTIFICATE_TYPE' AND cv.cl_code = scr_prac_license_ctf_doc.ctf_tp_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Data Explorer","opr_prac_data_explr","Practice Status Code","practice_st_code","true","Classification Value","string","","Trạng thái hành nghề (scheme: PRACTICE_STATUS: 0=Chưa hành nghề, 1=Đang hành nghề, 2=Thu hồi có cấp lại, 3=Thu hồi không cấp lại) — slicer Trạng thái filter trên cột này","INNER JOIN scr_prac ON scr_prac.scr_prac_id = scr_prac_license_ctf_doc.scr_prac_id → scr_prac.practice_st_code","join_atomic","Securities Practitioner","scr_prac","Practice Status Code","practice_st_code"
"Practitioner Data Explorer","opr_prac_data_explr","Certificate Issue Date","issu_dt","true","Date","date","","Ngày cấp CCHN","scr_prac_license_ctf_doc.issu_dt","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Issue Date","issu_dt"
"Practitioner Data Explorer","opr_prac_data_explr","Current Organization Name","current_org_nm","true","Text","string","","Tên tổ chức công tác hiện tại — ETL-derived: LEFT JOIN scr_prac_org_emp_rpt (tmt_dt IS NULL, bản mới nhất) → LEFT JOIN scr_org_refr → scr_org_refr_nm; NULL nếu không có báo cáo hiện tại","LEFT JOIN scr_prac_org_emp_rpt ON scr_prac_org_emp_rpt.scr_prac_id = scr_prac_license_ctf_doc.scr_prac_id AND scr_prac_org_emp_rpt.tmt_dt IS NULL → LEFT JOIN scr_org_refr ON scr_org_refr.scr_org_refr_id = scr_prac_org_emp_rpt.scr_org_refr_id → scr_org_refr.scr_org_refr_nm","join_atomic","Securities Organization Reference","scr_org_refr","Securities Organization Reference Name","scr_org_refr_nm"
"Practitioner Data Explorer","opr_prac_data_explr","Identification Type Code","identn_tp_code","true","Classification Value","string","","Loại giấy tờ định danh (scheme: IP_ALT_ID_TYPE: 1=CMND, 2=CCCD, 3=PASSPORT) — ETL-derived: LEFT JOIN ip_alt_identn theo scr_prac_id; NULL nếu chưa có giấy tờ","LEFT JOIN ip_alt_identn ON ip_alt_identn.ip_id = scr_prac_license_ctf_doc.scr_prac_id → ip_alt_identn.identn_tp_code","join_atomic","Involved Party Alternative Identification","ip_alt_identn","Identification Type Code","identn_tp_code"
"Practitioner Data Explorer","opr_prac_data_explr","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — ETL-derived","scr_prac_license_ctf_doc.src_stm_code WHERE scr_prac_license_ctf_doc.src_stm_code = 'NHNCK_CERTIFICATE_RECORDS'","direct","Securities Practitioner License Certificate Document","scr_prac_license_ctf_doc","Source System Code","src_stm_code"
