"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Practitioner Exam History","opr_prac_exam_hist","Practitioner Code","prac_code","false","Text","string","PK","PK (1/2) — Driving: scr_prac_qualf_exam_ases_rslt (NHNCK.EXAM_DETAILS). Grain: 1 lần thi per NHN","scr_prac_qualf_exam_ases_rslt.scr_prac_code","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Securities Practitioner Code","scr_prac_code"
"Practitioner Exam History","opr_prac_exam_hist","Examination Assessment Result Code","exam_ases_rslt_code","false","Text","string","PK","PK (2/2) — BK bản ghi kết quả thi","scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_rslt_code","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Securities Practitioner Qualification Examination Assessment Result Code","scr_prac_qualf_exam_ases_rslt_code"
"Practitioner Exam History","opr_prac_exam_hist","Assessment Name","ases_nm","true","Text","string","","Tên đợt thi — ETL-derived: join scr_prac_qualf_exam_ases theo scr_prac_qualf_exam_ases_code","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → scr_prac_qualf_exam_ases.ases_nm","join_atomic","Securities Practitioner Qualification Examination Assessment","scr_prac_qualf_exam_ases","Assessment Name","ases_nm"
"Practitioner Exam History","opr_prac_exam_hist","Report Year","rpt_yr","true","Small Counter","int","","Năm báo cáo đợt thi — ETL-derived: join scr_prac_qualf_exam_ases theo scr_prac_qualf_exam_ases_code","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → scr_prac_qualf_exam_ases.rpt_yr","join_atomic","Securities Practitioner Qualification Examination Assessment","scr_prac_qualf_exam_ases","Report Year","rpt_yr"
"Practitioner Exam History","opr_prac_exam_hist","Examination Session Number","exam_ssn_nbr","true","Small Counter","int","","Kỳ thi trong năm (1, 2, ...) — ETL-derived: join scr_prac_qualf_exam_ases theo scr_prac_qualf_exam_ases_code","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → scr_prac_qualf_exam_ases.exam_ssn_nbr","join_atomic","Securities Practitioner Qualification Examination Assessment","scr_prac_qualf_exam_ases","Examination Session Number","exam_ssn_nbr"
"Practitioner Exam History","opr_prac_exam_hist","Examination Period","exam_period","true","Text","string","","Kỳ thi dạng chuỗi hiển thị (VD: ""2025_1"") — ETL-derived: CONCAT(rpt_yr, ""_"", exam_ssn_nbr) từ scr_prac_qualf_exam_ases","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → CONCAT(scr_prac_qualf_exam_ases.rpt_yr, '_', scr_prac_qualf_exam_ases.exam_ssn_nbr)","join_atomic","Securities Practitioner Qualification Examination Assessment","scr_prac_qualf_exam_ases","Report Year / Examination Session Number","rpt_yr / exam_ssn_nbr"
"Practitioner Exam History","opr_prac_exam_hist","Examination Start Date","exam_strt_dt","true","Date","date","","Ngày thi — ETL-derived: join scr_prac_qualf_exam_ases","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → scr_prac_qualf_exam_ases.exam_strt_dt","join_atomic","Securities Practitioner Qualification Examination Assessment","scr_prac_qualf_exam_ases","Examination Start Date","exam_strt_dt"
"Practitioner Exam History","opr_prac_exam_hist","Law Score","law_scor","true","Text","string","","Điểm thi pháp luật","scr_prac_qualf_exam_ases_rslt.law_scor","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Law Score","law_scor"
"Practitioner Exam History","opr_prac_exam_hist","Specialization Score","specialization_scor","true","Text","string","","Điểm thi chuyên môn","scr_prac_qualf_exam_ases_rslt.specialization_scor","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Specialization Score","specialization_scor"
"Practitioner Exam History","opr_prac_exam_hist","Law Result Code","law_rslt_code","true","Classification Value","string","","Kết quả thi pháp luật (scheme: EXAM_RESULT: -1=Không thi, 0=Không đạt, 1=Đạt)","scr_prac_qualf_exam_ases_rslt.law_rslt_code","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Law Result Code","law_rslt_code"
"Practitioner Exam History","opr_prac_exam_hist","Law Result Name","law_rslt_nm","true","Text","string","","Tên kết quả thi pháp luật — ETL-derived: denormalize từ Classification (scheme: EXAM_RESULT) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'EXAM_RESULT' AND cv.cl_code = scr_prac_qualf_exam_ases_rslt.law_rslt_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Exam History","opr_prac_exam_hist","Specialization Result Code","specialization_rslt_code","true","Classification Value","string","","Kết quả thi chuyên môn (scheme: EXAM_RESULT: -1=Không thi, 0=Không đạt, 1=Đạt)","scr_prac_qualf_exam_ases_rslt.specialization_rslt_code","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Specialization Result Code","specialization_rslt_code"
"Practitioner Exam History","opr_prac_exam_hist","Specialization Result Name","specialization_rslt_nm","true","Text","string","","Tên kết quả thi chuyên môn — ETL-derived: denormalize từ Classification (scheme: EXAM_RESULT) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'EXAM_RESULT' AND cv.cl_code = scr_prac_qualf_exam_ases_rslt.specialization_rslt_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Exam History","opr_prac_exam_hist","Overall Result Code","ovrl_rslt_code","true","Classification Value","string","","Kết quả tổng hợp (scheme: EXAM_RESULT: -1=Không thi, 0=Không đạt, 1=Đạt)","scr_prac_qualf_exam_ases_rslt.ovrl_rslt_code","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Overall Result Code","ovrl_rslt_code"
"Practitioner Exam History","opr_prac_exam_hist","Overall Result Name","ovrl_rslt_nm","true","Text","string","","Tên kết quả tổng hợp — ETL-derived: denormalize từ Classification (scheme: EXAM_RESULT) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'EXAM_RESULT' AND cv.cl_code = scr_prac_qualf_exam_ases_rslt.ovrl_rslt_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Exam History","opr_prac_exam_hist","Decision Number","dcsn_nbr","true","Text","string","","Số quyết định công bố kết quả thi — ETL-derived: join scr_prac_qualf_exam_ases → scr_prac_license_dcsn_doc theo license_dcsn_code; NULL nếu chưa có quyết định","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → LEFT JOIN scr_prac_license_dcsn_doc ON scr_prac_license_dcsn_doc.scr_prac_license_dcsn_doc_code = scr_prac_qualf_exam_ases.license_dcsn_code → scr_prac_license_dcsn_doc.dcsn_nbr","join_atomic","Securities Practitioner License Decision Document","scr_prac_license_dcsn_doc","Decision Number","dcsn_nbr"
"Practitioner Exam History","opr_prac_exam_hist","Decision Signed Date","dcsn_signed_dt","true","Date","date","","Ngày ký quyết định công bố — ETL-derived: join qua license_dcsn_code","INNER JOIN scr_prac_qualf_exam_ases ON scr_prac_qualf_exam_ases.scr_prac_qualf_exam_ases_code = scr_prac_qualf_exam_ases_rslt.scr_prac_qualf_exam_ases_code → LEFT JOIN scr_prac_license_dcsn_doc ON scr_prac_license_dcsn_doc.scr_prac_license_dcsn_doc_code = scr_prac_qualf_exam_ases.license_dcsn_code → scr_prac_license_dcsn_doc.dcsn_signed_dt","join_atomic","Securities Practitioner License Decision Document","scr_prac_license_dcsn_doc","Decision Signed Date","dcsn_signed_dt"
"Practitioner Exam History","opr_prac_exam_hist","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — ETL-derived","scr_prac_qualf_exam_ases_rslt.src_stm_code WHERE scr_prac_qualf_exam_ases_rslt.src_stm_code = 'NHNCK_EXAM_DETAILS'","direct","Securities Practitioner Qualification Examination Assessment Result","scr_prac_qualf_exam_ases_rslt","Source System Code","src_stm_code"
