"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Practitioner Code","prac_code","false","Text","string","PK","PK (1/2) — Driving: scr_prac_org_emp_rpt (NHNCK.ORGANIZATION_REPORTS). Grain: 1 lần báo cáo tổ chức per NHN","scr_prac_org_emp_rpt.scr_prac_code","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Securities Practitioner Code","scr_prac_code"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Organization Employment Report Code","org_emp_rpt_code","false","Text","string","PK","PK (2/2) — BK bản ghi báo cáo tổ chức","scr_prac_org_emp_rpt.scr_prac_org_emp_rpt_code","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Securities Practitioner Organization Employment Report Code","scr_prac_org_emp_rpt_code"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Practitioner Workplace At Report","prac_workplace_at_rpt","true","Text","string","","Tên DN niêm yết/UPCOM — snapshot nơi làm việc NHN tại thời điểm báo cáo","scr_prac_org_emp_rpt.prac_workplace_at_rpt","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Practitioner Workplace At Report","prac_workplace_at_rpt"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Practitioner Position At Report","prac_pos_at_rpt","true","Text","string","","Vai trò NHN tại DN — snapshot chức vụ tại thời điểm báo cáo","scr_prac_org_emp_rpt.prac_pos_at_rpt","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Practitioner Position At Report","prac_pos_at_rpt"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Organization Type Code","org_tp_code","true","Classification Value","string","","Loại hình tổ chức (scheme: ORGANIZATION_TYPE) — ETL-derived: join scr_org_refr","INNER JOIN scr_org_refr ON scr_org_refr.scr_org_refr_code = scr_prac_org_emp_rpt.scr_org_refr_code AND scr_org_refr.src_stm_code = 'NHNCK_ORGANIZATIONS' → scr_org_refr.org_tp_code","join_atomic","Securities Organization Reference","scr_org_refr","Organization Type Code","org_tp_code"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Securities Organization Reference Code","scr_org_refr_code","false","Text","string","","Mã tổ chức — dư thừa từ driving table để filter nhanh","scr_prac_org_emp_rpt.scr_org_refr_code","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Securities Organization Reference Code","scr_org_refr_code"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Employment Status","employment_st","false","Text","string","","Trạng thái vai trò — ETL-derived: 'Hiện tại' nếu tmt_dt IS NULL, 'Đã kết thúc' nếu có giá trị","CASE WHEN scr_prac_org_emp_rpt.tmt_dt IS NULL THEN 'Hiện tại' ELSE 'Đã kết thúc' END","computed","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Termination Date","tmt_dt"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Hire Date","hire_dt","true","Date","date","","Ngày tuyển dụng vào tổ chức","scr_prac_org_emp_rpt.hire_dt","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Hire Date","hire_dt"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Termination Date","tmt_dt","true","Date","date","","Ngày chấm dứt hợp đồng — NULL nếu đang làm việc","scr_prac_org_emp_rpt.tmt_dt","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Termination Date","tmt_dt"
"Practitioner Listed Company Role","opr_prac_lst_co_role","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — ETL-derived","scr_prac_org_emp_rpt.src_stm_code WHERE scr_prac_org_emp_rpt.src_stm_code = 'NHNCK_ORGANIZATION_REPORTS'","direct","Securities Practitioner Organization Employment Report","scr_prac_org_emp_rpt","Source System Code","src_stm_code"
