"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Practitioner Violation History","opr_prac_vln_hist","Practitioner Code","prac_code","false","Text","string","PK","PK (1/2) — Driving: scr_prac_conduct_vln (NHNCK.VIOLATIONS). Grain: 1 vi phạm per NHN","scr_prac_conduct_vln.scr_prac_code","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Securities Practitioner Code","scr_prac_code"
"Practitioner Violation History","opr_prac_vln_hist","Conduct Violation Code","conduct_vln_code","false","Text","string","PK","PK (2/2) — BK bản ghi vi phạm","scr_prac_conduct_vln.scr_prac_conduct_vln_code","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Securities Practitioner Conduct Violation Code","scr_prac_conduct_vln_code"
"Practitioner Violation History","opr_prac_vln_hist","Record Type Code","rcrd_tp_code","true","Classification Value","string","","Hình thức xử phạt (scheme: RECORD_TYPE: 1=Hành chính, 2=Pháp luật)","scr_prac_conduct_vln.rcrd_tp_code","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Record Type Code","rcrd_tp_code"
"Practitioner Violation History","opr_prac_vln_hist","Record Type Name","rcrd_tp_nm","true","Text","string","","Tên hình thức xử phạt — ETL-derived: denormalize từ Classification (scheme: RECORD_TYPE) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'RECORD_TYPE' AND cv.cl_code = scr_prac_conduct_vln.rcrd_tp_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Violation History","opr_prac_vln_hist","Note","note","true","Text","string","","Nội dung vi phạm — nullable","scr_prac_conduct_vln.note","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Note","note"
"Practitioner Violation History","opr_prac_vln_hist","Record Status Code","rcrd_st_code","false","Classification Value","string","","Trạng thái vi phạm (scheme: RECORD_STATUS: 1=ACTIVE, 0=INACTIVE)","scr_prac_conduct_vln.rcrd_st_code","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Record Status Code","rcrd_st_code"
"Practitioner Violation History","opr_prac_vln_hist","Record Status Name","rcrd_st_nm","true","Text","string","","Tên trạng thái vi phạm — ETL-derived: denormalize từ Classification (scheme: RECORD_STATUS) tại thời điểm populate","INNER JOIN cv ON cv.scm_code = 'RECORD_STATUS' AND cv.cl_code = scr_prac_conduct_vln.rcrd_st_code → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"Practitioner Violation History","opr_prac_vln_hist","Decision Number","dcsn_nbr","true","Text","string","","Số quyết định xử phạt — ETL-derived: LEFT JOIN scr_prac_license_dcsn_doc theo license_dcsn_doc_code; NULL nếu chưa có quyết định","LEFT JOIN scr_prac_license_dcsn_doc ON scr_prac_license_dcsn_doc.scr_prac_license_dcsn_doc_id = scr_prac_conduct_vln.license_dcsn_doc_id → scr_prac_license_dcsn_doc.dcsn_nbr","join_atomic","Securities Practitioner License Decision Document","scr_prac_license_dcsn_doc","Decision Number","dcsn_nbr"
"Practitioner Violation History","opr_prac_vln_hist","Decision Signed Date","dcsn_signed_dt","true","Date","date","","Ngày quyết định xử phạt — ETL-derived: LEFT JOIN scr_prac_license_dcsn_doc theo license_dcsn_doc_code","LEFT JOIN scr_prac_license_dcsn_doc ON scr_prac_license_dcsn_doc.scr_prac_license_dcsn_doc_id = scr_prac_conduct_vln.license_dcsn_doc_id → scr_prac_license_dcsn_doc.dcsn_signed_dt","join_atomic","Securities Practitioner License Decision Document","scr_prac_license_dcsn_doc","Decision Signed Date","dcsn_signed_dt"
"Practitioner Violation History","opr_prac_vln_hist","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — ETL-derived","scr_prac_conduct_vln.src_stm_code WHERE scr_prac_conduct_vln.src_stm_code = 'NHNCK_VIOLATIONS'","direct","Securities Practitioner Conduct Violation","scr_prac_conduct_vln","Source System Code","src_stm_code"
