"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Snapshot Date Dimension Id","snpst_dt_dim_id",false,"Surrogate Dimension Key","string","FK","FK đến Calendar Date Dimension — khóa ngày chụp số liệu vĩ mô","LOOKUP cdr_dt_dim ON cdr_dt_dim.cdr_dt = cl_risk_indicator_value.period_dt","lookup_date","Calendar Date","cdr_dt_dim","Calendar Date","cdr_dt"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Macro Indicator Code","macro_indicator_code",false,"Text","string","DD","Mã định danh chỉ tiêu vĩ mô/tiền tệ (VD: INTERBANK_IR, EX_RATE_VND_USD, CPI_VN, GDP_VN, DXY)","cl_risk_indicator.cl_risk_ind_code","join_atomic","Classification Risk Indicator","cl_risk_indicator","Classification Risk Indicator Code","cl_risk_ind_code"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Macro Indicator Name","macro_indicator_name",false,"Text","string","DD","Tên chỉ tiêu vĩ mô/tiền tệ","cl_risk_indicator.ind_nm","join_atomic","Classification Risk Indicator","cl_risk_indicator","Risk Indicator Name","ind_nm"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Period Type Code","period_tp_code",false,"Classification Value","string","DD","Mã loại kỳ báo cáo: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm","cl_risk_indicator_value.period_tp_code","direct_atomic","Classification Risk Indicator Value","cl_risk_indicator_value","Period Type Code","period_tp_code"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Period Label","period_label",true,"Text","string","DD","Nhãn hiển thị kỳ báo cáo (VD: 2026-03, 2026-Q1, 2026)","cl_risk_indicator_value.period_label","direct_atomic","Classification Risk Indicator Value","cl_risk_indicator_value","Period Label","period_label"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Indicator Value","indicator_val",false,"Currency Amount","decimal(23,4)","DD","Giá trị chỉ tiêu vĩ mô tại kỳ báo cáo này","cl_risk_indicator_value.val","direct_atomic","Classification Risk Indicator Value","cl_risk_indicator_value","Value","val"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Previous Period Value","prev_period_val",true,"Currency Amount","decimal(23,4)","DD","Giá trị chỉ tiêu vĩ mô ở kỳ báo cáo liền trước (t-1)","LAG(cl_risk_indicator_value.val) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code ORDER BY cl_risk_indicator_value.period_dt)","computed","Classification Risk Indicator Value","cl_risk_indicator_value","Value","val"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Period Change Percentage","pct_change",true,"Percentage","decimal(5,2)","DD","Tỷ lệ tăng trưởng % so với kỳ liền trước ((t - t-1) / t-1 * 100)","ROUND((cl_risk_indicator_value.val - LAG(cl_risk_indicator_value.val) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code ORDER BY cl_risk_indicator_value.period_dt)) / NULLIF(LAG(cl_risk_indicator_value.val) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code ORDER BY cl_risk_indicator_value.period_dt), 0) * 100, 2)","computed","Classification Risk Indicator Value","cl_risk_indicator_value","Value","val"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Year Over Year Change Percentage","yoy_pct_change",true,"Percentage","decimal(5,2)","DD","Tỷ lệ tăng trưởng % cùng kỳ năm trước (YoY)","ROUND((cl_risk_indicator_value.val - LAG(cl_risk_indicator_value.val, 1) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code, cl_risk_indicator_value.period_val ORDER BY cl_risk_indicator_value.period_year)) / NULLIF(LAG(cl_risk_indicator_value.val, 1) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code, cl_risk_indicator_value.period_val ORDER BY cl_risk_indicator_value.period_year), 0) * 100, 2)","computed","Classification Risk Indicator Value","cl_risk_indicator_value","Value","val"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Moving Average N Period Value","ma_n_val",true,"Currency Amount","decimal(23,4)","DD","Giá trị trung bình trượt N phiên gần nhất (phục vụ tính correlation / trend)","AVG(cl_risk_indicator_value.val) OVER (PARTITION BY cl_risk_indicator_value.cl_risk_ind_code ORDER BY cl_risk_indicator_value.period_dt ROWS BETWEEN 29 PRECEDING AND CURRENT ROW)","computed","Classification Risk Indicator Value","cl_risk_indicator_value","Value","val"
"Fact Macro Indicator Snapshot","fct_macro_indicator_snpst","Source System Code","src_stm_code",false,"Classification Value","string","DD","Mã hệ thống nguồn dữ liệu","'MRMS'","hardcode","Classification Risk Indicator Value","cl_risk_indicator_value","Source System Code","src_stm_code"
