"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Snapshot Date Dimension Id","snpst_dt_dim_id","false","Surrogate Dimension Key","string","FK","FK to Calendar Date Dimension","LOOKUP cdr_dt_dim ON cdr_dt_dim.cdr_dt = security_trading_snapshot.trading_dt","lookup_date","Security Trading Snapshot","security_trading_snapshot","Trading Date","trading_dt"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Market Code","market_code","false","Text","string","DD","Chiều Chỉ số (mã chỉ số/mã sàn)","market_index_snapshot.market_code","direct","Market Index Snapshot","market_index_snapshot","Market Code","market_code"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Total Trading Volume Matched","total_trading_vol_matched","true","Small Counter","decimal(23,2)","DD","KLGD theo chỉ số tại ngày t","SUM(securities_trade.execution_vol) JOIN index_constituent_snapshot ON index_constituent_snapshot.symbol = securities_trade.security_symbol_code WHERE index_constituent_snapshot.index_code = :ma_chi_so AND securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.trade_dt = :etl_date","join_atomic","Securities Trade","securities_trade / index_constituent_snapshot","Execution Volume","execution_vol"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Close Price","close_price","true","Currency Amount","decimal(23,2)","DD","Giá đóng cửa ngày t","security_trading_snapshot.close_price WHERE security_trading_snapshot.floor_code IN ('02','04','10') AND security_trading_snapshot.trading_dt = :etl_date","join_atomic","Security Trading Snapshot","security_trading_snapshot","Close Price","close_price"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Close Price Previous Day","close_price_previous_day","true","Currency Amount","decimal(23,2)","DD","Giá đóng cửa ngày t-1","security_trading_snapshot.close_price WHERE security_trading_snapshot.floor_code IN ('02','04','10') AND security_trading_snapshot.trading_dt = MAX(trading_dt) < :etl_date","join_atomic","Security Trading Snapshot","security_trading_snapshot","Close Price","close_price"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Price Change Percentage","price_change_percentage","true","Percentage","decimal(5,2)","DD","% thay đổi giá","(fct_market_statistics_snpst.close_price - fct_market_statistics_snpst.close_price_previous_day) / NULLIF(fct_market_statistics_snpst.close_price_previous_day, 0) * 100","computed","Fact Market Statistics Snapshot","fct_market_statistics_snpst","Close Price","close_price"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Total Trading Value Matched","total_trading_val_matched","true","Currency Amount","decimal(23,2)","DD","GTGD phiên tại ngày t","SUM(securities_trade.execution_val) WHERE securities_trade.market_id_code IN ('UPX','STX','STO') AND securities_trade.trade_dt = :etl_date","join_atomic","Securities Trade","securities_trade","Execution Value","execution_val"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Total Trading Value Matched Average 50 Days","total_trading_val_matched_average_50_days","true","Currency Amount","decimal(23,2)","DD","GTGD trung bình 50 phiên (MA50)","AVG(fct_market_statistics_snpst.total_trading_val_matched) trên 50 phiên giao dịch gần nhất WHERE fct_market_statistics_snpst.snpst_dt_dim_id <= :etl_date","computed","Fact Market Statistics Snapshot","fct_market_statistics_snpst","Total Trading Value Matched","total_trading_val_matched"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Total Outstanding Share Quantity","total_outstanding_share_quantity","true","Large Counter","bigint","DD","Tổng khối lượng cổ phiếu đang lưu hành của các mã thuộc rổ chỉ số tại ngày t (VSDC TT138.2025 Mẫu 01 — PTTT Nhóm 32).","SUM(listed_share_info.outstanding_share_quantity) JOIN index_constituent_snapshot ON index_constituent_snapshot.symbol = listed_share_info.ticker_symbol AND index_constituent_snapshot.index_code = market_index_snapshot.market_code AND index_constituent_snapshot.trading_dt = :etl_date WHERE listed_share_info.src_stm_code = 'VSDC_OUTSTANDING_SHARES' AND listed_share_info.ds_snpst_dt = (SELECT MAX(sc2.ds_snpst_dt) FROM listed_share_info sc2 WHERE sc2.ticker_symbol = listed_share_info.ticker_symbol AND sc2.src_stm_code = 'VSDC_OUTSTANDING_SHARES' AND sc2.ds_snpst_dt <= :etl_date) GROUP BY market_index_snapshot.market_code","join_atomic","Listed Share Info","listed_share_info / index_constituent_snapshot / market_index_snapshot","Outstanding Share Quantity","outstanding_share_quantity"
"Fact Market Statistics Snapshot","fct_market_statistics_snpst","Net Profit After Tax Amount","net_profit_after_tax_amt","true","Currency Amount","decimal(23,2)","","[MỚI 2026-09-24, review PTTT — Atomic fr_value (IDS.DATA) đã có] K_PTTT_234 — Tổng LNST của các mã thuộc rổ chỉ số, lấy quý báo cáo GẦN NHẤT đã công bố (approval_status_code = 'APPROVED') tính đến ngày snapshot — theo câu lệnh BA PTTT dòng 432 (BCKQKD%, col_desc '1', row_desc '60' DN/BH – '21' TD, ưu tiên form HN > TH > ME > RI). Mã chưa có BCTC → không cộng. LNST 1 QUÝ, không TTM (Data Modeler chọn theo BA 2026-09-24, xem O_PTTT_19)","SUM(lnst.lnst) FROM index_constituent_snapshot INNER JOIN market_index_snapshot ON index_constituent_snapshot.index_code = market_index_snapshot.market_code AND index_constituent_snapshot.trading_dt = :etl_date LEFT JOIN (SELECT public_company.equity_ticker_symbol AS symbol, public_company.business_line_level_1_code, SUM(fr_value.data_val) AS lnst FROM public_company INNER JOIN pc_report_submission ON pc_report_submission.pc_id = public_company.pc_id AND pc_report_submission.approval_status_code = 'APPROVED' AND SUBSTR(pc_report_submission.fr_code,1,2) IN ('HN','TH','ME','RI') AND pc_report_submission.rpt_quarter IN (1,2,3,4) AND pc_report_submission.submission_dt <= :etl_date [rn0 PARTITION BY pc_report_submission.pc_id, pc_report_submission.rpt_year, pc_report_submission.rpt_quarter ORDER BY CASE SUBSTR(pc_report_submission.fr_code,1,2) WHEN 'HN' THEN 1 WHEN 'TH' THEN 2 WHEN 'ME' THEN 3 WHEN 'RI' THEN 4 END, pc_report_submission.submission_dt DESC — chốt ĐÚNG 1 báo cáo/kỳ] WHERE rn0 = 1 [rn1 PARTITION BY pc_report_submission.pc_id ORDER BY pc_report_submission.rpt_year DESC, pc_report_submission.rpt_quarter DESC — quý báo cáo GẦN NHẤT đã công bố tính đến :etl_date] WHERE rn1 = 1 INNER JOIN fr_value ON fr_value.pc_id = pc_report_submission.pc_id AND fr_value.rpt_year = pc_report_submission.rpt_year AND fr_value.rpt_quarter = pc_report_submission.rpt_quarter INNER JOIN fr_catalog ON fr_catalog.fr_catalog_id = fr_value.fr_catalog_id AND fr_catalog.financial_statement_tp_code = SUBSTR(pc_report_submission.fr_code,1,2) AND fr_catalog.rpt_code LIKE 'BCKQKD%' INNER JOIN fr_row_template ON fr_row_template.row_code = fr_value.row_code AND fr_row_template.fr_catalog_id = fr_catalog.fr_catalog_id AND ((fr_catalog.enterprise_tp_code IN ('DN','BH') AND fr_row_template.row_description_reference = '60') OR (fr_catalog.enterprise_tp_code = 'TD' AND fr_row_template.row_description_reference = '21')) INNER JOIN fr_column_template ON fr_column_template.column_code = fr_value.column_code AND fr_column_template.fr_catalog_id = fr_catalog.fr_catalog_id AND fr_column_template.column_description_reference = '1' WHERE public_company.src_stm_code = 'IDS_COMPANY_PROFILES' GROUP BY public_company.equity_ticker_symbol, public_company.business_line_level_1_code) lnst ON lnst.symbol = index_constituent_snapshot.symbol GROUP BY market_index_snapshot.market_code","computed","Public Company / Public Company Report Submission / Financial Report Value / Index Constituent Snapshot","public_company / pc_report_submission / fr_value / fr_catalog / fr_row_template / fr_column_template / index_constituent_snapshot","Data Value / Report Year / Report Quarter / Approval Status Code / Financial Report Code / Symbol","data_val / rpt_year / rpt_quarter / approval_status_code / fr_code / symbol"
