"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Issuer Symbol Code","issuer_symbol_code","false","Text","string","PK","PK — mã TCPH (định danh qua mã TP)","security_trading_snapshot.symbol WHERE security_trading_snapshot.stock_tp_code IN ('B','1','D')","direct","Security Trading Snapshot","security_trading_snapshot","Symbol","symbol"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Snapshot Date","snpst_dt","false","Date","date","PK","PK — ngày thống kê","security_trading_snapshot.trading_dt WHERE security_trading_snapshot.stock_tp_code IN ('B','1','D')","direct","Security Trading Snapshot","security_trading_snapshot","Trading Date","trading_dt"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Bond Outstanding Value","bond_outstanding_val","true","Currency Amount","decimal(23,2)","","Dư nợ trái phiếu per TCPH tại ngày t","100000 * security_trading_snapshot.total_listing_vol WHERE security_trading_snapshot.stock_tp_code IN ('B','1','D') AND security_trading_snapshot.trading_dt = :etl_date","join_atomic","Security Trading Snapshot","security_trading_snapshot","Total Listing Volume","total_listing_vol"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Par Value","par_val","true","Currency Amount","decimal(23,2)","","Mệnh giá trái phiếu (100.000 VND/TP) — hardcode theo BA note","100000 (hardcode)","computed","Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Par Value","par_val"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Outstanding Volume","outstanding_vol","true","Small Counter","decimal(23,2)","","KL TP lưu hành per TCPH tại ngày t","security_trading_snapshot.total_listing_vol WHERE security_trading_snapshot.stock_tp_code IN ('B','1','D') AND security_trading_snapshot.trading_dt = :etl_date","join_atomic","Security Trading Snapshot","security_trading_snapshot","Total Listing Volume","total_listing_vol"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Audit Opinion Text","audit_opinion_text","true","Text","string","","Ý kiến kiểm toán per TCPH","pc_evaluation_detail.evaluation_result_text, pc_evaluation_detail.evaluation_score JOIN pc_evaluation_criterion ON pc_evaluation_criterion.pc_evaluation_criterion_code = 'TAI_CHINH_YKKT' JOIN pc_evaluation_group ON pc_evaluation_group.pc_evaluation_group_code = 'TAI_CHINH' JOIN pc_evaluation ON pc_evaluation.pc_id = :p_company_id JOIN pc_evaluation_period ON pc_evaluation_period.evaluation_year = :p_year AND pc_evaluation_period.evaluation_month = :p_month","join_atomic","Public Company Evaluation Detail","pc_evaluation_detail / pc_evaluation_criterion / pc_evaluation_group / pc_evaluation / pc_evaluation_period","Evaluation Result Text","evaluation_result_text"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Ranking Code","ranking_code","true","Text","string","","Xếp hạng tín nhiệm per TCPH","pc_bond_evaluation.ranking_code WHERE pc_bond_evaluation.pc_id = :p_company_id AND pc_bond_evaluation.evaluation_year = :p_year AND pc_bond_evaluation.evaluation_month = :p_month","join_atomic","Public Company Bond Evaluation","pc_bond_evaluation","Ranking Code","ranking_code"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Risk Rating Text","risk_rating_text","true","Text","string","","Xếp loại rủi ro per TCPH (Thấp/Trung bình/Cao/Chưa xếp hạng), derive từ Ranking Code theo CASE WHEN BA cung cấp","CASE WHEN opr_corporate_bond_issuer_credit_monitor.ranking_code IN ('AAA','AA+','AA','AA-','A+','A','A-') THEN 'Thấp' WHEN opr_corporate_bond_issuer_credit_monitor.ranking_code IN ('BBB+','BBB','BBB-') THEN 'Trung bình' WHEN opr_corporate_bond_issuer_credit_monitor.ranking_code IN ('BB+','BB','BB-','B+','B','B-','CCC+','CCC','CCC-','CC','C','D') THEN 'Cao' ELSE 'Chưa xếp hạng' END","computed","Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Ranking Code","ranking_code"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Total Liabilities Amount","total_liabilities_amt","true","Currency Amount","decimal(23,2)","","Tong no phai tra cua TCPH tai ky bao cao gan nhat (BCDKT, row_desc 300 DN/BH - 400 TD)","LEFT JOIN pc_report_submission ON pc_report_submission.pc_id = :p_company_id AND pc_report_submission.submission_status_code = 'APPROVED' AND SUBSTR(pc_report_submission.fr_template_code,1,2) IN ('HN','TH','ME','RI') AND pc_report_submission.rpt_quarter IN (1,2,3,4) AND pc_report_submission.submission_dt <= :etl_date [rn0 PARTITION BY pc_report_submission.pc_id, pc_report_submission.rpt_year, pc_report_submission.rpt_quarter ORDER BY CASE SUBSTR(pc_report_submission.fr_template_code,1,2) WHEN 'HN' THEN 1 WHEN 'TH' THEN 2 WHEN 'ME' THEN 3 WHEN 'RI' THEN 4 END, pc_report_submission.submission_dt DESC — chot DUNG 1 bao cao/ky truoc khi xep hang ky] WHERE rn0 = 1 [rn1 PARTITION BY pc_report_submission.pc_id ORDER BY pc_report_submission.rpt_year DESC, pc_report_submission.rpt_quarter DESC — lay ky bao cao GAN NHAT da cong bo tinh den :etl_date] WHERE rn1 = 1 INNER JOIN fr_value ON fr_value.pc_id = pc_report_submission.pc_id AND fr_value.rpt_year = pc_report_submission.rpt_year AND fr_value.rpt_quarter = pc_report_submission.rpt_quarter INNER JOIN fr_catalog ON fr_catalog.fr_catalog_id = fr_value.fr_catalog_id AND fr_catalog.financial_statement_tp_code = SUBSTR(pc_report_submission.fr_template_code,1,2) AND fr_catalog.rpt_code LIKE 'BCDKT%' INNER JOIN fr_row_template ON fr_row_template.row_code = fr_value.row_code AND fr_row_template.fr_catalog_id = fr_catalog.fr_catalog_id AND ((fr_catalog.enterprise_tp_code IN ('DN','BH') AND fr_row_template.row_description_reference = '300') OR (fr_catalog.enterprise_tp_code = 'TD' AND fr_row_template.row_description_reference = '400')) INNER JOIN fr_column_template ON fr_column_template.column_code = fr_value.column_code AND fr_column_template.fr_catalog_id = fr_catalog.fr_catalog_id AND fr_column_template.column_description_reference = '1' -> fr_value.data_val","join_atomic","Public Company Report Submission","pc_report_submission / fr_value / fr_catalog / fr_row_template / fr_column_template","Data Value","data_val"
"Operational Corporate Bond Issuer Credit Monitor","opr_corporate_bond_issuer_credit_monitor","Owner Equity Ending Amount","owner_equity_ending_amt","true","Currency Amount","decimal(23,2)","","VCSH cuoi ky bao cao gan nhat (BCDKT, row_desc 400 DN/BH - 500 TD, col_desc=1 cuoi ky)","LEFT JOIN pc_report_submission ON pc_report_submission.pc_id = :p_company_id AND pc_report_submission.submission_status_code = 'APPROVED' AND SUBSTR(pc_report_submission.fr_template_code,1,2) IN ('HN','TH','ME','RI') AND pc_report_submission.rpt_quarter IN (1,2,3,4) AND pc_report_submission.submission_dt <= :etl_date [rn0 PARTITION BY pc_report_submission.pc_id, pc_report_submission.rpt_year, pc_report_submission.rpt_quarter ORDER BY CASE SUBSTR(pc_report_submission.fr_template_code,1,2) WHEN 'HN' THEN 1 WHEN 'TH' THEN 2 WHEN 'ME' THEN 3 WHEN 'RI' THEN 4 END, pc_report_submission.submission_dt DESC — chot DUNG 1 bao cao/ky truoc khi xep hang ky] WHERE rn0 = 1 [rn1 PARTITION BY pc_report_submission.pc_id ORDER BY pc_report_submission.rpt_year DESC, pc_report_submission.rpt_quarter DESC — lay ky bao cao GAN NHAT da cong bo tinh den :etl_date] WHERE rn1 = 1 INNER JOIN fr_value ON fr_value.pc_id = pc_report_submission.pc_id AND fr_value.rpt_year = pc_report_submission.rpt_year AND fr_value.rpt_quarter = pc_report_submission.rpt_quarter INNER JOIN fr_catalog ON fr_catalog.fr_catalog_id = fr_value.fr_catalog_id AND fr_catalog.financial_statement_tp_code = SUBSTR(pc_report_submission.fr_template_code,1,2) AND fr_catalog.rpt_code LIKE 'BCDKT%' INNER JOIN fr_row_template ON fr_row_template.row_code = fr_value.row_code AND fr_row_template.fr_catalog_id = fr_catalog.fr_catalog_id AND ((fr_catalog.enterprise_tp_code IN ('DN','BH') AND fr_row_template.row_description_reference = '400') OR (fr_catalog.enterprise_tp_code = 'TD' AND fr_row_template.row_description_reference = '500')) INNER JOIN fr_column_template ON fr_column_template.column_code = fr_value.column_code AND fr_column_template.fr_catalog_id = fr_catalog.fr_catalog_id AND fr_column_template.column_description_reference = '1' -> fr_value.data_val","join_atomic","Public Company Report Submission","pc_report_submission / fr_value / fr_catalog / fr_row_template / fr_column_template","Data Value","data_val"
