"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Snapshot Date Dimension Id","snpst_dt_dim_id","false","Surrogate Dimension Key","string","FK","FK tới Calendar Date Dimension theo ngày giao dịch","LOOKUP cdr_dt_dim ON cdr_dt_dim.cdr_dt = securities_trade.trade_dt AND securities_trade.trade_dt = :etl_date","lookup_date","Securities Trade","securities_trade","Trade Date","trade_dt"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Index Constituent Dimension Id","index_constituent_dim_id","false","Surrogate Dimension Key","string","FK","[SỬA 2026-09-23] FK tới Index Constituent Dimension (sở hữu GSTT) — Loại chỉ số K_TKNB_1013; grain Fact = 1 Trade Date × 1 Index Code (6 mã BA dòng 1131).","LOOKUP index_constituent_dim ON index_constituent_dim.index_code = market_index_snapshot.market_code WHERE market_index_snapshot.market_code IN ('HOSE','HNX','UPCOM','30','HNX30','100') AND market_index_snapshot.trading_dt = :etl_date","lookup_dim","Market Index Snapshot","market_index_snapshot","Market Code","market_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Total Trading Value","total_trading_val","false","Currency Amount","decimal(23,2)","DD","Tổng giá trị giao dịch cổ phiếu toàn thị trường (cộng gộp HOSE+HNX+UPCoM) trong ngày","SUM(securities_trade.execution_val) WHERE securities_trade.market_id_code IN ('STO','STX','UPX')","computed","Securities Trade","securities_trade","Execution Value / Market Id Code","execution_val / market_id_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Total Trading Volume","total_trading_vol","false","Small Counter","int","DD","Tổng khối lượng giao dịch cổ phiếu toàn thị trường trong ngày","SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX')","computed","Securities Trade","securities_trade","Execution Volume / Market Id Code","execution_vol / market_id_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Matched Trading Value","matched_trading_val","false","Currency Amount","decimal(23,2)","DD","Giá trị giao dịch khớp lệnh toàn thị trường trong ngày","SUM(securities_trade.execution_val) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('G1','G2','G3','G4','G7','G8')","computed","Securities Trade","securities_trade","Execution Value / Market Id Code / Board Type Code","execution_val / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Matched Trading Volume","matched_trading_vol","false","Small Counter","int","DD","Khối lượng giao dịch khớp lệnh toàn thị trường trong ngày","SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('G1','G2','G3','G4','G7','G8')","computed","Securities Trade","securities_trade","Execution Volume / Market Id Code / Board Type Code","execution_vol / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Negotiated Trading Value","negotiated_trading_val","false","Currency Amount","decimal(23,2)","DD","Giá trị giao dịch thỏa thuận toàn thị trường trong ngày","SUM(securities_trade.execution_val) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('T1','T2','T3','T4','T6','R1')","computed","Securities Trade","securities_trade","Execution Value / Market Id Code / Board Type Code","execution_val / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Negotiated Trading Volume","negotiated_trading_vol","false","Small Counter","int","DD","Khối lượng giao dịch thỏa thuận toàn thị trường trong ngày","SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('T1','T2','T3','T4','T6','R1')","computed","Securities Trade","securities_trade","Execution Volume / Market Id Code / Board Type Code","execution_vol / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Odd Lot Trading Value","odd_lot_trading_val","false","Currency Amount","decimal(23,2)","DD","Giá trị giao dịch lô lẻ toàn thị trường trong ngày","SUM(securities_trade.execution_val) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('G4','T4','T6')","computed","Securities Trade","securities_trade","Execution Value / Market Id Code / Board Type Code","execution_val / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Odd Lot Trading Volume","odd_lot_trading_vol","false","Small Counter","int","DD","Khối lượng giao dịch lô lẻ toàn thị trường trong ngày","SUM(securities_trade.execution_vol) WHERE securities_trade.market_id_code IN ('STO','STX','UPX') AND securities_trade.board_tp_code IN ('G4','T4','T6')","computed","Securities Trade","securities_trade","Execution Volume / Market Id Code / Board Type Code","execution_vol / market_id_code / board_tp_code"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Market Index Value","market_index_val","true","Currency Amount","decimal(23,2)","DD","[SỬA 2026-09-23] Giá trị chỉ số của Index Code tại bản ghi cuối cùng trong ngày giao dịch (K_TKNB_1014).","market_index_snapshot.market_index_val WHERE ROW_NUMBER() OVER (PARTITION BY market_index_snapshot.market_code, market_index_snapshot.trading_dt ORDER BY market_index_snapshot.index_time DESC) = 1 AND market_index_snapshot.market_code = index_constituent_dim.index_code AND market_index_snapshot.trading_dt = :etl_date","computed","Market Index Snapshot","market_index_snapshot","Market Index Value / Index Time","market_index_val / index_time"
"Fact Market Trading Snapshot","fct_market_trading_snpst","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn dữ liệu","securities_trade.src_stm_code WHERE securities_trade.src_stm_code IN ('ORDERTRADE_TRADE_BOOK_HOSE','ORDERTRADE_TRADE_BOOK_HNX')","direct","Securities Trade","securities_trade","Source System Code","src_stm_code"
