"kpi_id","tab","nhom","kpi_name","tinh_chat","source_module","mart_table","mart_column","column_role","logic","ghi_chu"
"K_PTTT_1","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Risk Index tổng hợp","Phái sinh","PTTT","Fact Risk Score Snapshot","Risk Index tổng hợp","SLICER","fct_rsk_scr_snpst.risk_index_tong_hop","Auto-match thấp — cần review"
"K_PTTT_1","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Risk Index tổng hợp","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_2","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Biến động giá","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_3","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Biến động giá Volatility 30 phiên (σ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_4","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Lợi suất ngày (x)","Cơ sở","PTTT","","","DERIVED","(P(t) − P(t−1)) / P(t−1)",""
"K_PTTT_5","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá đóng cửa P(t)","Cơ sở","PTTT","Fact Risk Score Snapshot","Giá đóng cửa P(t)","MEASURE","fct_rsk_scr_snpst.gia_ong_cua_p(t)",""
"K_PTTT_5","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá đóng cửa P(t)","Cơ sở","PTTT","Fact Risk Score Snapshot","Giá đóng cửa P(t)","MEASURE","fct_rsk_scr_snpst.gia_ong_cua_p(t)",""
"K_PTTT_7","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Lợi suất trung bình 30 phiên (μ)","Phái sinh","PTTT","","","DERIVED","Trung bình lợi suất ngày 30 phiên gần nhất",""
"K_PTTT_8","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Thanh khoản","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_9","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Độ lệch chuẩn ILLIQ (σ)","Phái sinh","PTTT","","","DERIVED","Độ lệch chuẩn chuỗi ILLIQ 30 phiên",""
"K_PTTT_10","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","ILLIQ trung bình 30 phiên (R̄)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_11","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","ILLIQ ngày t (Rₜ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_12","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá trị tuyệt đối lợi suất \","Cơ sở","PTTT","","","","","Trùng - xem K_PTTT_12"
"K_PTTT_5","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá đóng cửa P(t)","Cơ sở","PTTT","","","","","Trùng - xem K_PTTT_5"
"K_PTTT_5","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá đóng cửa P(t)","Cơ sở","PTTT","","","","","Trùng - xem K_PTTT_5"
"K_PTTT_13","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá trị giao dịch ngày t VOLDₜ","Cơ sở","PTTT","Fact Risk Score Snapshot","Giá trị giao dịch ngày t VOLDₜ","MEASURE","fct_rsk_scr_snpst.gia_tri_giao_dich",""
"K_PTTT_25","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Dư nợ Margin","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_9","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Độ lệch chuẩn ILLIQ (σ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_27","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Tỷ lệ Dư nợ Margin / Tổng vốn hóa thị trường tại ngày (x)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_28","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Tỷ lệ Dư nợ Margin / Tổng vốn hóa trung bình (μ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_14","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Tổng dư nợ margin MDₜ","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_29","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","MCAPₜ — Tổng vốn hóa thị trường ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_5","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Giá đóng cửa P(t)","Cơ sở","PTTT","Fact Risk Score Snapshot","Giá đóng cửa P(t)","MEASURE","fct_rsk_scr_snpst.gia_ong_cua_p(t)",""
"K_PTTT_30","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","KL CK lưu hành tại ngày","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_15","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Lãi suất","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_16","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Lãi suất tại ngày t","Cơ sở","PTTT","Fact Risk Score Snapshot","Lãi suất tại ngày t","MEASURE","fct_rsk_scr_snpst.lai_suat_tai_ngay",""
"K_PTTT_17","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Lãi suất trung bình N phiên (μ)","Phái sinh","PTTT","","","DERIVED","Trung bình lãi suất N phiên",""
"K_PTTT_9","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Độ lệch chuẩn ILLIQ (σ)","Phái sinh","PTTT","","","DERIVED","Độ lệch chuẩn chuỗi ILLIQ 30 phiên",""
"K_PTTT_19","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Dòng tiền ròng NĐTNN","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_9","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Độ lệch chuẩn ILLIQ (σ)","Phái sinh","PTTT","","","DERIVED","Độ lệch chuẩn chuỗi ILLIQ 30 phiên",""
"K_PTTT_21","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Dòng tiền ròng NĐTNN ngày t","Phái sinh","PTTT","","","DERIVED","GTGD mua − GTGD bán của NĐTNN",""
"K_PTTT_22","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","GTGD mua của NĐTNN ngày t","Cơ sở","PTTT","Fact Risk Score Snapshot","GTGD mua của NĐTNN ngày t","MEASURE","fct_rsk_scr_snpst.gtgd_mua_cua_ntnn",""
"K_PTTT_23","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","GTGD bán của NĐTNN ngày t","Cơ sở","PTTT","Fact Risk Score Snapshot","GTGD bán của NĐTNN ngày t","MEASURE","fct_rsk_scr_snpst.gtgd_ban_cua_ntnn",""
"K_PTTT_24","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Dòng tiền ròng NĐTNN trung bình phiên (μ)","Phái sinh","PTTT","","","DERIVED","Trung bình dòng tiền ròng NĐTNN N phiên",""
"K_PTTT_31","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Z-score Huy động vốn cổ phần","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_9","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Độ lệch chuẩn ILLIQ (σ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_33","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Huy động vốn cổ phần tại ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_34","Giám sát rủi ro","Nhóm 1 - Chỉ số rủi ro hệ thống","Huy động vốn cổ phần trung bình (μ)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_36","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Thanh khoản (β_Thanh_khoản)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Thanh khoản — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Biến động giá — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_37","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dư nợ Margin (β_Margin)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Dư nợ Margin — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Lãi suất — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_39","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dòng tiền ròng NĐTNN (β_NĐTNN)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Dòng tiền NĐTNN — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_40","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Huy động vốn cổ phần (β_HVCP)","Phái sinh","PTTT","","","DERIVED","Trọng số beta yếu tố Huy động vốn — ETL từ Atomic, lưu trên Fact",""
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_42","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Thanh khoản ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_42"
"K_PTTT_43","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Dư nợ Margin / Tổng vốn hóa ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_38"
"K_PTTT_39","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dòng tiền ròng NĐTNN (β_NĐTNN)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_39"
"K_PTTT_40","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Huy động vốn cổ phần (β_HVCP)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_40"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_38"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_38"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_37","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dư nợ Margin (β_Margin)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_43","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Dư nợ Margin / Tổng vốn hóa ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_43","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Dư nợ Margin / Tổng vốn hóa ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_43"
"K_PTTT_37","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dư nợ Margin (β_Margin)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_43","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Dư nợ Margin / Tổng vốn hóa ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_36","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Thanh khoản (β_Thanh_khoản)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_38"
"K_PTTT_38","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Lãi suất liên ngân hàng (β_Lãi_suất)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_38"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_39","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dòng tiền ròng NĐTNN (β_NĐTNN)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_39","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dòng tiền ròng NĐTNN (β_NĐTNN)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_39"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_41","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Giá trị hiện tại Biến động giá ngày t","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_41"
"K_PTTT_39","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Dòng tiền ròng NĐTNN (β_NĐTNN)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_39"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_40","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Huy động vốn cổ phần (β_HVCP)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_40","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Huy động vốn cổ phần (β_HVCP)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_40"
"K_PTTT_40","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Huy động vốn cổ phần (β_HVCP)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_40"
"K_PTTT_35","Giám sát rủi ro","Nhóm 2 - Phân tích đóng góp rủi ro","Tỷ trọng Biến động giá (β_Biến_động)","Phái sinh","PTTT","","","","","Trùng - xem K_PTTT_35"
"K_PTTT_44","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Lãi suất liên ngân hàng (ON) ngày trước (IRt-1)","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_44","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Lãi suất liên ngân hàng (ON) ngày trước (IRt-1)","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_44","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Lãi suất liên ngân hàng (ON) ngày trước (IRt-1)","Cơ sở","PTTT","Operational Macro Indicator","Lãi suất liên ngân hàng (ON) ngày trước (IRt-1)","MEASURE","opr_mta_macro_ind.lai_suat_lien_ngan",""
"K_PTTT_45","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","% thay đổi lãi suất liên ngân hàng","Phái sinh","PTTT","","","DERIVED","(IRₜ − IRt-1) / IRt-1 × 100",""
"K_PTTT_46","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Tỷ giá USD/VND tại ngày (FXₜ)","Cơ sở","PTTT","Operational Macro Indicator","Tỷ giá USD/VND tại ngày (FXₜ)","MEASURE","opr_mta_macro_ind.ty_gia_usd/vnd_tai",""
"K_PTTT_47","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Tỷ giá USD/VND ngày trước (FXt-1)","Cơ sở","PTTT","Operational Macro Indicator","Tỷ giá USD/VND ngày trước (FXt-1)","MEASURE","opr_mta_macro_ind.ty_gia_usd/vnd_ngay",""
"K_PTTT_48","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","% thay đổi tỷ giá USD/VND","Phái sinh","PTTT","","","DERIVED","(FXₜ − FXt-1) / FXt-1 × 100",""
"K_PTTT_49","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Chỉ số CPI (YoY) tại kỳ t","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_50","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","CPI cùng kỳ năm trước","Cơ sở","PTTT","Operational Macro Indicator","CPI cùng kỳ năm trước","MEASURE","opr_mta_macro_ind.cpi_cung_ky_nam",""
"K_PTTT_48","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","% thay đổi tỷ giá USD/VND","Phái sinh","PTTT","","","DERIVED","(FXₜ − FXt-1) / FXt-1 × 100",""
"K_PTTT_52","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","Tăng trưởng GDP","Phái sinh","PTTT","","","DERIVED","(GDP_kỳ − GDP_kỳ_trước) / GDP_kỳ_trước × 100",""
"K_PTTT_53","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","GDP kỳ hiện tại","Cơ sở","PTTT","Operational Macro Indicator","GDP kỳ hiện tại","MEASURE","opr_mta_macro_ind.gdp_ky_hien_tai",""
"K_PTTT_54","Sức khỏe thị trường & Vĩ mô","Nhóm 3 - Chỉ số vĩ mô – tiền tệ","GDP kỳ trước","Cơ sở","PTTT","Operational Macro Indicator","GDP kỳ trước","MEASURE","opr_mta_macro_ind.gdp_ky_truoc",""
"K_PTTT_55","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Thời gian (ngày thống kê)","Chiều","PTTT","Operational Market Health","Thời gian (ngày thống kê)","SLICER","opr_mta_mkt_hlth.thoi_gian_(ngay_thong",""
"K_PTTT_63","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số tâm lý giao dịch (Sentiment index)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_63","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số tâm lý giao dịch (Sentiment index)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_64","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Sentiment Score từng mã CK","Phái sinh","PTTT","","","DERIVED","",""
"K_PTTT_67","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Trọng số W1 (S_liquidity)","Cơ sở","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_65","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","S_liquidity (Điểm thanh khoản)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_56","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số độ căng margin (Margin tension)","Phái sinh","PTTT","","","DERIVED","Tổng dư nợ margin / Tổng hạn mức margin × 100",""
"K_PTTT_61","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Điểm VN-Index tại ngày t","Cơ sở","PTTT","Operational Market Health","Điểm VN-Index tại ngày t","MEASURE","opr_mta_mkt_hlth.iem_vn-index_tai_ngay",""
"K_PTTT_61","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Điểm VN-Index tại ngày t","Cơ sở","PTTT","Operational Market Health","Điểm VN-Index tại ngày t","MEASURE","opr_mta_mkt_hlth.iem_vn-index_tai_ngay",""
"K_PTTT_244","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chuẩn hóa thang điểm (0–100)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_61","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Điểm VN-Index tại ngày t","Cơ sở","PTTT","Operational Market Health","Điểm VN-Index tại ngày t","MEASURE","opr_mta_mkt_hlth.iem_vn-index_tai_ngay",""
"K_PTTT_55","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Thời gian (ngày thống kê)","Chiều","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_66","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","S_stability (Điểm ổn định)","Phái sinh","PTTT","","","","","Pending - chưa thiết kế nguồn"
"K_PTTT_56","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số độ căng margin (Margin tension)","Phái sinh","PTTT","","","DERIVED","Tổng dư nợ margin / Tổng hạn mức margin × 100",""
"K_PTTT_56","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số độ căng margin (Margin tension)","Phái sinh","PTTT","","","DERIVED","Tổng dư nợ margin / Tổng hạn mức margin × 100",""
"K_PTTT_56","Sức khỏe thị trường & Vĩ mô","Nhóm 4 - Biểu đồ chỉ số sức khỏe hệ thống","Chỉ số độ căng margin (Margin tension)","Phái sinh","PTTT","","","DERIVED","Tổng dư nợ margin / Tổng hạn mức margin × 100",""
