"datamart_entity","table_type","status","description","source_table","FKs"
"Calendar Date Dimension","dim","draft","Lịch ngày dùng chung toàn hệ thống — slicer năm/quý/tháng/ngày lễ cho mọi bảng Fact PTTT","cdr_dt",""
"Risk Factor Dimension","dim","draft","Danh mục 6 yếu tố rủi ro hệ thống — static lookup seed từ file cấu hình, không có Atomic entity tương ứng","static",""
"Sector Dimension","dim","draft","Danh mục nhóm ngành từ IDS — DISTINCT industry_category_level1 của các công ty niêm yết đang hoạt động","pblc_co / cv",""
"Classification Dimension","dim","draft","Danh mục 4 nhóm NĐT (INVESTOR_TYPE) — static seed hardcode, phân loại dựa trên buy/sell_frgn_ivsr_tp_code + buy/sell_ivsr_tp_code từ scr_trd","static",""
"Order Size Category Dimension","dim","draft","Danh mục 2 nhóm quy mô lệnh theo GTGD (≥1 tỷ / <1 tỷ) — static seed hardcode","static",""
"Fact Risk Score Snapshot","fact","draft","Lưu giá trị hiện tại, Z-score, trọng số beta và Risk Index tổng hợp theo từng yếu tố rủi ro mỗi ngày giao dịch","rsk_ind_val","Calendar Date Dimension.Snapshot Date Dimension Id | Risk Factor Dimension.Risk Factor Dimension Id"
"Fact Market Analysis Macro Trend","fact","draft","Lưu VN-Index bình quân và lãi suất liên ngân hàng bình quân theo tháng để phân tích tương quan time-series","mkt_indx_snpst / rsk_ind_val","Calendar Date Dimension.Month Date Dimension Id"
"Fact Market Analysis Sector Score","fact","draft","Lưu Sector Debt Score (Nợ/VCSH) theo nhóm ngành tại ngày tham chiếu — nền tảng mở rộng thêm Stress/Liquid Score khi Atomic sẵn sàng","pblc_co / pblc_co_fnc_rpt_val","Calendar Date Dimension.Reference Date Dimension Id | Sector Dimension.Sector Dimension Id"
"Fact Market Analysis Security Stress Component","fact","draft","Lưu các thành phần áp lực từng mã CK trong ngày: Price Drawdown, Volatility, Selling Pressure, Trading Value — nền tảng aggregate lên Sector Stress Score","scr_mtch_log / scr_tdg_snpst","Calendar Date Dimension.Calendar Date Dimension Id"
"Fact Market Analysis Liquidity Snapshot","fact","draft","Lưu GTGD phiên, MA50, KL khớp, số lệnh khớp và quy mô lệnh bình quân toàn thị trường theo ngày giao dịch","mkt_snpst","Calendar Date Dimension.Trading Date Dimension Id"
"Fact Market Analysis Investor Flow","fact","draft","Lưu GTGD mua, bán, dòng tiền ròng và tỷ trọng của 4 nhóm NĐT theo ngày giao dịch","scr_trd","Calendar Date Dimension.Trading Date Dimension Id | Classification Dimension.Investor Group Dimension Id"
"Fact Market Analysis Security Flow","fact","draft","Lưu GTGD mua, bán, dòng tiền ròng theo từng mã CK và nhóm NĐT theo ngày — nền tảng Top mua/bán ròng","scr_trd","Calendar Date Dimension.Trading Date Dimension Id | Classification Dimension.Investor Group Dimension Id"
"Fact Corporate Bond Daily Snapshot","fact","draft","Lưu tổng mệnh giá và GTGD TPDN toàn thị trường theo ngày giao dịch","corp_bond_tdg_snpst","Calendar Date Dimension.Trading Date Dimension Id"
"Fact Securities Company Safety Snapshot","fact","draft","Lưu tổng dư nợ margin, VCSH và tỷ lệ dư nợ/VCSH toàn thị trường CTCK theo ngày báo cáo","mbr_rpt_ind_val","Calendar Date Dimension.Trading Date Dimension Id"
"Fact Market Analysis Order Structure","fact","draft","Lưu GTGD, KL khớp và giá khớp bình quân theo nhóm quy mô lệnh (≥1 tỷ / <1 tỷ) trong ngày giao dịch","scr_trd","Calendar Date Dimension.Trading Date Dimension Id | Order Size Category Dimension.Order Size Category Dimension Id"
"Market Analysis Macro Indicator","operational","draft","Hiển thị giá trị hiện tại, ngày trước và % thay đổi của 4 chỉ tiêu vĩ mô (lãi suất, tỷ giá, CPI, GDP) tại ngày truy vấn — grain 1 dòng/chỉ tiêu","rsk_ind_val / rsk_ind",""
"Market Analysis Market Health","operational","draft","Hiển thị điểm số Margin tension và Systemic vol tại ngày truy vấn — UI tự tính màu từ ngưỡng — grain 1 dòng/chỉ số","mbr_rpt_ind_val / mkt_indx_snpst",""
"Market Analysis Macro Correlation","operational","draft","Lưu hệ số tương quan Pearson và nhãn diễn giải giữa 2 cặp (VN-Index vs Lãi suất, VN-Index vs DXY) tại ngày truy vấn","mkt_indx_snpst / rsk_ind_val",""
"Market Analysis Margin Stress","operational","draft","Hiển thị dư nợ margin, tỷ lệ bão hòa, Δ margin và trạng thái tại tháng truy vấn — grain 1 dòng/chỉ tiêu","mbr_rpt_ind_val / mkt_snpst",""
"Market Analysis Flow Correlation","operational","draft","Hiển thị hệ số tương quan Pearson và dòng tiền ròng giữa khối NĐTNN và Tự doanh tại ngày truy vấn","scr_trd",""
"Operational Issuer Credit Monitoring","operational","draft","Hiển thị D/E, ROE, Tổng nợ, VCSH của từng tổ chức phát hành trái phiếu tại kỳ báo cáo tài chính — grain 1 dòng/tổ chức/năm/quý","pblc_co / pblc_co_fnc_rpt_val",""
