gold_entity,gold_table,gold_attribute,gold_column,nullable,data_domain,data_type,key,description,source_entity,silver_table,source_attribute,silver_column
Calendar Date Dimension,cdr_dt_dim,Calendar Date Dimension Id,cdr_dt_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Date Key,dt_key,false,Small Counter,int,,Ngày dạng INT YYYYMMDD,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Full Date,full_dt,false,Date,date,,Ngày đầy đủ,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Year,yr,false,Small Counter,int,,Năm,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Quarter,qtr,false,Small Counter,int,,Quý (1–4),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Month,mo,false,Small Counter,int,,Tháng (1–12),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Day Of Month,day_of_mo,false,Small Counter,int,,Ngày trong tháng,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Day Of Week,day_of_wk,false,Small Counter,int,,Ngày trong tuần (1=CN),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Week Of Year,wk_of_yr,false,Small Counter,int,,Tuần trong năm,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Is Weekend,is_weekend,false,Boolean,boolean,,Cờ cuối tuần,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Is Holiday,is_hol,false,Boolean,boolean,,Cờ ngày lễ,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Securities Company Dimension Id,scr_co_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Securities Company Id,scr_co_id,false,Surrogate Key,string,BK,Silver surrogate Id của CTCK — SCMS.CTCK_THONG_TIN (PK Silver). ETL join key.,Securities Company,scr_co,Securities Company Id,scr_co_id
Securities Company Dimension,scr_co_dim,Securities Company Code,scr_co_code,true,Text,string,,Mã CTCK — SCMS.CTCK_THONG_TIN.MA_CONG_TY,Securities Company,scr_co,Securities Company Code,scr_co_code
Securities Company Dimension,scr_co_dim,Securities Company Name,scr_co_nm,true,Text,string,,Tên đầy đủ CTCK tiếng Việt,Securities Company,scr_co,Securities Company Name,scr_co_nm
Securities Company Dimension,scr_co_dim,Securities Company Short Name,scr_co_shrt_nm,true,Text,string,,Tên viết tắt CTCK,Securities Company,scr_co,Securities Company Short Name,scr_co_shrt_nm
Securities Company Dimension,scr_co_dim,Company Status Code,co_st_code,true,Classification Value,string,,Trạng thái CTCK (scheme: SCMS_COMPANY_STATUS),Securities Company,scr_co,Company Status Code,co_st_code
Securities Company Dimension,scr_co_dim,Is Listed Indicator,is_list_ind,true,Indicator,string,,Cờ niêm yết trên sàn chứng khoán,Securities Company,scr_co,Is Listed Indicator,is_list_ind
Securities Company Dimension,scr_co_dim,Stock Exchange Name,stk_exg_nm,true,Text,string,,Tên sàn niêm yết,Securities Company,scr_co,Stock Exchange Name,stk_exg_nm
Securities Company Dimension,scr_co_dim,Charter Capital Amount,charter_cptl_amt,true,Currency Amount,"decimal(23,2)",,Vốn điều lệ (đồng),Securities Company,scr_co,Charter Capital Amount,charter_cptl_amt
Securities Company Dimension,scr_co_dim,License Number,license_nbr,true,Text,string,,Số giấy phép thành lập và hoạt động,Securities Company,scr_co,Business License Number,bsn_lcs_nbr
Securities Company Dimension,scr_co_dim,License Date,license_dt,true,Date,date,,Ngày cấp giấy phép lần đầu,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Business Registration Number,bsn_rgst_nbr,true,Text,string,,Mã số doanh nghiệp,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Address,adr,true,Text,string,,Địa chỉ trụ sở chính,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Phone Number,ph_nbr,true,Text,string,,Số điện thoại,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Website,webst,true,Text,string,,Website,Securities Company,scr_co,Website,webst
Securities Company Dimension,scr_co_dim,Effective Date,eff_dt,true,Date,date,DD,Ngày hiệu lực SCD2,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Expiry Date,expiry_dt,true,Date,date,DD,Ngày hết hiệu lực SCD2 — 9999-12-31 = current,Generated,,ETL derived,
Securities Company Dimension,scr_co_dim,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Business Type Dimension Id,bsn_tp_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Business Type Id,bsn_tp_id,false,Surrogate Key,string,BK,Silver surrogate Id — ETL derived từ FIMS.SECCOMBUSINES. ETL join key.,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Business Type Code,bsn_tp_code,false,Classification Value,string,,Mã nghiệp vụ/dịch vụ (scheme: FIMS_BUSINESS_TYPE),Generated,,ETL derived,
