kpi_id,dashboard,kpi_name,kpi_description,requirement_group,kpi_category,source_module,mart_table,mart_column,column_role,logic,silver_entity,silver_attribute
K_NHNCK_1,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Tổng người hành nghề,Tổng số cá nhân có ít nhất 1 CCHN lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner License Certificate Document,Practitioner Id
K_NHNCK_1,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Tổng người hành nghề,Tổng số cá nhân có ít nhất 1 CCHN lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_1,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Tổng người hành nghề,Tổng số cá nhân có ít nhất 1 CCHN lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Calendar Date Dimension,Year,SLICER,Slicer: Năm,,Generated
K_NHNCK_1_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Tổng người hành nghề — YoY%,So sánh cùng kỳ K_NHNCK_1,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K1_year_N - K1_year_N-1) / K1_year_N-1 × 100,,
K_NHNCK_2,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Chứng chỉ cấp mới (YTD),Số CCHN được cấp mới trong năm hiện tại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_2,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Chứng chỉ cấp mới (YTD),Số CCHN được cấp mới trong năm hiện tại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Issued In Year Flag,FILTER,= TRUE,,ETL derived
K_NHNCK_2,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Chứng chỉ cấp mới (YTD),Số CCHN được cấp mới trong năm hiện tại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_2,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Chứng chỉ cấp mới (YTD),Số CCHN được cấp mới trong năm hiện tại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Calendar Date Dimension,Year,SLICER,Slicer: Năm,,Generated
K_NHNCK_2_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Chứng chỉ cấp mới — YoY%,So sánh cùng kỳ K_NHNCK_2,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K2_year_N - K2_year_N-1) / K2_year_N-1 × 100,,
K_NHNCK_2a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp mới,Số chứng chỉ cấp lần đầu,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_2a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp mới,Số chứng chỉ cấp lần đầu,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Issued In Year Flag,FILTER,= TRUE,,ETL derived
K_NHNCK_2a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp mới,Số chứng chỉ cấp lần đầu,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Is First Issuance Flag,FILTER,= TRUE,,ETL derived
K_NHNCK_2a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp mới,Số chứng chỉ cấp lần đầu,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_2b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp lại,Số chứng chỉ cấp lại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_2b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp lại,Số chứng chỉ cấp lại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Issued In Year Flag,FILTER,= TRUE,,ETL derived
K_NHNCK_2b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp lại,Số chứng chỉ cấp lại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Is First Issuance Flag,FILTER,= FALSE,,ETL derived
K_NHNCK_2b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cấp lại,Số chứng chỉ cấp lại,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_3,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Bị thu hồi,Tổng số CCHN bị thu hồi lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_3,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Bị thu hồi,Tổng số CCHN bị thu hồi lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Revoked In Year Flag,FILTER,= TRUE (O1: Stock hay Flow?),Securities Practitioner License Certificate Document,Certificate Status Code
K_NHNCK_3,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Bị thu hồi,Tổng số CCHN bị thu hồi lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_3_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Bị thu hồi — YoY%,So sánh cùng kỳ K_NHNCK_3,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K3_year_N - K3_year_N-1) / K3_year_N-1 × 100,,
K_NHNCK_3a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi trong 3 năm,Số CCHN bị thu hồi có thời hạn 3 năm (O2: Silver chưa phân biệt),Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT (O2),Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_3a,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi trong 3 năm,Số CCHN bị thu hồi có thời hạn 3 năm (O2: Silver chưa phân biệt),Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
