gold_entity,gold_attribute,data_type,key,description,source_entity,source_attribute
Calendar Date Dimension,Date Dimension Id,INT,PK,Surrogate key (YYYYMMDD),Generated,Generated
Calendar Date Dimension,Full Date,DATE,BK,Ngày đầy đủ,Generated,Generated
Calendar Date Dimension,Year,INT,,Năm,Generated,Generated
Calendar Date Dimension,Month,INT,,Tháng,Generated,Generated
Listed Security Dimension,Security Dimension Id,INT,PK,Surrogate key,Generated,Generated
Listed Security Dimension,Ticker Code,VARCHAR,BK,Mã CK (VNM / FPT / HPG…),TBD (SGDCK),TBD
Listed Security Dimension,Ticker Name,NVARCHAR,,Tên CK,TBD (SGDCK),TBD
Listed Security Dimension,Effective Date,DATE,,Ngày hiệu lực SCD2,,ETL derived
Listed Security Dimension,End Date,DATE,,9999-12-31 = hiện hành,,ETL derived
Foreign Investor Dimension,Investor Dimension Id,INT,PK,Surrogate key,Generated,Generated
Foreign Investor Dimension,Trading Code,VARCHAR,BK,Mã số giao dịch — định danh duy nhất NĐTNN (1 Mã GD = 1 NĐT),Foreign Investor,Trading Code
Foreign Investor Dimension,Investor Name,NVARCHAR,,Tên NĐT — phục vụ Top NĐT vào/rút ròng,Foreign Investor,Investor Name
Foreign Investor Dimension,Investor Type Code,VARCHAR,,Loại hình NĐT: INDIVIDUAL / FUND / OTHER_ORG. Thuộc tính bất biến — denormalize,Foreign Investor,Investor Type Code
Foreign Investor Dimension,Investor Type Name,NVARCHAR,,Cá nhân / Quỹ / Tổ chức khác quỹ (denormalize),Classification Value,FIMS_INVESTOR_TYPE
Foreign Investor Dimension,Registration Date,DATE,,Ngày đăng ký mã GD,Foreign Investor,Registration Date
Foreign Investor Dimension,Effective Date,DATE,,Ngày hiệu lực SCD2,,ETL derived
Foreign Investor Dimension,End Date,DATE,,9999-12-31 = hiện hành,,ETL derived
Industry Dimension,Industry Dimension Id,INT,PK,Surrogate key,Generated,Generated
Industry Dimension,Industry Code,VARCHAR,BK,Mã ngành theo phân loại IDS-GSĐC,TBD (IDS-GSĐC),TBD
Industry Dimension,Industry Name,NVARCHAR,,Tên ngành (Ngân hàng / Bất động sản / Công nghệ…),TBD (IDS-GSĐC),TBD
Industry Dimension,Effective Date,DATE,,Ngày hiệu lực SCD2,,ETL derived
