Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,Source System,,,Description,,,
dtm,sit_dtm,fct_fnd_mgt_co_snpst,Fact Snapshot,,,,Thống kê thị trường — grain 1 snapshot toàn TT × 1 tháng. COUNT db + AUM BC (PENDING O_FMS_1),,,

Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,,,
1,physical_table,,atm_mbr_prd_rpt,mbr_prd_rpt,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd')",,,,
2,physical_table,,dtm_cdr_dt_dim_hstr,cdr_dt_dim,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1",,,,
3,physical_table,,atm_fnd_mgt_co_hstr,fnd_mgt_co,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1",,,,
4,scalar_cte,,fnd_mgt_co,cte_co,COUNT(fnd_mgt_co_id) AS actv_co_cnt,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1 AND lcs_code = 'ACTIVE'",Scalar measure: actv_co_cnt,,,
5,physical_table,,atm_ivsm_fnd_hstr,ivsm_fnd,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1",,,,
6,scalar_cte,,ivsm_fnd,cte_fnd,COUNT(ivsm_fnd_id) AS ivsm_fnd_cnt,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1",Scalar measure: ivsm_fnd_cnt,,,
7,scalar_cte,,ivsm_fnd,cte_retmt,COUNT(ivsm_fnd_id) AS retmt_fnd_cnt,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1 AND fnd_tp_code = 'QUY_HUUTRI'",Scalar measure: retmt_fnd_cnt,,,
8,physical_table,,atm_frgn_fnd_mgt_ou_hstr,frgn_fnd_mgt_ou,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1",,,,
9,scalar_cte,,frgn_fnd_mgt_ou,cte_vpdd,COUNT(frgn_fnd_mgt_ou_id) AS frgn_ou_rep_ofc_cnt,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1 AND practice_st_code = 'ACTIVE' AND array_contains(bsn_tp_codes, 'VPDD')",Scalar measure: frgn_ou_rep_ofc_cnt,,,
10,scalar_cte,,frgn_fnd_mgt_ou,cte_brch,COUNT(frgn_fnd_mgt_ou_id) AS frgn_ou_brch_cnt,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND ds_rcrd_st = 1 AND practice_st_code = 'ACTIVE' AND array_contains(bsn_tp_codes, 'CHI_NHANH')",Scalar measure: frgn_ou_brch_cnt,,,
