Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,Source System,,,Description,,,
dtm,sit_dtm,cl_dim,SCD4A,,,,Danh mục phân loại — phục vụ 3 scheme trên 2 Fact: TT_SUBJECT_CATEGORY (6 giá trị tạm thời) / TT_PENALTY_SUBJECT_CATEGORY (4 giá trị) / TT_VIOLATION_TYPE (11 giá trị). Mọi query JOIN phải kèm WHERE Scheme='...',,,

Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,,,
1,physical_table,,atm_cv,cv,*,,,,,

Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,,,

Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Physical Target Column,Transformation,Data Type,Logical Target Column,,,Description,,,
1,cl_dim_id,"hash_id(cv.src_stm_code, cv.cl_code)",string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_VIOLATION_TYPE,,,
2,scm_code,cv.scm_code WHERE cv.scm_code = 'TT_VIOLATION_TYPE',string,,,,Mã scheme phân loại: TT_VIOLATION_TYPE,,,
3,cl_code,cv.cl_code WHERE cv.scm_code = 'TT_VIOLATION_TYPE',string,,,,Mã giá trị trong scheme TT_VIOLATION_TYPE,,,
4,cl_nm,cv.cl_nm WHERE cv.scm_code = 'TT_VIOLATION_TYPE',string,,,,Tên hiển thị tiếng Việt — scheme TT_VIOLATION_TYPE,,,
5,src_stm_code,cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã hệ thống nguồn — scheme TT_VIOLATION_TYPE,,,
6,cl_dim_id,"hash_id(cv.src_stm_code, cv.cl_code)",string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_CASE_STATUS,,,
7,scm_code,cv.scm_code WHERE cv.scm_code = 'TT_CASE_STATUS',string,,,,Mã scheme phân loại: TT_CASE_STATUS,,,
8,cl_code,cv.cl_code WHERE cv.scm_code = 'TT_CASE_STATUS',string,,,,Mã giá trị trong scheme TT_CASE_STATUS,,,
9,cl_nm,cv.cl_nm WHERE cv.scm_code = 'TT_CASE_STATUS',string,,,,Tên hiển thị tiếng Việt — scheme TT_CASE_STATUS,,,
10,src_stm_code,cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã hệ thống nguồn — scheme TT_CASE_STATUS,,,
11,cl_dim_id,"hash_id(cv.src_stm_code, cv.cl_code)",string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PLAN_TYPE,,,
12,scm_code,cv.scm_code WHERE cv.scm_code = 'TT_PLAN_TYPE',string,,,,Mã scheme phân loại: TT_PLAN_TYPE,,,
13,cl_code,cv.cl_code WHERE cv.scm_code = 'TT_PLAN_TYPE',string,,,,Mã giá trị trong scheme TT_PLAN_TYPE,,,
14,cl_nm,cv.cl_nm WHERE cv.scm_code = 'TT_PLAN_TYPE',string,,,,Tên hiển thị tiếng Việt — scheme TT_PLAN_TYPE,,,
15,src_stm_code,cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã hệ thống nguồn — scheme TT_PLAN_TYPE,,,
16,cl_dim_id,"hash_id(cv.src_stm_code, cv.cl_code)",string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PETITION_TYPE,,,
17,scm_code,cv.scm_code WHERE cv.scm_code = 'TT_PETITION_TYPE',string,,,,Mã scheme phân loại: TT_PETITION_TYPE,,,
18,cl_code,cv.cl_code WHERE cv.scm_code = 'TT_PETITION_TYPE',string,,,,Mã giá trị trong scheme TT_PETITION_TYPE,,,
19,cl_nm,cv.cl_nm WHERE cv.scm_code = 'TT_PETITION_TYPE',string,,,,Tên hiển thị tiếng Việt — scheme TT_PETITION_TYPE,,,
20,src_stm_code,cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã hệ thống nguồn — scheme TT_PETITION_TYPE,,,
21,cl_dim_id,"hash_id(cv.src_stm_code, cv.cl_code)",string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PETITION_STATUS,,,
22,scm_code,cv.scm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã scheme phân loại: TT_PETITION_STATUS,,,
23,cl_code,cv.cl_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã giá trị trong scheme TT_PETITION_STATUS,,,
24,cl_nm,cv.cl_nm WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Tên hiển thị tiếng Việt — scheme TT_PETITION_STATUS,,,
25,src_stm_code,cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS',string,,,,Mã hệ thống nguồn — scheme TT_PETITION_STATUS,,,
26,cl_dim_id,NULL  -- PENDING,string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_SUBJECT_CATEGORY,,,
27,scm_code,NULL  -- PENDING,string,,,,Mã scheme phân loại: TT_SUBJECT_CATEGORY — PENDING (O_TT_4),,,
28,cl_code,NULL  -- PENDING,string,,,,Mã giá trị trong scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4),,,
29,cl_nm,NULL  -- PENDING,string,,,,Tên hiển thị tiếng Việt — scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4),,,
30,src_stm_code,NULL  -- PENDING,string,,,,Mã hệ thống nguồn — scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4),,,
31,cl_dim_id,NULL  -- PENDING,string,,,,Surrogate key danh mục — unique per (Scheme + Code). Scheme: TT_PENALTY_SUBJECT_CATEGORY,,,
32,scm_code,NULL  -- PENDING,string,,,,Mã scheme phân loại: TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9),,,
33,cl_code,NULL  -- PENDING,string,,,,Mã giá trị trong scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9),,,
34,cl_nm,NULL  -- PENDING,string,,,,Tên hiển thị tiếng Việt — scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9),,,
35,src_stm_code,NULL  -- PENDING,string,,,,Mã hệ thống nguồn — scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9),,,

Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,,,
