Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,Source System,,,Description,,,
dtm,sit_dtm,cpln_petition_list,SCD4A,ThanhTra_DT_DON_THU,,,Đơn thư khiếu nại tố cáo — latest state per đơn (1 row per DT_DON_THU). Phục vụ cả KPI aggregate (Nhóm 16-18) và danh sách chi tiết (Nhóm 19),,,

Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,,,
1,physical_table,,atm_cpln_petition,cpln_petition,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND src_stm_code = 'ThanhTra_DT_DON_THU'",,,,

Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,,,

Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Physical Target Column,Transformation,Data Type,Logical Target Column,,,Description,,,
1,cpln_petition_code,cpln_petition.cpln_petition_code,string,,,,PK bảng tác nghiệp — PK nguồn DT_DON_THU.ID. Driving table: cpln_petition. ThanhTra.DT_DON_THU.ID,,,
2,petition_tp_code,cpln_petition.petition_tp_code,string,,,,Loại đơn — ThanhTra.DT_DON_THU.LOAI_DON. scheme TT_PETITION_TYPE. ETL gộp PHAN_ANH+KIEN_NGHI → PHAN_ANH_KIEN_NGHI,,,
3,complainant_nm,cpln_petition.complainant_nm,string,,,,Tên tổ chức/cá nhân gửi đơn (snapshot) — ThanhTra.DT_DON_THU.TEN_TO_CHUC_CA_NHAN,,,
4,petition_st_code,cpln_petition.petition_st_code,string,,,,Trạng thái đơn: MOI/DANG_XU_LY/HOAN_THANH/DONG — ThanhTra.DT_DON_THU.TRANG_THAI. scheme TT_PETITION_STATUS,,,
5,submission_dt,cpln_petition.subm_dt,date,,,,Ngày tiếp nhận đơn — ThanhTra.DT_DON_THU.NGAY_TIEP_NHAN,,,
6,submission_yr,YEAR(cpln_petition.subm_dt),int,,,,Năm tiếp nhận đơn — ETL: YEAR(NGAY_TIEP_NHAN). Dùng index filter thay YEAR() function,,,
7,src_stm_code,cpln_petition.src_stm_code,string,,,,Mã hệ thống nguồn — filter nguồn chính thức ThanhTra_DT_DON_THU. Driving table: cpln_petition.,,,

Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,,,
