Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,Source System,,,Description,,,
dtm,sit_dtm,inspection_case_list,SCD4A,ThanhTra_TT_HO_SO,,,Hồ sơ TT/KT — latest state per hồ sơ (1 row per TT_HO_SO). Phục vụ tra cứu danh sách Nhóm 5 (TT) và Nhóm 10 (KT),,,

Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,,,
1,physical_table,,atm_insp_case,insp_case,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND src_stm_code = 'ThanhTra_TT_HO_SO'",,,,
2,physical_table,,atm_insp_dcsn,insp_dcsn_1,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd')",,,,

Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,,,
1,insp_case,INNER JOIN,insp_dcsn_1,insp_dcsn_1.insp_dcsn_id = insp_case.insp_dcsn_id,,,,,,

Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Physical Target Column,Transformation,Data Type,Logical Target Column,,,Description,,,
1,inspection_case_code,insp_case.insp_case_code,string,,,,PK bảng tác nghiệp — PK nguồn TT_HO_SO.ID. Driving table: insp_case. ThanhTra.TT_HO_SO.ID,,,
2,case_nbr,insp_case.case_nbr,string,,,,Mã hồ sơ nghiệp vụ hiển thị — ThanhTra.TT_HO_SO.MA_HO_SO,,,
3,dspl_nm,CASE WHEN insp_case.sbj_tp_code = 'CA_NHAN' THEN insp_case.sbj_full_nm ELSE insp_case.sbj_org_nm END,string,,,,"Tên hiển thị — ETL: COALESCE(TT_HO_SO.TEN_DOI_TUONG, TT_HO_SO.HO_TEN). TEN_DOI_TUONG cho tổ chức; HO_TEN cho cá nhân",,,
4,sbj_cgy_code,NULL  -- PENDING,string,,,,Phân loại đối tượng — ETL-derived: resolve polymorphic DOI_TUONG_REF_ID → DM_CONG_TY_CK/QLQ/DC/DOI_TUONG_KHAC → derive code. scheme TT_SUBJECT_CATEGORY — xem O_TT_4,,,
5,inspection_tp_code,insp_case.insp_tp_code,string,,,,Loại hình THANH_TRA / KIEM_TRA — ThanhTra.TT_HO_SO.LOAI_HINH,,,
6,inspection_form_tp_code,CASE WHEN insp_dcsn_1.insp_anul_pln_id IS NULL THEN 'DOT_XUAT' ELSE 'DINH_KY' END,string,,,,Loại hình đợt thanh tra: DINH_KY / DOT_XUAT — ETL-derived: Inspection Decision.Inspection Annual Plan Id IS NULL → DOT_XUAT; NOT NULL → DINH_KY,,,
7,case_st_code,insp_case.case_st_code,string,,,,Trạng thái hồ sơ — ThanhTra.TT_HO_SO.TRANG_THAI_ID. scheme TT_CASE_STATUS,,,
8,rcvd_dt,insp_case.rcvd_dt,date,,,,Ngày nhận hồ sơ — ThanhTra.TT_HO_SO.NGAY_NHAN_HO_SO,,,
9,rcvd_yr,YEAR(insp_case.rcvd_dt),int,,,,Năm nhận hồ sơ — ETL: YEAR(NGAY_NHAN_HO_SO). Dùng index filter thay YEAR() function,,,
10,src_stm_code,insp_case.src_stm_code,string,,,,Mã hệ thống nguồn — filter nguồn chính thức ThanhTra_TT_HO_SO. Driving table: insp_case.,,,

Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,,,
