Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,Source System,,,Description,,,
dtm,sit_dtm,pny_dcsn_list,SCD4A,ThanhTra_GS_VAN_BAN_XU_LY,,,Quyết định xử phạt — latest state per QĐ (1 row per GS_VAN_BAN_XU_LY). Phục vụ tra cứu danh sách Nhóm 15 (XP),,,

Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,,,
1,physical_table,,atm_surveil_nfrc_dcsn,surveil_nfrc_dcsn,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd') AND src_stm_code = 'ThanhTra_GS_VAN_BAN_XU_LY'",,,,
2,physical_table,,atm_surveil_nfrc_case,surveil_nfrc_case_1,*,"ds_snpst_dt = to_date(""etl_date"", 'yyyy-MM-dd')",,,,

Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,,,
1,surveil_nfrc_dcsn,INNER JOIN,surveil_nfrc_case_1,surveil_nfrc_case_1.surveil_nfrc_case_id = surveil_nfrc_dcsn.surveil_nfrc_case_id,,,,,,

Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Physical Target Column,Transformation,Data Type,Logical Target Column,,,Description,,,
1,pny_dcsn_code,surveil_nfrc_dcsn.surveil_nfrc_dcsn_code,string,,,,PK bảng tác nghiệp — PK nguồn GS_VAN_BAN_XU_LY.ID. Driving table: surveil_nfrc_dcsn. ThanhTra.GS_VAN_BAN_XU_LY.ID,,,
2,pny_dcsn_nbr,surveil_nfrc_dcsn.pny_dcsn_nbr,string,,,,Số quyết định xử phạt / số công văn nhắc nhở — ThanhTra.GS_VAN_BAN_XU_LY.SO_QD_XU_PHAT,,,
3,surveillance_case_code,surveil_nfrc_case_1.case_nbr,string,,,,Mã hồ sơ giám sát — ThanhTra.GS_HO_SO.MA_HO_SO,,,
4,sbj_nm,surveil_nfrc_case_1.sbj_nm,string,,,,Tên đối tượng vi phạm (denormalized) — ThanhTra.GS_HO_SO.TEN_DOI_TUONG,,,
5,pny_sbj_cgy_code,NULL  -- PENDING,string,,,,"Phân loại đối tượng bị xử phạt — ETL-derived từ GS_HO_SO, field nguồn chưa xác định. scheme TT_PENALTY_SUBJECT_CATEGORY — xem O_TT_9",,,
6,vln_tp_code,NULL  -- PENDING,string,,,,Loại hành vi vi phạm — scheme TT_VIOLATION_TYPE. field Silver nguồn chưa xác định — xem O_TT_8,,,
7,dcsn_st_code,surveil_nfrc_dcsn.dcsn_st_code,string,,,,Trạng thái quyết định — ThanhTra.GS_VAN_BAN_XU_LY.TRANG_THAI. scheme TT_CASE_STATUS,,,
8,vln_rpt_dt,surveil_nfrc_dcsn.vln_rpt_dt,date,,,,Ngày ký biên bản vi phạm hành chính — ThanhTra.GS_VAN_BAN_XU_LY.NGAY_BIEN_BAN,,,
9,vln_rpt_yr,YEAR(surveil_nfrc_dcsn.vln_rpt_dt),int,,,,Năm biên bản vi phạm — ETL: YEAR(NGAY_BIEN_BAN). Dùng index filter,,,
10,tot_pny_amt,surveil_nfrc_dcsn.tot_pny_amt,"decimal(23,2)",,,,Tổng tiền phạt (VNĐ) — ThanhTra.GS_VAN_BAN_XU_LY.TONG_SO_TIEN_PHAT,,,
11,src_stm_code,surveil_nfrc_dcsn.src_stm_code,string,,,,Mã hệ thống nguồn — filter nguồn chính thức ThanhTra_GS_VAN_BAN_XU_LY. Driving table: surveil_nfrc_dcsn.,,,

Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,,,
