source_system,table_name,column_name,source_system.table_name,data_type,description,pk/fk
FMS,AGENCIES,Id,FMS.AGENCIES,,Mã ID đại lý quỹ đầu tư (PK),PK
FMS,AGENCIES,Name,FMS.AGENCIES,,Tên đại lý,
FMS,AGENCIES,ShortName,FMS.AGENCIES,,Tên viết tắt,
FMS,AGENCIES,AgencyTypeId,FMS.AGENCIES,,Mã ID loại đại lý. FK → AGENCYTYPE.Id,FK
FMS,AGENCIES,Address,FMS.AGENCIES,,Địa chỉ,
FMS,AGENCIES,Status,FMS.AGENCIES,,Mã ID trạng thái. FK → STATUS.Id,FK
FMS,AGENCIES,Deleted,FMS.AGENCIES,,Trạng thái bản ghi,
FMS,AGENCIES,CreatedBy,FMS.AGENCIES,,Người tạo,
FMS,AGENCIES,DateCreated,FMS.AGENCIES,,Ngày tạo,
FMS,AGENCIES,DateModified,FMS.AGENCIES,,Ngày sửa,
FMS,AGENCIES,ModifyBy,FMS.AGENCIES,,Người sửa,
FMS,AGENCIESBRA,Id,FMS.AGENCIESBRA,,Mã ID CN/PGD đại lý quỹ đầu tư (PK),PK
FMS,AGENCIESBRA,AgnId,FMS.AGENCIESBRA,,Mã ID đại lý. FK → AGENCIES.Id,FK
FMS,AGENCIESBRA,Name,FMS.AGENCIESBRA,,Tên CN/PGD đại lý,
FMS,AGENCIESBRA,Address,FMS.AGENCIESBRA,,Địa chỉ CN/PGD,
FMS,AGENCIESBRA,Status,FMS.AGENCIESBRA,,Trạng thái,
FMS,AGENCIESBRA,Deleted,FMS.AGENCIESBRA,,Trạng thái bản ghi,
FMS,AGENCIESBRA,DateCreated,FMS.AGENCIESBRA,,Ngày tạo,
FMS,AGENCIESBRA,DateModified,FMS.AGENCIESBRA,,Ngày sửa,
FMS,AGENCYTYPE,Id,FMS.AGENCYTYPE,,Mã ID loại đại lý (PK),PK
FMS,AGENCYTYPE,Name,FMS.AGENCYTYPE,,Tên loại đại lý,
FMS,AGENCYTYPE,IsActive,FMS.AGENCYTYPE,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,AGENCYTYPE,IsDeleted,FMS.AGENCYTYPE,,Trạng thái bản ghi,
FMS,AGENCYTYPE,DateCreated,FMS.AGENCYTYPE,,Ngày tạo,
FMS,AGENCYTYPE,DateModified,FMS.AGENCYTYPE,,Ngày sửa,
FMS,AGENFUNDS,AgnId,FMS.AGENFUNDS,,Mã ID đại lý. FK → AGENCIES.Id,
FMS,AGENFUNDS,FndId,FMS.AGENFUNDS,,Mã ID quỹ đầu tư. FK → FUNDS.Id,
FMS,BANKMONI,Id,FMS.BANKMONI,,Mã ID ngân hàng LKGS. Mã hệ thống tự sinh (PK),PK
FMS,BANKMONI,Name,FMS.BANKMONI,,Tên ngân hàng LKGS,
FMS,BANKMONI,ShortName,FMS.BANKMONI,,Tên viết tắt,
FMS,BANKMONI,Address,FMS.BANKMONI,,Địa chỉ,
FMS,BANKMONI,Telephone,FMS.BANKMONI,,Điện thoại,
FMS,BANKMONI,Email,FMS.BANKMONI,,Email,
FMS,BANKMONI,Status,FMS.BANKMONI,,Mã ID trạng thái. FK → STATUS.Id,FK
FMS,BANKMONI,Deleted,FMS.BANKMONI,,Trạng thái bản ghi,
FMS,BANKMONI,IsDataMigration,FMS.BANKMONI,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,BANKMONI,CreatedBy,FMS.BANKMONI,,Người tạo,
FMS,BANKMONI,DateCreated,FMS.BANKMONI,,Ngày tạo,
FMS,BANKMONI,DateModified,FMS.BANKMONI,,Ngày sửa,
FMS,BANKMONI,ModifyBy,FMS.BANKMONI,,Người sửa,
FMS,BRANCHES,Id,FMS.BRANCHES,,Mã ID CN/VPĐD công ty QLQ trong nước (PK),PK
FMS,BRANCHES,SecId,FMS.BRANCHES,,Mã ID công ty QLQ. FK → SECURITIES.Id,FK
FMS,BRANCHES,Name,FMS.BRANCHES,,Tên chi nhánh/VPĐD,
FMS,BRANCHES,Address,FMS.BRANCHES,,Địa chỉ,
FMS,BRANCHES,Telephone,FMS.BRANCHES,,Điện thoại,
FMS,BRANCHES,Fax,FMS.BRANCHES,,Số Fax,
FMS,BRANCHES,BrType,FMS.BRANCHES,,1 = CN công ty QLQ trong nước; 4 = VPĐD QLQ trong nước,
FMS,BRANCHES,BrIdowner,FMS.BRANCHES,,Chi nhánh/VPĐD cha/con,
FMS,BRANCHES,Decision,FMS.BRANCHES,,Giấy phép thành lập,
