source_system,table_name,source_system.table_name,technical_table_type,filter,description
DCST,CAU_HINH_GOI_TIN,DCST.CAU_HINH_GOI_TIN,,,Lưu các thông tin về cấu hình gói tin trao đổi giữa UBCKNN và Cục Thuế
DCST,CHUCNANG,DCST.CHUCNANG,,,Lưu các thông tin danh sách các menu hệ thống
DCST,DM_CHUCVU,DCST.DM_CHUCVU,,,Lưu các thông tin về danh mục chức vụ
DCST,DM_DON_VI,DCST.DM_DON_VI,,,Lưu các thông tin về danh mục đơn vị
DCST,HT_THAM_SO,DCST.HT_THAM_SO,,,Lưu các thông tin về tham số hệ thống
DCST,NGUOIDUNG,DCST.NGUOIDUNG,,,Lưu các thông tin về người dùng hệ thống
DCST,NGUOIDUNG_NHOMNGUOIDUNG,DCST.NGUOIDUNG_NHOMNGUOIDUNG,,,Bảng mapping giữa người dùng và nhóm người dùng
DCST,NHAT_KY_HE_THONG,DCST.NHAT_KY_HE_THONG,,,"Lưu các thông tin về nhật ký hệ thống, các thao tác của người dùng trên hệ thống"
DCST,NHOMNGUOIDUNG,DCST.NHOMNGUOIDUNG,,,Lưu các thông tin về nhóm người dùng trên hệ thống
DCST,NHOMNGUOIDUNG_CHUCNANG,DCST.NHOMNGUOIDUNG_CHUCNANG,,,Bảng mapping giữa nhóm người dùng và chức năng hệ thống
DCST,THIET_LAP_LICH,DCST.THIET_LAP_LICH,,,Bảng lưu cấu hình lịch truyền/ nhận dữ liệu giữa UBCKNN và Cục Thuế
DCST,DB_LOG,DCST.DB_LOG,,,Bảng lưu log truy vẫn trên database
DCST,CONG_TY_KIEM_TOAN,DCST.CONG_TY_KIEM_TOAN,,,Lưu các thông tin về công ty kiểm toán
DCST,DN_RUI_RO_CAO,DCST.DN_RUI_RO_CAO,,,Lưu các thông tin về Doanh nghiệp rủi ro cao được lấy về từ Cục Thuế
DCST,GOI_TIN,DCST.GOI_TIN,,,Lưu các thông tin về dữ liệu gói tin truyền nhận giữa UBCKNN và Cục Thuế
DCST,KIEM_TOAN_VIEN,DCST.KIEM_TOAN_VIEN,,,Lưu các thông tin về Kiểm toán viên
DCST,THONG_TIN_CONG_TY,DCST.THONG_TIN_CONG_TY,,,"Bảng lưu thông tin công ty bao gồm thông tin công ty đại chúng, công ty chứng khoán, công ty quản lý quỹ"
DCST,THONG_TIN_DK_THUE,DCST.THONG_TIN_DK_THUE,,,Bảng lưu thông tin đăng ký thuế được lấy từ Cục Thuế
DCST,UBCK_XU_PHAT,DCST.UBCK_XU_PHAT,,,Bảng lưu các thông tin về xử phạt tại UBCKNN
DCST,TCT_BAO_CAO,DCST.TCT_BAO_CAO,,,Bảng lưu các báo cáo tài chỉnh lấy từ Cục Thuế
DCST,TCT_BAO_CAO_CHI_TIET,DCST.TCT_BAO_CAO_CHI_TIET,,,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ Cục Thuế
DCST,TCT_TT_CUONG_CHE_NO,DCST.TCT_TT_CUONG_CHE_NO,,,Bảng lưu các thông tin cưỡng chế nợ lấy từ Cục Thuế
DCST,TT_XLY_VI_PHAM,DCST.TT_XLY_VI_PHAM,,,Bảng lưu các thông tin xử lý vi phạm pháp luật về thuế
DCST,UBCK_BAO_CAO,DCST.UBCK_BAO_CAO,,,Bảng lưu các báo cáo tài chính lấy từ các hệ thống của UBCKNN
DCST,UBCK_BAO_CAO_CHI_TIET,DCST.UBCK_BAO_CAO_CHI_TIET,,,Bảng lưu các thông tin chi tiết của báo cáo tài chỉnh lấy từ các hệ thống tại UBCKNN
DCST,DANH_MUC,DCST.DANH_MUC,,,Bảng lưu các thông tin cấu hình danh mục
DCST,NHOM_DANH_MUC,DCST.NHOM_DANH_MUC,,,Bảng lưu các thông tin cấu hình nhóm danh mục
DCST,TCT_TTCCN_HOA_DON,DCST.TCT_TTCCN_HOA_DON,,,Bảng lưu các thông tin cưỡng chế nợ thông qua hóa đơn
DCST,HOA_DON_CHI_TIET,DCST.HOA_DON_CHI_TIET,,,Bảng lưu các thông tin cấu hình hóa đơn
DCST,TTKDT_NGUOI_DAI_DIEN,DCST.TTKDT_NGUOI_DAI_DIEN,,,Bảng lưu các thông tin người đại diện của tổ chức/ doanh nghiệp nộp thuế
FIMS,USERS,FIMS.USERS,,,lưu danh sách người dùng trên hệ thống
FIMS,USERSMENUS,FIMS.USERSMENUS,,,lưu danh sách quyền được phân cho người dùng
FIMS,USERRPTO,FIMS.USERRPTO,,,lưu danh sách phân quyền sử dụng báo cáo đầu ra
FIMS,REFRESHTOKEN,FIMS.REFRESHTOKEN,,,lưu danh sách các phiên làm việc của người dùng
FIMS,GROUPS,FIMS.GROUPS,,,Lưu danh sách nhóm người dùng
FIMS,GROUPUSERS,FIMS.GROUPUSERS,,,lưu danh sách người dùng được phân vào nhóm người
FIMS,GROUPROLES,FIMS.GROUPROLES,,,lưu danh sách các quyền được phân cho nhóm người
FIMS,ROLES,FIMS.ROLES,,,lưu danh sách nhóm quyền
FIMS,MENUS,FIMS.MENUS,,,Lưu danh sách các quyền của hệ thống
FIMS,CERTFCATE,FIMS.CERTFCATE,,,lưu danh sách chứng thư số
FIMS,ERRORLOG,FIMS.ERRORLOG,,,Lưu lịch sử lỗi hệ thống
FIMS,USERSESSIONS,FIMS.USERSESSIONS,,,Lưu danh sách theo dõi tài khoản đang truy cập
FIMS,RPTTEMP,FIMS.RPTTEMP,,,lưu danh sách biểu mẫu báo cáo đầu vào.
FIMS,SHEET,FIMS.SHEET,,,lưu danh sách các sheet trong biểu mẫu báo cáo đầu vào
FIMS,RPTPERIOD,FIMS.RPTPERIOD,,,lưu danh sách kỳ của báo cáo đầu vào.
FIMS,RPTPDSHT,FIMS.RPTPDSHT,,,bảng trung gian giữa bảng SHEET và bảng RPTPERIOD
FIMS,RPTHTORY,FIMS.RPTHTORY,,,lưu lịch sử thay đổi biểu mẫu báo cáo đầu vào.
FIMS,RPTTPOUT,FIMS.RPTTPOUT,,,lưu danh sách biểu mẫu báo cáo đầu ra
FIMS,SHEETOUT,FIMS.SHEETOUT,,,lưu danh sách sheet của báo cáo đầu ra.
FIMS,TPOUTHTORY,FIMS.TPOUTHTORY,,,lưu danh sách lịch sử thay đổi biểu mẫu báo cáo đầu
FIMS,RPTOUTMANAGEMENT,FIMS.RPTOUTMANAGEMENT,,,Lưu danh sách cấu hình gen file thống kê tự
FIMS,RPTOUTFILESAVE,FIMS.RPTOUTFILESAVE,,,Lưu danh sách file thống kê đã được gen tự động
FIMS,LOCATION,FIMS.LOCATION,,,lưu danh sách tỉnh/ thành phố
FIMS,NATIONAL,FIMS.NATIONAL,,,lưu danh sách quốc tịch/ quốc gia
FIMS,STATUS,FIMS.STATUS,,,lưu danh sách danh mục tình trạng hoạt động
