source_system,staging_table,ods_table,column_name,data_type,description,pk/fk
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,id,,,PK
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,ma_tham_so,,Mã tham số,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,gia_tri,,Giá trị,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,stt,,Số thứ tự,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,trang_thai,,Trạng thái,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,kieu_du_lieu,,Kiểu dữ liệu,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,mo_ta,,Mô tả,
DCST,stg_dcst_ht_tham_so,ods_dcst_ht_tham_so,ngay_cap_nhat,,Ngày cập nhật,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,id,,,PK
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,ten_dang_nhap,,Tên đăng nhập,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,mo_ta,,Mô tả,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,hanh_dong,,Hành động,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,ngay_tao,,Ngày tạo,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,ipclient,,IP Client,
DCST,stg_dcst_nhat_ky_he_thong,ods_dcst_nhat_ky_he_thong,chuc_nang,,Chức năng,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,id,,,PK
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,loai,,Loại: 1. Truyền đi; 2. Nhận về,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,chuc_nang_id,,ID chức năng,FK
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,dinh_ky,,"Định kỳ:
0. Hàng ngày; 1. Hàng tháng; 2. Hàng năm; 3. Khi có yêu cầu; 4 Quý, 5: Nửa năm.",
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,ngay_bat_dau,,Ngày tiến hành truyền/ nhận dữ liệu,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,gio_bat_dau,,Giờ bắt đầu truyền/ nhận dữ liệu,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,phut_bat_dau,,Phút bắt đầu truyền/ nhận dữ liệu,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,trang_thai,,Trạng thái: 1. Sử dụng; 2. Ngừng sử dụng,
DCST,stg_dcst_thiet_lap_lich,ods_dcst_thiet_lap_lich,dm_don_vi_id,,Danh mục đơn vị,FK
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,id,,,PK
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,so_qd_gd,,Số quyết định chấp thuận,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,ngay_qd,,Ngày quyết định,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,ten,,Tên công ty,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,dia_chi,,Địa chỉ trụ sở chính,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,sdt,,Số điện thoại,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,fax,,Fax,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,nam_ct,,Năm chấp thuận,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,so_ktv,,Số kiểm toán viên được chấp thuận,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,mst,,Mã số thuế,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,goi_tin_id,,ID gói tin,FK
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,dkkd,,Đăng ký kinh doanh,
DCST,stg_dcst_cong_ty_kiem_toan,ods_dcst_cong_ty_kiem_toan,guid,,,
DCST,stg_dcst_dn_rui_ro_cao,ods_dcst_dn_rui_ro_cao,id,,,PK
DCST,stg_dcst_dn_rui_ro_cao,ods_dcst_dn_rui_ro_cao,ma_so_doanh_nghiep,,Mã số doanh nghiệp,
