source_system,table_name,staging_table,column_name,data_type,description,pk/fk
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,ID,,,PK
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,MA_THAM_SO,,Mã tham số,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,GIA_TRI,,Giá trị,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,STT,,Số thứ tự,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,TRANG_THAI,,Trạng thái,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,KIEU_DU_LIEU,,Kiểu dữ liệu,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,MO_TA,,Mô tả,
DCST,HT_THAM_SO,stg_dcst_ht_tham_so,NGAY_CAP_NHAT,,Ngày cập nhật,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,ID,,,PK
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,TEN_DANG_NHAP,,Tên đăng nhập,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,MO_TA,,Mô tả,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,HANH_DONG,,Hành động,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,NGAY_TAO,,Ngày tạo,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,IPCLIENT,,IP Client,
DCST,NHAT_KY_HE_THONG,stg_dcst_nhat_ky_he_thong,CHUC_NANG,,Chức năng,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,ID,,,PK
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,LOAI,,Loại: 1. Truyền đi; 2. Nhận về,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,CHUC_NANG_ID,,ID chức năng,FK
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,DINH_KY,,"Định kỳ:
0. Hàng ngày; 1. Hàng tháng; 2. Hàng năm; 3. Khi có yêu cầu; 4 Quý, 5: Nửa năm.",
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,NGAY_BAT_DAU,,Ngày tiến hành truyền/ nhận dữ liệu,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,GIO_BAT_DAU,,Giờ bắt đầu truyền/ nhận dữ liệu,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,PHUT_BAT_DAU,,Phút bắt đầu truyền/ nhận dữ liệu,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,TRANG_THAI,,Trạng thái: 1. Sử dụng; 2. Ngừng sử dụng,
DCST,THIET_LAP_LICH,stg_dcst_thiet_lap_lich,DM_DON_VI_ID,,Danh mục đơn vị,FK
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,ID,,,PK
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,SO_QD_GD,,Số quyết định chấp thuận,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,NGAY_QD,,Ngày quyết định,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,TEN,,Tên công ty,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,DIA_CHI,,Địa chỉ trụ sở chính,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,SDT,,Số điện thoại,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,FAX,,Fax,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,NAM_CT,,Năm chấp thuận,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,SO_KTV,,Số kiểm toán viên được chấp thuận,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,MST,,Mã số thuế,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,GOI_TIN_ID,,ID gói tin,FK
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,DKKD,,Đăng ký kinh doanh,
DCST,CONG_TY_KIEM_TOAN,stg_dcst_cong_ty_kiem_toan,GUID,,,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,ID,,,PK
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,MA_SO_DOANH_NGHIEP,,Mã số doanh nghiệp,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,TEN_DOANH_NGHIEP,,Tên doanh nghiệp,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,DIA_CHI_TSC,,Địa chỉ trụ sở chính,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,CQ_THUE_QUAN_LY,,Cơ quan quản lý thuế,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,NAM_DANH_GIA_RUI_RO,,Năm đanh giá rủi ro,
DCST,DN_RUI_RO_CAO,stg_dcst_dn_rui_ro_cao,GOI_TIN_ID,,ID gói tin,FK
DCST,GOI_TIN,stg_dcst_goi_tin,ID,,ID,PK
DCST,GOI_TIN,stg_dcst_goi_tin,MA_GOI_TIN,,Mã gói tin,
