Target,Bảng đích,,,,,,,,,
Database,Schema,Table Name,ETL Handle,,,,Description,Last update,Update by,Update reason
,silver,Securities Practitioner Identity Verification Record,Fact Append,,,,Kết quả xác thực danh tính người hành nghề qua hệ thống C06 của Bộ Công An. Lưu trạng thái và phản hồi xác thực.,,,
Input,Bảng / CTE nguồn,,,,,,,,,
#,Source Type,Schema,Table Name,Alias,Select Fields,Filter,Description,Last update,Update by,Update reason
1,physical_table,bronze,IDENTITYINFOC06S,id_in_06,"id, identitynumber, fullname, firstname, birthdate, birthyear, gender, national, religion, countrycode, placeofbirth, hometown, permanentcountrycode, permanentprovincecode, permanentdistrictcode, permanentdetail, currentcountrycode, currentprovincecode, currentdistrictcode, currentdetail, fatherfullname, fathercountrycode, fatheridentitynumber, fatheridentitynumberold, motherfullname, mothercountrycode, motheridentitynumber, motheridentitynumberold, couplefullname, couplecountrycode, coupleidentitynumber, coupleidentitynumberold, userupdateid","data_date = to_date('{{ var(""etl_date"") }}', 'yyyy-MM-dd')",,,,
Relationship,Quan hệ giữa các bảng / CTE nguồn,,,,,,,,,
#,Main Alias,Join Type,Join Alias,Join On,,,Description,Last update,Update by,Update reason
,,,,,,,,,,
Mapping,Mapping trường nguồn → trường đích,,,,,,,,,
#,Target Column,Transformation,Data Type,,,,Description,Last update,Update by,Update reason
1,identity_verification_record_id,"hash_id('NHNCK_IdentityInfoC06s', id_in_06.id)",string,,,,Id tự sinh (surrogate key),,,
2,identity_verification_record_code,id_in_06.id,string,,,,Mã định danh (tự động tăng). BK,,,
3,source_system_code,'NHNCK_IdentityInfoC06s',string,,,,Mã nguồn dữ liệu,,,
4,identity_number,id_in_06.identitynumber,string,,,,Số định danh cá nhân (CCCD/CMND),,,
5,full_name,id_in_06.fullname,string,,,,Họ và tên,,,
6,first_name,id_in_06.firstname,string,,,,Tên,,,
7,date_of_birth,id_in_06.birthdate,date,,,,Ngày sinh,,,
8,birth_year,id_in_06.birthyear,string,,,,Năm sinh,,,
9,individual_gender_code,id_in_06.gender,string,,,,"Giới tính (0: Nữ, 1: Nam)",,,
10,nationality_code,id_in_06.national,string,,,,Quốc tịch,,,
11,religion_name,id_in_06.religion,string,,,,Tôn giáo,,,
12,country_code,id_in_06.countrycode,string,,,,Mã quốc gia,,,
13,place_of_birth,id_in_06.placeofbirth,string,,,,Nơi sinh,,,
14,hometown,id_in_06.hometown,string,,,,Địa chỉ quê quán,,,
15,permanent_country_code,id_in_06.permanentcountrycode,string,,,,Quốc gia nguyên quán,,,
16,permanent_province_code,id_in_06.permanentprovincecode,string,,,,Tỉnh thành nguyên quán,,,
17,permanent_district_code,id_in_06.permanentdistrictcode,string,,,,Quận huyện nguyên quán,,,
18,permanent_address_detail,id_in_06.permanentdetail,string,,,,Địa chỉ nguyên quán chi tiết,,,
19,current_country_code,id_in_06.currentcountrycode,string,,,,Quốc gia hiện tại,,,
20,current_province_code,id_in_06.currentprovincecode,string,,,,Tỉnh thành hiện tại,,,
21,current_district_code,id_in_06.currentdistrictcode,string,,,,Quận huyện hiện tại,,,
22,current_address_detail,id_in_06.currentdetail,string,,,,Địa chỉ hiện tại chi tiết,,,
23,father_full_name,id_in_06.fatherfullname,string,,,,Họ và tên bố,,,
24,father_country_code,id_in_06.fathercountrycode,string,,,,Quốc gia của bố,,,
25,father_identity_number,id_in_06.fatheridentitynumber,string,,,,Số định danh của bố,,,
26,father_identity_number_old,id_in_06.fatheridentitynumberold,string,,,,Số định danh cũ của bố,,,
27,mother_full_name,id_in_06.motherfullname,string,,,,Họ và tên mẹ,,,
28,mother_country_code,id_in_06.mothercountrycode,string,,,,Quốc gia của mẹ,,,
29,mother_identity_number,id_in_06.motheridentitynumber,string,,,,Số định danh của mẹ,,,
30,mother_identity_number_old,id_in_06.motheridentitynumberold,string,,,,Số định danh cũ của mẹ,,,
31,couple_full_name,id_in_06.couplefullname,string,,,,Họ và tên vợ/chồng,,,
32,couple_country_code,id_in_06.couplecountrycode,string,,,,Quốc gia của vợ/chồng,,,
33,couple_identity_number,id_in_06.coupleidentitynumber,string,,,,Số định danh của vợ/chồng,,,
34,couple_identity_number_old,id_in_06.coupleidentitynumberold,string,,,,Số định danh cũ của vợ/chồng,,,
35,updated_by_officer_id,,string,,,,FK đến người cập nhật,,,
36,updated_by_officer_code,id_in_06.userupdateid,string,,,,Mã người cập nhật,,,
Final Filter,Điều kiện lọc của Main Transform,,,,,,,,,
#,Clause Type,Expression,,,,,Description,Last update,Update by,Update reason
