attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Fund Management Company Id,Khóa đại diện cho công ty quản lý quỹ.,Surrogate Key,false,true,draft,,PK surrogate. Entity dùng chung với FMS.SECURITIES — ETL merge theo business key.,,
Fund Management Company Code,Mã định danh công ty QLQ. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.FUNDCOMPANY.Id,"BK chính trong scope FIMS. ETL cần resolve sang surrogate của entity dùng chung. Pair với Source System Code để tạo composite BK.",,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.FUNDCOMPANY,
Country of Registration Id,FK đến quốc gia đăng ký của công ty QLQ.,Surrogate Key,true,false,draft,FIMS.FUNDCOMPANY.NaId,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL.,,
Country of Registration Code,Mã quốc gia đăng ký.,Text,true,false,draft,FIMS.FUNDCOMPANY.NaId,FK target: Geographic Area.Geographic Area Code. Pair with Country of Registration Id.,,
Fund Management Company Name,Tên công ty QLQ.,Text,false,false,draft,FIMS.FUNDCOMPANY.Name,,,
Fund Management Company English Name,Tên tiếng Anh.,Text,true,false,draft,FIMS.FUNDCOMPANY.EName,,,
Fund Management Company Short Name,Tên viết tắt (ghi là Tên tiếng Việt trong nguồn).,Text,true,false,draft,FIMS.FUNDCOMPANY.ShortName,,,
Charter Capital Amount,Vốn điều lệ (VNĐ).,Currency Amount,true,false,draft,FIMS.FUNDCOMPANY.Capital,,,
Life Cycle Status Code,Trạng thái hoạt động. ID lấy từ bảng STATUS.,Classification Value,true,false,draft,FIMS.FUNDCOMPANY.StatusId,Scheme: LIFE_CYCLE_STATUS.,,
Director Name,Tên Tổng giám đốc (denormalized).,Text,true,false,draft,FIMS.FUNDCOMPANY.Director,Denormalized snapshot — không dùng để join.,,
Depository Certificate Number,Chứng nhận lưu ký — thông tin bổ sung của FIMS không có trong FMS.SECURITIES.,Text,true,false,draft,FIMS.FUNDCOMPANY.DepCert,Denormalized — FIMS-specific field.,,
Business Type Codes,"Danh sách mã nghiệp vụ kinh doanh. Từ bảng junction FUNDCOMBUSINES.",Array<Text>,true,false,draft,FIMS.FUNDCOMBUSINES.BuId,"Pure junction FUNDCOMBUSINES → denormalize thành ARRAY. Scheme: FIMS_BUSINESS_TYPE. HLD decision: FIMS_HLD_Tier1.md.",,
Company Type Codes,"Danh sách mã loại hình doanh nghiệp. Từ bảng junction FUNDCOMTYPE.",Array<Text>,true,false,draft,FIMS.FUNDCOMTYPE.ComTypeId,"Pure junction FUNDCOMTYPE → denormalize thành ARRAY. Scheme: FIMS_COMPANY_TYPE. HLD decision: FIMS_HLD_Tier1.md.",,
Description,Ghi chú.,Text,true,false,draft,FIMS.FUNDCOMPANY.Description,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.FUNDCOMPANY.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.FUNDCOMPANY.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.FUNDCOMPANY.DateModified,,,
