attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Geographic Area Id,Khóa đại diện cho khu vực địa lý.,Surrogate Key,false,true,draft,,PK surrogate.,,
Geographic Area Code,Mã quốc tịch/quốc gia. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.NATIONAL.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.NATIONAL,
Geographic Area Short Code,Mã viết tắt quốc tịch/quốc gia.,Text,true,false,draft,FIMS.NATIONAL.SName,Mã ISO hoặc mã nghiệp vụ do FIMS định nghĩa.,,
Geographic Area Name,Tên quốc tịch/quốc gia.,Text,false,false,draft,FIMS.NATIONAL.Name,,,
Life Cycle Status Code,Trạng thái: 0: Không sử dụng 1: Sử dụng.,Classification Value,true,false,draft,FIMS.NATIONAL.Status,Scheme: LIFE_CYCLE_STATUS.,,
Description,Mô tả.,Text,true,false,draft,FIMS.NATIONAL.Description,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.NATIONAL.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.NATIONAL.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.NATIONAL.DateModified,,,
